eia_name,owid_name
Burma,Myanmar
Cabo Verde,Cape Verde
Congo-Brazzaville,Congo
Congo-Kinshasa,Democratic Republic of Congo
Czech Republic,Czechia
Côte d’Ivoire,Cote d'Ivoire
Faroe Islands,Faeroe Islands
Former Czechoslovakia,Czechoslovakia
"Gambia, The",Gambia
"Germany, East",East Germany
"Germany, West",West Germany
Macau,Macao
Micronesia,Micronesia (country)
Palestinian Territories,Palestine
Saint Vincent/Grenadines,Saint Vincent and the Grenadines
The Bahamas,Bahamas
Timor-Leste,Timor
U.S. Virgin Islands,United States Virgin Islands
