country,year,value
World,2020,33.302
World,2021,33.125
World,2022,32.947
World,2023,32.763
World,2024,32.571
World,2025,32.369
World,2026,32.179
World,2027,31.979
World,2028,31.771
World,2029,31.555
World,2030,31.331
World,2031,31.131
World,2032,30.924
World,2033,30.711
World,2034,30.496
World,2035,30.28
World,2036,30.094
World,2037,29.906
World,2038,29.718
World,2039,29.534
World,2040,29.354
World,2041,29.202
World,2042,29.055
World,2043,28.911
World,2044,28.769
World,2045,28.626
World,2046,28.508
World,2047,28.39
World,2048,28.271
World,2049,28.15
World,2050,28.027
World,2051,27.924
World,2052,27.818
World,2053,27.71
World,2054,27.598
World,2055,27.481
World,2056,27.383
World,2057,27.281
World,2058,27.175
World,2059,27.064
World,2060,26.949
World,2061,26.851
World,2062,26.75
World,2063,26.645
World,2064,26.537
World,2065,26.423
World,2066,26.329
World,2067,26.231
World,2068,26.13
World,2069,26.026
World,2070,25.918
World,2071,25.83
World,2072,25.739
World,2073,25.646
World,2074,25.55
World,2075,25.45
World,2076,25.371
World,2077,25.29
World,2078,25.206
World,2079,25.118
World,2080,25.026
World,2081,24.952
World,2082,24.874
World,2083,24.794
World,2084,24.71
World,2085,24.621
World,2086,24.549
World,2087,24.475
World,2088,24.397
World,2089,24.313
World,2090,24.223
World,2091,24.151
World,2092,24.076
World,2093,23.996
World,2094,23.912
World,2095,23.821
World,2096,23.75
World,2097,23.675
World,2098,23.596
World,2099,23.512
World,2100,23.424
More Developed Regions,2020,21.764
More Developed Regions,2021,21.735
More Developed Regions,2022,21.703
More Developed Regions,2023,21.656
More Developed Regions,2024,21.587
More Developed Regions,2025,21.494
More Developed Regions,2026,21.42
More Developed Regions,2027,21.319
More Developed Regions,2028,21.196
More Developed Regions,2029,21.061
More Developed Regions,2030,20.922
More Developed Regions,2031,20.817
More Developed Regions,2032,20.708
More Developed Regions,2033,20.596
More Developed Regions,2034,20.483
More Developed Regions,2035,20.37
More Developed Regions,2036,20.303
More Developed Regions,2037,20.241
More Developed Regions,2038,20.181
More Developed Regions,2039,20.121
More Developed Regions,2040,20.059
More Developed Regions,2041,20.045
More Developed Regions,2042,20.032
More Developed Regions,2043,20.018
More Developed Regions,2044,20.003
More Developed Regions,2045,19.985
More Developed Regions,2046,20.007
More Developed Regions,2047,20.027
More Developed Regions,2048,20.043
More Developed Regions,2049,20.051
More Developed Regions,2050,20.051
More Developed Regions,2051,20.085
More Developed Regions,2052,20.114
More Developed Regions,2053,20.134
More Developed Regions,2054,20.141
More Developed Regions,2055,20.134
More Developed Regions,2056,20.158
More Developed Regions,2057,20.173
More Developed Regions,2058,20.176
More Developed Regions,2059,20.164
More Developed Regions,2060,20.135
More Developed Regions,2061,20.142
More Developed Regions,2062,20.139
More Developed Regions,2063,20.123
More Developed Regions,2064,20.093
More Developed Regions,2065,20.05
More Developed Regions,2066,20.048
More Developed Regions,2067,20.038
More Developed Regions,2068,20.02
More Developed Regions,2069,19.991
More Developed Regions,2070,19.952
More Developed Regions,2071,19.958
More Developed Regions,2072,19.959
More Developed Regions,2073,19.952
More Developed Regions,2074,19.936
More Developed Regions,2075,19.909
More Developed Regions,2076,19.928
More Developed Regions,2077,19.942
More Developed Regions,2078,19.948
More Developed Regions,2079,19.943
More Developed Regions,2080,19.926
More Developed Regions,2081,19.952
More Developed Regions,2082,19.972
More Developed Regions,2083,19.982
More Developed Regions,2084,19.979
More Developed Regions,2085,19.959
More Developed Regions,2086,19.982
More Developed Regions,2087,19.997
More Developed Regions,2088,19.998
More Developed Regions,2089,19.984
More Developed Regions,2090,19.951
More Developed Regions,2091,19.964
More Developed Regions,2092,19.967
More Developed Regions,2093,19.956
More Developed Regions,2094,19.928
More Developed Regions,2095,19.883
More Developed Regions,2096,19.887
More Developed Regions,2097,19.881
More Developed Regions,2098,19.861
More Developed Regions,2099,19.827
More Developed Regions,2100,19.779
Less Developed Regions,2020,35.555
Less Developed Regions,2021,35.327
Less Developed Regions,2022,35.098
Less Developed Regions,2023,34.867
Less Developed Regions,2024,34.631
Less Developed Regions,2025,34.388
Less Developed Regions,2026,34.157
Less Developed Regions,2027,33.921
Less Developed Regions,2028,33.679
Less Developed Regions,2029,33.43
Less Developed Regions,2030,33.174
Less Developed Regions,2031,32.941
Less Developed Regions,2032,32.7
Less Developed Regions,2033,32.455
Less Developed Regions,2034,32.207
Less Developed Regions,2035,31.96
Less Developed Regions,2036,31.739
Less Developed Regions,2037,31.517
Less Developed Regions,2038,31.295
Less Developed Regions,2039,31.078
Less Developed Regions,2040,30.866
Less Developed Regions,2041,30.681
Less Developed Regions,2042,30.501
Less Developed Regions,2043,30.326
Less Developed Regions,2044,30.153
Less Developed Regions,2045,29.98
Less Developed Regions,2046,29.831
Less Developed Regions,2047,29.682
Less Developed Regions,2048,29.533
Less Developed Regions,2049,29.384
Less Developed Regions,2050,29.234
Less Developed Regions,2051,29.102
Less Developed Regions,2052,28.969
Less Developed Regions,2053,28.835
Less Developed Regions,2054,28.698
Less Developed Regions,2055,28.558
Less Developed Regions,2056,28.436
Less Developed Regions,2057,28.311
Less Developed Regions,2058,28.184
Less Developed Regions,2059,28.054
Less Developed Regions,2060,27.921
Less Developed Regions,2061,27.803
Less Developed Regions,2062,27.683
Less Developed Regions,2063,27.562
Less Developed Regions,2064,27.437
Less Developed Regions,2065,27.309
Less Developed Regions,2066,27.199
Less Developed Regions,2067,27.086
Less Developed Regions,2068,26.97
Less Developed Regions,2069,26.851
Less Developed Regions,2070,26.731
Less Developed Regions,2071,26.627
Less Developed Regions,2072,26.521
Less Developed Regions,2073,26.414
Less Developed Regions,2074,26.304
Less Developed Regions,2075,26.192
Less Developed Regions,2076,26.098
Less Developed Regions,2077,26.002
Less Developed Regions,2078,25.904
Less Developed Regions,2079,25.804
Less Developed Regions,2080,25.7
Less Developed Regions,2081,25.611
Less Developed Regions,2082,25.52
Less Developed Regions,2083,25.426
Less Developed Regions,2084,25.33
Less Developed Regions,2085,25.231
Less Developed Regions,2086,25.146
