country,year,value
WORLD,2020,53.159
WORLD,2021,53.217
WORLD,2022,53.262
WORLD,2023,53.303
WORLD,2024,53.347
WORLD,2025,53.397
WORLD,2026,53.41
WORLD,2027,53.435
WORLD,2028,53.469
WORLD,2029,53.508
WORLD,2030,53.55
WORLD,2031,53.548
WORLD,2032,53.559
WORLD,2033,53.58
WORLD,2034,53.605
WORLD,2035,53.63
WORLD,2036,53.617
WORLD,2037,53.614
WORLD,2038,53.619
WORLD,2039,53.631
WORLD,2040,53.648
WORLD,2041,53.634
WORLD,2042,53.632
WORLD,2043,53.64
WORLD,2044,53.662
WORLD,2045,53.695
WORLD,2046,53.702
WORLD,2047,53.727
WORLD,2048,53.763
WORLD,2049,53.798
WORLD,2050,53.824
WORLD,2051,53.81
WORLD,2052,53.801
WORLD,2053,53.789
WORLD,2054,53.768
WORLD,2055,53.732
WORLD,2056,53.649
WORLD,2057,53.563
WORLD,2058,53.481
WORLD,2059,53.416
WORLD,2060,53.374
WORLD,2061,53.321
WORLD,2062,53.299
WORLD,2063,53.3
WORLD,2064,53.315
WORLD,2065,53.336
WORLD,2066,53.335
WORLD,2067,53.353
WORLD,2068,53.384
WORLD,2069,53.422
WORLD,2070,53.461
WORLD,2071,53.48
WORLD,2072,53.511
WORLD,2073,53.548
WORLD,2074,53.583
WORLD,2075,53.611
WORLD,2076,53.61
WORLD,2077,53.615
WORLD,2078,53.622
WORLD,2079,53.626
WORLD,2080,53.625
WORLD,2081,53.596
WORLD,2082,53.574
WORLD,2083,53.558
WORLD,2084,53.543
WORLD,2085,53.525
WORLD,2086,53.487
WORLD,2087,53.46
WORLD,2088,53.438
WORLD,2089,53.419
WORLD,2090,53.398
WORLD,2091,53.367
WORLD,2092,53.348
WORLD,2093,53.337
WORLD,2094,53.329
WORLD,2095,53.318
WORLD,2096,53.298
WORLD,2097,53.289
WORLD,2098,53.285
WORLD,2099,53.281
WORLD,2100,53.273
More developed regions,2020,59.05
More developed regions,2021,58.831
More developed regions,2022,58.602
More developed regions,2023,58.369
More developed regions,2024,58.133
More developed regions,2025,57.896
More developed regions,2026,57.614
More developed regions,2027,57.346
More developed regions,2028,57.093
More developed regions,2029,56.854
More developed regions,2030,56.63
More developed regions,2031,56.389
More developed regions,2032,56.174
More developed regions,2033,55.984
More developed regions,2034,55.818
More developed regions,2035,55.672
More developed regions,2036,55.525
More developed regions,2037,55.407
More developed regions,2038,55.303
More developed regions,2039,55.201
More developed regions,2040,55.09
More developed regions,2041,54.951
More developed regions,2042,54.814
More developed regions,2043,54.683
More developed regions,2044,54.558
More developed regions,2045,54.437
More developed regions,2046,54.302
More developed regions,2047,54.185
More developed regions,2048,54.074
More developed regions,2049,53.957
More developed regions,2050,53.826
More developed regions,2051,53.677
More developed regions,2052,53.532
More developed regions,2053,53.386
More developed regions,2054,53.233
More developed regions,2055,53.068
More developed regions,2056,52.895
More developed regions,2057,52.726
More developed regions,2058,52.566
More developed regions,2059,52.418
More developed regions,2060,52.281
More developed regions,2061,52.164
More developed regions,2062,52.073
More developed regions,2063,52.002
More developed regions,2064,51.948
More developed regions,2065,51.905
More developed regions,2066,51.889
More developed regions,2067,51.9
More developed regions,2068,51.926
More developed regions,2069,51.954
More developed regions,2070,51.971
More developed regions,2071,51.999
More developed regions,2072,52.035
More developed regions,2073,52.063
More developed regions,2074,52.07
More developed regions,2075,52.045
More developed regions,2076,52.018
