country,year,value
WORLD,2020,2589474.112
WORLD,2021,2623448.277
WORLD,2022,2657238.439
WORLD,2023,2690975.991
WORLD,2024,2724811.771
WORLD,2025,2758856.766
WORLD,2026,2792196.548
WORLD,2027,2825666.918
WORLD,2028,2859281.544
WORLD,2029,2893031.845
WORLD,2030,2926875.728
WORLD,2031,2959485.497
WORLD,2032,2992216.595
WORLD,2033,3024937.094
WORLD,2034,3057491.769
WORLD,2035,3089786.811
WORLD,2036,3120566.282
WORLD,2037,3151109.349
WORLD,2038,3181312.147
WORLD,2039,3211087.004
WORLD,2040,3240387.917
WORLD,2041,3268088.71
WORLD,2042,3295295.956
WORLD,2043,3322020.124
WORLD,2044,3348323.226
WORLD,2045,3374265.351
WORLD,2046,3398743.024
WORLD,2047,3422866.151
WORLD,2048,3446645.938
WORLD,2049,3470109.564
WORLD,2050,3493301.184
WORLD,2051,3515197.654
WORLD,2052,3536817.805
WORLD,2053,3558190.524
WORLD,2054,3579353.803
WORLD,2055,3600344.741
WORLD,2056,3620084.65
WORLD,2057,3639640.571
WORLD,2058,3659021.73
WORLD,2059,3678241.307
WORLD,2060,3697328.157
WORLD,2061,3715243.451
WORLD,2062,3732961.166
WORLD,2063,3750500.077
WORLD,2064,3767892.633
WORLD,2065,3785170.926
WORLD,2066,3801155.277
WORLD,2067,3816983.983
WORLD,2068,3832642.912
WORLD,2069,3848120.03
WORLD,2070,3863432.947
WORLD,2071,3877451.06
WORLD,2072,3891237.017
WORLD,2073,3904810.558
WORLD,2074,3918197.388
WORLD,2075,3931421.095
WORLD,2076,3943303.356
WORLD,2077,3954964.036
WORLD,2078,3966426.861
WORLD,2079,3977736.289
WORLD,2080,3988951.451
WORLD,2081,3998979.47
WORLD,2082,4008852.116
WORLD,2083,4018581.369
WORLD,2084,4028208.502
WORLD,2085,4037813.221
WORLD,2086,4046318.465
WORLD,2087,4054673.866
WORLD,2088,4062957.656
WORLD,2089,4071240.876
WORLD,2090,4079567.054
WORLD,2091,4086712.679
WORLD,2092,4093790.736
WORLD,2093,4100820.686
WORLD,2094,4107830.76
WORLD,2095,4114862.514
WORLD,2096,4120710.088
WORLD,2097,4126457.946
WORLD,2098,4132123.741
WORLD,2099,4137721.905
WORLD,2100,4143267.83
More developed regions,2020,478387.014
More developed regions,2021,479567.865
More developed regions,2022,480610.031
More developed regions,2023,481609.525
More developed regions,2024,482657.247
More developed regions,2025,483807.782
More developed regions,2026,484823.844
More developed regions,2027,485970.437
More developed regions,2028,487211.9
More developed regions,2029,488481.823
More developed regions,2030,489733.633
More developed regions,2031,490771.435
More developed regions,2032,491800.676
More developed regions,2033,492808.686
More developed regions,2034,493780.21
More developed regions,2035,494699.496
More developed regions,2036,495319.96
More developed regions,2037,495865.759
More developed regions,2038,496355.322
More developed regions,2039,496808.111
More developed regions,2040,497231.753
More developed regions,2041,497371.946
More developed regions,2042,497479.964
More developed regions,2043,497559.921
More developed regions,2044,497616.232
More developed regions,2045,497656.906
More developed regions,2046,497453.528
More developed regions,2047,497233.006
More developed regions,2048,497012.336
More developed regions,2049,496803.989
More developed regions,2050,496614.84
More developed regions,2051,496216.66
More developed regions,2052,495824.6
More developed regions,2053,495461.97
More developed regions,2054,495148.833
More developed regions,2055,494897.394
More developed regions,2056,494467.598
More developed regions,2057,494076.437
More developed regions,2058,493745.12
More developed regions,2059,493490.002
More developed regions,2060,493320.048
More developed regions,2061,492965.58
More developed regions,2062,492671.646
More developed regions,2063,492453.797
More developed regions,2064,492318.22
More developed regions,2065,492264.695
More developed regions,2066,492008.913
More developed regions,2067,491809.473
More developed regions,2068,491675.355
More developed regions,2069,491611.34
More developed regions,2070,491619.502
More developed regions,2071,491397.328
More developed regions,2072,491220.282
More developed regions,2073,491102.53
More developed regions,2074,491052.754
More developed regions,2075,491074.173
More developed regions,2076,490859.7
More developed regions,2077,490689.535
More developed regions,2078,490577.413
More developed regions,2079,490535.895
More developed regions,2080,490575.092
More developed regions,2081,490383.948
More developed regions,2082,490240.559
More developed regions,2083,490166.215
More developed regions,2084,490180.1
More developed regions,2085,490295.984
More developed regions,2086,490186.593
More developed regions,2087,490139.699
More developed regions,2088,490176.559
More developed regions,2089,490313.478
More developed regions,2090,490560.345
More developed regions,2091,490560.965
More developed regions,2092,490627.284
More developed regions,2093,490780.516
More developed regions,2094,491034.66
More developed regions,2095,491395.407
More developed regions,2096,491479.664
More developed regions,2097,491628.028
More developed regions,2098,491854.031
More developed regions,2099,492163.41
More developed regions,2100,492556.262
Less developed regions,2020,2111087.098
Less developed regions,2021,2143880.412
Less developed regions,2022,2176628.408
Less developed regions,2023,2209366.466
Less developed regions,2024,2242154.524
Less developed regions,2025,2275048.984
Less developed regions,2026,2307372.704
Less developed regions,2027,2339696.481
Less developed regions,2028,2372069.644
Less developed regions,2029,2404550.022
Less developed regions,2030,2437142.095
Less developed regions,2031,2468714.062
Less developed regions,2032,2500415.919
Less developed regions,2033,2532128.408
Less developed regions,2034,2563711.559
Less developed regions,2035,2595087.315
Less developed regions,2036,2625246.322
Less developed regions,2037,2655243.59
Less developed regions,2038,2684956.825
Less developed regions,2039,2714278.893
Less developed regions,2040,2743156.164
Less developed regions,2041,2770716.764
Less developed regions,2042,2797815.992
Less developed regions,2043,2824460.203
Less developed regions,2044,2850706.994
Less developed regions,2045,2876608.445
Less developed regions,2046,2901289.496
Less developed regions,2047,2925633.145
Less developed regions,2048,2949633.602
Less developed regions,2049,2973305.575
Less developed regions,2050,2996686.344
Less developed regions,2051,3018980.994
Less developed regions,2052,3040993.205
Less developed regions,2053,3062728.554
Less developed regions,2054,3084204.97
Less developed regions,2055,3105447.347
Less developed regions,2056,3125617.052
Less developed regions,2057,3145564.134
Less developed regions,2058,3165276.61
Less developed regions,2059,3184751.305
Less developed regions,2060,3204008.109
Less developed regions,2061,3222277.871
Less developed regions,2062,3240289.52
Less developed regions,2063,3258046.28
Less developed regions,2064,3275574.413
Less developed regions,2065,3292906.231
Less developed regions,2066,3309146.364
Less developed regions,2067,3325174.51
Less developed regions,2068,3340967.557
Less developed regions,2069,3356508.69
Less developed regions,2070,3371813.445
Less developed regions,2071,3386053.732
Less developed regions,2072,3400016.735
Less developed regions,2073,3413708.028
Less developed regions,2074,3427144.634
Less developed regions,2075,3440346.922
Less developed regions,2076,3452443.656
Less developed regions,2077,3464274.501
Less developed regions,2078,3475849.448
Less developed regions,2079,3487200.394
Less developed regions,2080,3498376.359
Less developed regions,2081,3508595.522
Less developed regions,2082,3518611.557
Less developed regions,2083,3528415.154
Less developed regions,2084,3538028.402
Less developed regions,2085,3547517.237
Less developed regions,2086,3556131.872
Less developed regions,2087,3564534.167
Less developed regions,2088,3572781.097
Less developed regions,2089,3580927.398
Less developed regions,2090,3589006.709
Less developed regions,2091,3596151.714
Less developed regions,2092,3603163.452
Less developed regions,2093,3610040.17
Less developed regions,2094,3616796.1
Less developed regions,2095,3623467.107
Less developed regions,2096,3629230.424
Less developed regions,2097,3634829.918
Less developed regions,2098,3640269.71
Less developed regions,2099,3645558.495
Less developed regions,2100,3650711.568
Least developed countries,2020,261435.903
Least developed countries,2021,269353.359
Least developed countries,2022,277511.554
Least developed countries,2023,285880.032
Least developed countries,2024,294429.612
Least developed countries,2025,303144.456
Least developed countries,2026,311843.452
Least developed countries,2027,320717.276
Least developed countries,2028,329751.191
Least developed countries,2029,338940.572
Least developed countries,2030,348289.774
Least developed countries,2031,357643.169
Least developed countries,2032,367159.611
Least developed countries,2033,376831.713
Least developed countries,2034,386659.492
Least developed countries,2035,396646.604
Least developed countries,2036,406613.739
Least developed countries,2037,416744.692
Least developed countries,2038,427027.828
Least developed countries,2039,437454.127
Least developed countries,2040,448022.117
Least developed countries,2041,458546.427
Least developed countries,2042,469207.201
Least developed countries,2043,479995.941
Least developed countries,2044,490910.913
Least developed countries,2045,501953.111
Least developed countries,2046,512893.595
Least developed countries,2047,523962.472
Least developed countries,2048,535143.204
Least developed countries,2049,546421.984
Least developed countries,2050,557794.401
Least developed countries,2051,569036.765
Least developed countries,2052,580369.055
Least developed countries,2053,591777.455
Least developed countries,2054,603253.661
Least developed countries,2055,614795.76
Least developed countries,2056,626160.586
Least developed countries,2057,637583.517
Least developed countries,2058,649054.832
Least developed countries,2059,660570.518
Least developed countries,2060,672131.661
Least developed countries,2061,683479.695
Least developed countries,2062,694866.283
Least developed countries,2063,706278.346
