var_code,min_value,max_value
e_autoc,0,10
e_democ,0,10
e_miinflat,-1000,99999
e_p_polity,-10,10
e_polcomp,1,10
e_polity2,-10,10
v2exagehog,1000,2100
v2exagehos,1000,2100
v2exfxtmhg,0,98
v2exfxtmhs,0,98
v3exagehos,1000,2100
