name,code,unit,shortUnit,description,display,note,timespan,id,dataset_id,source_id
Biofuels Consumption - Kboed - Biodiesel,biodiesel_cons_kboed,Thousand barrels of oil equivalent per day,KBOED,,,,1965-2021,0,0,0
Biofuels Consumption - Kboed - Total,biofuels_cons_kboed,Thousand barrels of oil equivalent per day,KBOED,Includes biogasoline (such as ethanol) and biodiesel. Volumes have been adjusted for energy content.,"{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1965-2021,1,0,0
Biofuels Consumption - PJ - Biodiesel,biodiesel_cons_pj,Petajoules,PJ,,,,1965-2021,2,0,0
Biofuels Consumption - PJ - Total,biofuels_cons_pj,Petajoules,PJ,Includes biogasoline (such as ethanol) and biodiesel. Volumes have been adjusted for energy content.,"{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1965-2021,3,0,0
Biofuels Consumption - TWh - Biodiesel,,Terawatt-hours,TWh,,,,1965-2021,4,0,0
Biofuels Consumption - TWh - Biodiesel (zero filled),,Terawatt-hours,TWh,,,,1965-2021,5,0,0
Biofuels Consumption - TWh - Total,,Terawatt-hours,TWh,Includes biogasoline (such as ethanol) and biodiesel. Volumes have been adjusted for energy content.,"{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1965-2021,6,0,0
Biofuels Consumption - TWh - Total (zero filled),,Terawatt-hours,TWh,"Includes biogasoline (such as ethanol) and biodiesel. Volumes have been adjusted for energy content.

Note: missing data values have been replaced with ""0"" for the purposes of data visualization.","{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1965-2021,7,0,0
Biofuels Production - Kboed - Biodiesel,biodiesel_prod_kboed,Thousand barrels of oil equivalent per day,KBOED,Biodiesel production includes biojet which is currently <1 KBOED globally but more than doubled relative to 2019.,,,1990-2021,8,0,0
Biofuels Production - Kboed - Total,biofuels_prod_kboed,Thousand barrels of oil equivalent per day,KBOED,"Includes biogasoline (such as ethanol), biodiesel and biojet. Volumes have been adjusted for energy content.","{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1990-2021,9,0,0
Biofuels Production - PJ - Biodiesel,biodiesel_prod_pj,Petajoules,PJ,Biodiesel production includes biojet which is currently <1 KBOED globally but more than doubled relative to 2019.,,,1990-2021,10,0,0
Biofuels Production - PJ - Total,biofuels_prod_pj,Petajoules,PJ,"Includes biogasoline (such as ethanol), biodiesel and biojet. Volumes have been adjusted for energy content.","{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1990-2021,11,0,0
Biofuels Production - TWh - Biodiesel,,Terawatt-hours,TWh,Biodiesel production includes biojet which is currently <1 KBOED globally but more than doubled relative to 2019.,,,1990-2021,12,0,0
Biofuels Production - TWh - Total,,Terawatt-hours,TWh,"Includes biogasoline (such as ethanol), biodiesel and biojet. Volumes have been adjusted for energy content.","{""name"": ""Biofuels"", ""numDecimalPlaces"": 0}",,1990-2021,13,0,0
