Year,Country,unhcr_resettlement_arrivals_by_destination_per_100000
1959,Canada,17.45219314938045
1960,Canada,13.027104670236634
1961,Canada,9.932014238263593
1962,Canada,9.29189720752678
1963,Canada,10.668715172596952
1964,Canada,11.771277543493056
1965,Canada,10.85695400131231
1966,Canada,10.302520137597215
1967,Canada,7.365391202642921
1968,Canada,48.261187340323445
1969,Canada,17.11750776696808
1970,Canada,6.400201812211528
1971,Canada,3.3696281877683876
1971,Belgium,0.21731654835505343
1972,Canada,23.69950280880563
1972,Belgium,0.27855598640027773
1973,Canada,10.69804378819069
1973,Belgium,0.25718180181570355
1974,Canada,7.258452250023477
1974,Belgium,0.1128549712050541
1975,Canada,27.255854544546214
1975,Belgium,0.05116878720354596
1976,Canada,23.905368140314362
1976,Netherlands,4.835747703019841
1976,Australia,31.38696366072745
1976,Belgium,0.07146670401993063
1977,Canada,15.320903106521486
1977,Australia,57.64750085949699
1977,Belgium,0.19354786790215403
1978,Canada,12.10791727255064
1978,Netherlands,2.9819687429607304
1978,Australia,67.3501900395406
1978,Belgium,0.25414738026913597
1979,Canada,114.4896640401756
1979,Ireland,6.343497391535919
1979,Australia,93.31851893172568
1979,Finland,2.1168053174149573
1979,United Kingdom,5.1596753155101425
1979,Netherlands,15.879337506078254
1980,Canada,164.91866181947452
1980,Denmark,8.509068696092562
1980,New Zealand,28.856451864069587
1980,Australia,136.779907323627
1980,Finland,0.3132670474183976
1980,United Kingdom,12.186624942509374
1980,Netherlands,10.142482441489893
1981,Canada,59.25046940065532
1981,Denmark,7.277628453068857
1981,New Zealand,43.69912630185006
1981,Australia,147.84221222351317
1981,United Kingdom,4.891433390799079
1981,Netherlands,7.979607638122614
1982,Canada,65.39030422284188
1982,United States,41.63639949971998
1982,Denmark,7.280394132822105
1982,New Zealand,21.89091737056838
1982,Netherlands,4.267163914847275
1982,Australia,146.31619586168904
1982,Finland,0.2068208695493911
1982,United Kingdom,1.4348858406958802
1983,Canada,53.41371862932254
1983,United States,26.989762447214606
1983,New Zealand,21.02165230187093
1983,Sweden,16.40575672843048
1983,Australia,112.23691716633834
1983,Denmark,9.590579901933879
1983,Finland,2.8382383095946238
1983,United Kingdom,2.1714102355267553
1983,Netherlands,2.847121149808136
1983,Norway,21.311219447857578
1984,Canada,57.33175617292999
1984,Sweden,12.757114609246223
1984,United States,29.846361310687865
1984,New Zealand,17.23694540359429
1984,Australia,95.75861127255666
1984,Belgium,0.8378447403034613
1984,Denmark,5.4143280320481315
1984,Finland,1.247903879487672
1984,United Kingdom,1.425454701410554
1984,Netherlands,3.3038938154848028
1984,Norway,16.14203053695208
1985,Canada,60.7617683830374
1985,Sweden,8.004642453321209
1985,United States,28.294407635777794
1985,New Zealand,22.030246304273195
1985,Australia,94.80535598549305
1985,Denmark,5.4944517768978836
1985,Finland,0.2036153949527816
1985,United Kingdom,0.9377178942188629
1985,Netherlands,3.017786960363022
1985,Norway,18.636631672016474
1986,Canada,67.84144996775517
1986,Denmark,7.351438858415394
1986,Sweden,16.529542621831137
1986,United States,25.72177999166323
1986,New Zealand,20.54521405924802
1986,Australia,74.38316628532729
1986,Finland,2.515038510513064
1986,United Kingdom,1.4737492614667378
1986,Netherlands,2.5349846725919996
1986,Norway,20.219134160550958
1987,Canada,73.84359805627035
1987,United States,26.453076761667422
1987,New Zealand,16.00845246290041
1987,Denmark,5.999278523247302
1987,Sweden,17.289993084002766
1987,Australia,68.59600155939887
1987,Finland,5.943755094647224
1987,United Kingdom,0.7677609584198314
1987,Japan,0.23644557461637317
1987,Netherlands,3.820833034227717
1987,Norway,19.1785376162057
1988,Canada,93.18392718082154
1988,United States,30.92100974394631
1988,New Zealand,19.353171984888323
1988,Sweden,17.436935824751707
1988,Australia,67.32206606533887
1988,Denmark,10.483281216263649
1988,Finland,8.062732899598618
1988,United Kingdom,1.2585202259337755
1988,Japan,0.15616842374484402
1988,Netherlands,4.738043395197966
1988,Norway,18.402461840450655
1989,United States,42.94149668767316
1989,Canada,127.51523694496628
1989,Netherlands,4.04878476263394
1989,New Zealand,31.538645552039362
1989,Australia,65.13705375778338
1989,Belgium,2.514985959665036
1989,Denmark,15.534966148587564
1989,Finland,8.036779517785192
1989,United Kingdom,1.268993457733189
1989,Japan,0.1563778164460889
1989,Norway,25.43706798393608
1989,Sweden,18.310578416960645
1990,United States,48.49906795886086
1990,Canada,130.90511301871737
1990,New Zealand,23.77746878839377
1990,Sweden,16.971359372036357
1990,Netherlands,4.684124932628118
1990,Australia,70.44562102755798
1990,Denmark,14.529916358643462
1990,Finland,12.789668989756256
1990,United Kingdom,1.1376688328989744
1990,Iceland,11.762676244099058
1990,Japan,0.2578204678496953
1990,Norway,22.93229135028816
1991,United States,44.31848776745818
1991,Canada,96.46878839913337
1991,Denmark,16.547343443314002
1991,New Zealand,19.819097775473125
1991,Sweden,19.90692324994145
1991,Netherlands,3.9098485833138286
1991,Australia,45.05726985523207
1991,Finland,9.145003899079004
1991,United Kingdom,0.8552857848430513
1991,Iceland,17.85603378672132
1991,Japan,0.29616641235310426
1991,Norway,26.748082019644148
1992,Australia,57.354886419683424
1992,Canada,55.4449145261141
1992,Denmark,10.65423170227552
1992,Sweden,39.0480427916818
1992,United States,51.3750292384226
1992,New Zealand,17.61249876541236
1992,Netherlands,4.23978705850827
1992,Finland,13.359952808048003
1992,United Kingdom,1.0792736787553385
1992,Japan,0.32793085206967454
1992,Norway,47.45281799153676
1993,Canada,41.19032796874761
1993,Australia,62.09094465776726
1993,Denmark,61.571123220269925
1993,Netherlands,2.9997370317864056
1993,Norway,34.215238637969414
1993,United States,46.03823041100922
1993,New Zealand,11.474346979202817
1993,Sweden,10.712525880982351
1993,Finland,11.534407433127054
1993,United Kingdom,0.8853816356814632
1993,Japan,0.23864942182762547
1994,Canada,36.319242608313424
1994,Australia,76.15237351677324
1994,United Kingdom,0.4501121489043007
1994,Denmark,72.61096678892582
1994,United States,42.96769473343327
1994,Norway,15.961798556113669
1994,Ireland,18.217907474330968
1994,New Zealand,20.34073069866132
1994,Sweden,84.42602408323941
1994,Netherlands,3.227250276707432
1994,Finland,12.771993431546235
1994,Japan,0.1308971890875821
1995,Australia,85.62734913188585
1995,Canada,39.23995323985579
1995,Denmark,38.46955754657865
1995,United States,37.52096709180159
1995,Netherlands,3.1678606699883085
1995,Norway,36.43236678027642
1995,New Zealand,22.3132894686716
1995,Sweden,22.21487636227382
1995,Finland,12.541482614223215
1995,United Kingdom,0.1208303809005143
1995,Iceland,2.9892350173936113
1995,Japan,0.0672652024620077
1996,Australia,61.01947774276202
1996,Denmark,11.246738017799533
1996,Netherlands,3.0392105711582644
1996,Norway,17.93674202753927
1996,United States,28.20466869533475
1996,Canada,37.080136955144674
1996,New Zealand,20.848173646186858
1996,Finland,16.352007325699283
1996,United Kingdom,0.03441537924182025
1996,Iceland,11.105188343994314
1996,Japan,0.003948071832387548
1996,Sweden,18.38770631141934
1997,Norway,30.31491769952306
1997,Sweden,13.25988230501405
1997,Australia,42.502381411421695
1997,Canada,34.805555897379826
1997,Denmark,9.41695768602802
1997,United States,25.794804246002613
1997,Netherlands,1.2008573099186597
1997,New Zealand,14.044513378931365
1997,Finland,12.209467092671602
1997,Iceland,6.233750994649975
1997,Japan,0.003940335596018512
1998,Norway,24.98041027681937
1998,Sweden,12.76089089055011
1998,Burundi,0.24250011801672408
1998,Cameroon,0.06791737878038318
1998,Iran,0.2985688889717031
1998,South Africa,0.022892588956995103
1998,Australia,67.56863268127817
1998,Canada,32.02643068211334
1998,Denmark,8.527690467475917
1998,United States,27.818629614039974
1998,Netherlands,3.3279032621708216
1998,New Zealand,17.944088440307233
1998,Japan,0.003933370713990802
1998,Burkina Faso,0.04558416194703449
1998,Ecuador,0.0409888175127838
1998,Italy,0.00881169763434997
1998,Finland,5.886640347187852
1998,Iceland,8.35470442508736
1999,Norway,32.96820211318352
1999,Sweden,6.153426562629429
1999,Yemen,0.2245709321177033
1999,Australia,44.724911456331576
1999,Canada,32.22505224072025
1999,Denmark,9.602066680434014
1999,Finland,10.471566316410161
1999,Iceland,26.99123324744123
1999,Ireland,27.656645956341087
1999,New Zealand,29.674227789115502
1999,United States,30.512498686582543
1999,Benin,0.3901500907399076
1999,Burkina Faso,0.18612572739706892
1999,Netherlands,0.0631491535645329
1999,Chile,0.1780673636750888
1999,Japan,0.0039269257858071055
2000,Australia,38.580551631856764
2000,Canada,44.19325391515517
2000,Norway,32.87123211557161
2000,Sweden,16.866250632484398
2000,United States,25.7391518739668
2000,Benin,1.1506061946889767
2000,Finland,14.57222145227607
2000,Iceland,8.55801083301538
2000,Denmark,8.64975458661662
2000,Ecuador,0.039428684667753795
2000,Ireland,1.2423690126734857
2000,Netherlands,1.2683512212715309
2000,New Zealand,18.113538457711236
2000,Burkina Faso,0.13783655702888475
2000,Brazil,0.006865367999543728
2000,Japan,0.10586228643342335
2001,Canada,39.59187659925145
2001,Sweden,12.238977671114732
2001,United States,24.04219204076321
2001,Norway,27.92308615764406
2001,Australia,34.6814918886883
2001,Denmark,9.910305205672428
2001,Finland,14.229469423466124
2001,Ireland,1.379399014068048
2001,Netherlands,1.4358745899641607
2001,New Zealand,19.294047683933815
2001,Benin,0.8761111067148547
2001,Japan,0.0313200237430836
2001,Iceland,8.129793927397406
2002,Australia,47.27502176908575
2002,Canada,33.32129503057579
2002,United States,9.160074847297045
2002,Finland,10.93343113319451
2002,Netherlands,0.968321306389586
2002,Norway,26.748690117084916
2002,Sweden,11.68069377491886
2002,Brazil,0.012810692503538662
2002,Denmark,8.97111709764633
2002,New Zealand,16.80459386122635
2002,Benin,0.08224360555966773
2002,Ireland,0.5885370887117307
2003,Netherlands,1.0678387462264554
2003,Australia,60.405124030003215
2003,Canada,34.06054475403142
2003,Sweden,10.467590741555632
2003,United States,9.805201388647284
2003,Central African Republic,0.5153065365345892
2003,Denmark,9.337348950281493
2003,Finland,10.751647278627983
2003,Norway,35.73229096281566
2003,New Zealand,16.26026771262786
2003,Ireland,1.2562571025635936
2003,Brazil,0.008250405573437179
2003,Iceland,8.334635620148982
2004,Canada,33.06879762027868
2004,United States,18.08043677415195
2004,Jordan,0.17920372973138615
2004,Netherlands,2.007713672769564
2004,Australia,80.31829930239228
2004,Denmark,9.384102996360745
2004,Finland,14.020897814361405
2004,New Zealand,20.243009238507497
2004,Sweden,19.898443416735134
2004,Norway,18.18098781917311
2004,Mexico,0.007654408507783203
2004,Chile,0.16234808278153717
2004,Brazil,0.04130289347039785
2004,Ireland,1.5277969094639872
2004,United Kingdom,0.2505312933627914
2005,Australia,57.67512550336265
2005,Denmark,8.890198850877242
2005,Netherlands,2.5416760019289857
2005,Sweden,13.918043083313428
2005,United States,18.238706398112644
2005,Canada,32.281118517905234
2005,Finland,14.565692318194586
2005,New Zealand,17.725209915574315
2005,Norway,16.104105920978924
2005,Mexico,0.027357148775316198
2005,Ireland,2.8011082729766943
2005,Chile,0.2842539443170005
2005,Argentina,0.08741950078117038
