Year,Country,share_idmc_total_internal_displacement_disaster
2019,Afghanistan,3.14917105432328
2020,Afghanistan,2.8693747827578884
2019,Angola,0.0034563697264870944
2020,Angola,0.0024036802718215527
2019,Albania,1.1107589850856308
2019,United Arab Emirates,0.00020469727013673573
2020,Argentina,3.5401537625960056e-05
2020,Armenia,0.0911166651030597
2019,Australia,0.059516251904520055
2020,Australia,0.02000009333376889
2019,Azerbaijan,0.000995250762884591
2019,Burundi,0.10407111456781391
2020,Burundi,0.6391506159267418
2020,Benin,0.02062162145664865
2020,Burkina Faso,0.09567877344405026
2019,Bangladesh,0.053972441291216325
2020,Bangladesh,0.20948527082647458
2019,Bahamas,0.1540491827690854
2020,Bahamas,0.06357311416714134
2019,Bolivia,0.01650293726225999
2020,Bolivia,0.11136783777372608
2019,Brazil,0.0006633514289127567
2020,Brazil,0.009409134177635956
2019,Barbados,0.03484065625860129
2020,Botswana,0.0331685536597034
2019,Central African Republic,2.002031957066319
2020,Central African Republic,0.08696077075401613
2019,Canada,0.018176453697970104
2020,Canada,4.769202777679082e-05
2019,Chile,0.008442365160258517
2020,Chile,0.0010985441726442727
2019,China,0.015344016062361517
2020,China,0.010977377213808183
2019,Cote d'Ivoire,0.0015554183503746263
2020,Cote d'Ivoire,0.00026536989245885107
2019,Cameroon,0.10820676008594245
2020,Cameroon,0.11301195545942674
2019,Democratic Republic of Congo,0.19356942104584451
2020,Democratic Republic of Congo,0.07145935318298494
2019,Congo,1.9886612852624959
2020,Congo,1.939076042951078
2019,Colombia,0.0031784221370903926
2020,Colombia,0.04127124555282676
2019,Comoros,2.2329534570232847
2020,Costa Rica,0.010404164492588897
2019,Cuba,0.018529165435800677
2020,Cuba,2.648628681329004e-05
2020,Djibouti,0.0011133580701253641
2019,Dominican Republic,0.00016761404296525257
2020,Dominican Republic,0.03410797145697454
2020,Algeria,5.245029177527203e-05
2019,Ecuador,0.0011511681161887792
2020,Ecuador,0.0027772960019407066
2020,Egypt,0.008208383255042783
2019,Ethiopia,0.34796969098337455
2020,Ethiopia,0.550609143766857
2019,Fiji,0.06741913916995804
2020,Fiji,1.5617261089370893
2019,France,0.003070794196892967
2020,France,0.00035236345180875205
2020,Gabon,8.985823964114213e-05
2019,United Kingdom,0.0022212297109731457
2020,United Kingdom,0.00029461153730598135
2020,Georgia,0.00025067839841571253
2019,Ghana,0.04931313703943256
2020,Ghana,0.001770028556997092
2019,Guinea,0.0001409416121183477
2020,Guinea,0.019797770344645676
2019,Gambia,0.17037981067395436
2020,Gambia,0.0662069696076906
2019,Guinea-Bissau,0.020823387996462106
2020,Greece,0.046051752959976426
2019,Guatemala,0.007394145975002327
2020,Croatia,0.12666651726513348
2019,Haiti,0.4528069100820477
2020,Haiti,0.29817936067363277
2019,Indonesia,0.03842948068539289
2020,Indonesia,0.058861461182542624
2019,India,0.04317859581444139
2020,India,0.06731862667233482
2019,Iran,0.21709268915886026
2020,Iran,9.405550963305218e-05
2019,Iraq,0.000763168685540388
2019,Israel,0.002347590603205189
2020,Israel,0.0008087304999190693
2020,Italy,3.638659419956671e-05
2019,Japan,0.06936764353676952
2020,Japan,0.04823031966945184
2020,Kazakhstan,0.009586345465155311
2019,Kenya,0.0026629148985466513
2020,Kenya,0.3793845415677137
2019,Cambodia,0.007885219350425335
2020,Cambodia,0.0015551196302691116
2019,South Korea,0.003318671248541322
2020,South Korea,0.0005851468317722168
2019,Laos,0.07531952215063459
2020,Laos,0.027489308033640317
2019,Lebanon,0.002917276681376062
2019,Liberia,0.012152208846240938
2020,Liberia,0.023726307551866204
2019,Saint Lucia,0.00437648732186329
2019,Sri Lanka,0.022979089872346
2020,Sri Lanka,0.006538008009059811
2020,Morocco,0.0009211456516046168
2019,Madagascar,0.005191086489211105
2020,Madagascar,0.00036112791659996334
2020,Mexico,0.07678421324021523
2019,Mali,0.03204798366549882
2020,Mali,0.033085057138881296
2019,Myanmar,0.0758621146486746
2020,Myanmar,0.0084543602572728
2020,Mongolia,0.10676291190656598
2019,Mozambique,0.4346960847022446
2020,Mozambique,0.297548250408289
2020,Mauritania,0.03441111823230086
2019,Mauritius,0.007876062283900542
2019,Malawi,0.28987453746894115
2019,Malaysia,0.04694866685974045
2020,Malaysia,2.4717297455187384e-05
2019,Niger,0.5190745081693963
2020,Niger,1.1030033252038822
2019,Nigeria,0.07115716371784994
2020,Nigeria,0.06937046982635121
2019,Nicaragua,0.0002902756289318025
2020,Nicaragua,0.13736773826585155
2020,Norway,0.0015494604372946273
2019,Nepal,0.10136771260086305
2020,Nepal,0.09609837838104984
2019,New Zealand,0.00022997820224784874
2020,New Zealand,0.007672793911036651
2019,Pakistan,0.006926316830316832
2020,Pakistan,0.3648836500349123
2019,Panama,0.000706474128917399
2019,Peru,0.017840410880657433
2020,Peru,0.020623655709176854
2019,Philippines,0.33667348578463724
2020,Philippines,0.13232210650223075
2019,Papua New Guinea,0.12534014180983644
2020,Papua New Guinea,0.030177622130792718
2020,Poland,5.81293883559701e-05
2019,North Korea,0.0035065630001966013
2020,North Korea,0.02055951757285973
2020,Paraguay,7.010135253549583e-05
2020,Palestine,0.00019602400588385657
2019,Russia,0.0023993595492384913
2020,Russia,8.908108475544433e-05
2019,Rwanda,0.043557670117648474
2020,Rwanda,0.03551517737244666
2019,Sudan,0.635317530417053
2020,Sudan,1.0353650365300275
2019,Senegal,0.0006136338895760907
2020,Senegal,0.01194462709770048
2020,Solomon Islands,0.04513174100786457
2019,Sierra Leone,0.03199710439004112
2020,El Salvador,0.0009558754037995431
2019,Somalia,0.0038852791048524155
2019,South Sudan,2.2238064080699225
2020,South Sudan,0.9469587837976067
