Year,Country,wdi_average_cost_sending_remittances_to_country
2018,Afghanistan,9.448028702001315
2013,Albania,7.949218008818262
2014,Albania,8.050202437057411
2015,Albania,8.253738234152053
2016,Albania,8.235674732555605
2017,Albania,8.444605584298492
2018,Albania,8.58347311510482
2013,Algeria,12.428271735398841
2014,Algeria,11.230970382211941
2015,Algeria,10.283557852190501
2016,Algeria,9.84406832711078
2017,Algeria,9.97126308555968
2018,Algeria,9.69751342650298
2013,Angola,18.59143715129612
2014,Angola,18.31201856530946
2015,Angola,17.984936583947082
2016,Angola,18.14127395911112
2017,Angola,18.134679723951898
2018,Angola,19.22353769310434
2013,Armenia,1.613614782711042
2014,Armenia,1.89566674960381
2015,Armenia,2.346000104849576
2016,Armenia,3.1270912972142684
2017,Armenia,3.8726408391902822
2018,Armenia,4.596403624556136
2013,Azerbaijan,1.7660041259783679
2014,Azerbaijan,1.565597019685082
2015,Azerbaijan,1.3565269455762239
2016,Azerbaijan,1.264348092958484
2017,Azerbaijan,1.165997943837346
2018,Azerbaijan,1.139779659749076
2013,Bangladesh,4.354098762181659
2014,Bangladesh,4.384461782128198
2015,Bangladesh,4.396892583255238
2016,Bangladesh,4.4264150024694855
2017,Bangladesh,4.350951600845
2018,Bangladesh,4.432303230074483
2013,Belarus,1.9442673699205781
2014,Belarus,1.7413212801025382
2015,Belarus,1.562743653814128
2016,Belarus,1.452933359156182
2017,Belarus,1.478418796049386
2018,Belarus,1.5255675765371899
2018,Benin,13.51212990766182
2013,Bolivia,6.193650001647388
2014,Bolivia,4.995474759483107
2015,Bolivia,4.7053207199358695
2016,Bolivia,5.1124709815764176
2017,Bolivia,5.611294513798004
2018,Bolivia,5.385421818484969
2013,Bosnia and Herzegovina,10.449688981070809
2014,Bosnia and Herzegovina,9.517801615320698
2015,Bosnia and Herzegovina,8.733886856420796
2016,Bosnia and Herzegovina,7.643103616817754
2017,Bosnia and Herzegovina,7.502627510250326
2018,Bosnia and Herzegovina,7.499825120234526
2013,Botswana,20.48614215820788
2014,Botswana,20.41783624577078
2015,Botswana,19.708721827819822
2016,Botswana,19.679961097076422
2017,Botswana,18.9375544371936
2018,Botswana,19.140474164128356
2013,Brazil,10.603494654720699
2014,Brazil,9.28192673459166
2015,Brazil,7.949375766416263
2016,Brazil,6.972635834832859
2017,Brazil,6.967425572418264
2018,Brazil,6.9454054824644995
2013,Bulgaria,10.161712355216867
2014,Bulgaria,10.11604778363099
2015,Bulgaria,9.80253585535229
2016,Bulgaria,9.111940429508099
2017,Bulgaria,8.607975197448496
2018,Bulgaria,8.292868574068391
2018,Cambodia,13.45159826257736
2018,Cameroon,4.222909606471116
2013,Cape Verde,10.259408596738274
2014,Cape Verde,10.174790575869764
2015,Cape Verde,10.230490537060392
2016,Cape Verde,9.884592796219481
2017,Cape Verde,9.55500029251578
2018,Cape Verde,9.06242073061102
2013,China,11.31868048992184
2014,China,10.98220025286156
2015,China,10.579514246276476
2016,China,9.779148651174165
2017,China,9.490224144244246
2018,China,9.140929186387226
2013,Colombia,5.932941632977884
2014,Colombia,6.0174413592387985
2015,Colombia,5.758361612767984
2016,Colombia,5.642441795916368
2017,Colombia,5.842632431841952
2018,Colombia,5.594953200284285
2018,Comoros,4.963016557997571
2018,Costa Rica,6.254196545533108
2013,Cote d'Ivoire,10.44143323996267
2014,Cote d'Ivoire,9.184444444444456
2015,Cote d'Ivoire,7.897551001225205
2016,Cote d'Ivoire,6.811530573878974
2017,Cote d'Ivoire,5.676210478640874
2018,Cote d'Ivoire,5.389846269117063
2013,Croatia,9.299711627964658
2014,Croatia,6.2842203942223565
2015,Croatia,5.308702956317288
2016,Croatia,5.421031838534697
2017,Croatia,5.795962865105476
2018,Croatia,6.348752920311178
2018,Cuba,9.428000069723273
2013,Democratic Republic of Congo,8.429176134659327
2014,Democratic Republic of Congo,8.303816474543337
2015,Democratic Republic of Congo,8.475605400831885
2016,Democratic Republic of Congo,7.998622233660408
2017,Democratic Republic of Congo,7.974448490803264
2018,Democratic Republic of Congo,8.539587481279453
2013,Dominican Republic,6.446888488246254
2014,Dominican Republic,6.594879409971506
2015,Dominican Republic,6.447181467556118
2016,Dominican Republic,6.489452187322735
2017,Dominican Republic,6.451862339055891
2018,Dominican Republic,6.352970519017793
2013,Ecuador,4.484814324824002
2014,Ecuador,4.36558903881172
2015,Ecuador,4.244747322088496
2016,Ecuador,4.160041476732508
2017,Ecuador,4.18477231456376
2018,Ecuador,4.278197646088399
2013,Egypt,4.4827448798667
2014,Egypt,4.645513885887504
2015,Egypt,4.848447371981591
2016,Egypt,5.086540133021324
2017,Egypt,5.184108248143993
2018,Egypt,5.035481831623622
2013,El Salvador,4.5916241245405995
2014,El Salvador,4.513653110047848
2015,El Salvador,4.237414478333374
2016,El Salvador,4.121483479888815
2017,El Salvador,4.0023148062046054
2018,El Salvador,3.7297796583785177
2013,Eritrea,10.671712476695628
2014,Eritrea,9.800526600665357
2015,Eritrea,9.495386325562176
2016,Eritrea,9.00506020494717
2017,Eritrea,8.800648604947172
2018,Eritrea,8.476607092986804
2013,Estonia,4.546412620983352
2014,Estonia,4.383445280681378
2015,Estonia,4.857772043115414
2016,Estonia,4.77918667340926
2017,Estonia,4.40052007340926
2018,Estonia,4.067790058775114
2013,Eswatini,15.686107431081819
2014,Eswatini,16.01602470602098
2015,Eswatini,15.64971111035788
2016,Eswatini,16.06218043017828
2017,Eswatini,16.34272265261606
2018,Eswatini,15.244895028632737
2013,Ethiopia,8.214210872438752
2014,Ethiopia,7.780280300649023
2015,Ethiopia,7.375933728956736
2016,Ethiopia,7.06786525132612
2017,Ethiopia,6.967859582588827
2018,Ethiopia,6.766070898068023
2013,Fiji,10.853263040422565
2014,Fiji,10.057947429755298
2015,Fiji,9.635282872328045
2016,Fiji,9.236066860565424
2017,Fiji,9.036667966725634
2018,Fiji,8.63189782651104
2013,Gambia,10.948580267325312
2014,Gambia,11.559607129821844
2015,Gambia,12.332097140677075
2016,Gambia,10.924306928522693
2017,Gambia,11.62844108397355
2018,Gambia,11.45406015931497
2013,Georgia,1.9666072293970518
2014,Georgia,1.702211662227094
2015,Georgia,1.4907946581421079
2016,Georgia,1.33262122078516
2017,Georgia,1.303312049193416
2018,Georgia,1.288696950471
2013,Ghana,10.24170244006343
2014,Ghana,9.492063196598739
2015,Ghana,8.625647265291615
2016,Ghana,7.900022299623892
2017,Ghana,7.9174474976008735
2018,Ghana,7.517343689280784
2013,Guatemala,5.2294435723057955
2014,Guatemala,5.18499981475449
2015,Guatemala,4.94261594059508
2016,Guatemala,4.992638970756938
2017,Guatemala,4.8432786008644655
2018,Guatemala,4.691785693488182
2013,Guyana,7.910758304958755
2014,Guyana,8.416774133028042
2015,Guyana,8.92766641168932
2016,Guyana,8.526409613660373
2017,Guyana,8.390250058947398
2018,Guyana,8.208431824745908
2013,Haiti,9.563053699010544
2014,Haiti,9.00570505681478
2015,Haiti,8.731688193184759
2016,Haiti,8.205790935618307
2017,Haiti,8.063681372687862
2018,Haiti,7.625613056895348
2013,Honduras,5.43452072651014
2014,Honduras,5.564328960843172
2015,Honduras,4.862413458923092
2016,Honduras,4.70963635895609
2017,Honduras,4.369966379786964
2018,Honduras,4.437129414029898
