Year,Country,wdi_average_cost_sending_remittances_to_country
2014,Hungary,8.284344117569278
2015,Hungary,7.906006697462514
2016,Hungary,6.98284382872434
2017,Hungary,7.537532667986314
2018,Hungary,7.95880130974511
2013,India,7.37479726342257
2014,India,7.228447201509783
2015,India,6.8567728683597835
2016,India,6.279337704265812
2017,India,5.9549809489780525
2018,India,5.73521956829532
2013,Indonesia,6.75604017288808
2014,Indonesia,7.053073397273134
2015,Indonesia,7.278420825186203
2016,Indonesia,7.125825468960234
2017,Indonesia,6.878002559972709
2018,Indonesia,6.811115719090334
2013,Jamaica,8.838026119078958
2014,Jamaica,8.720488359178015
2015,Jamaica,8.876433024811202
2016,Jamaica,8.60239007346576
2017,Jamaica,8.424624579904616
2018,Jamaica,8.096874158729225
2013,Jordan,5.282043214076114
2014,Jordan,5.317380895830806
2015,Jordan,5.58474537977675
2016,Jordan,5.666811900825296
2017,Jordan,5.446016398192704
2018,Jordan,5.3703314817940315
2013,Kazakhstan,1.996941258385816
2014,Kazakhstan,1.863377357667444
2015,Kazakhstan,1.6018721701609402
2016,Kazakhstan,1.4953518403279102
2017,Kazakhstan,1.4724955133310922
2018,Kazakhstan,1.466289241554088
2013,Kenya,11.387482723638238
2014,Kenya,10.563635121714162
2015,Kenya,9.70620573328522
2016,Kenya,8.903220012412339
2017,Kenya,8.3545054638811
2018,Kenya,8.277572960523841
2018,Kosovo,7.43909476706485
2013,Kyrgyzstan,1.781033070510254
2014,Kyrgyzstan,2.012408500546276
2015,Kyrgyzstan,2.407527368504262
2016,Kyrgyzstan,3.12046078487084
2017,Kyrgyzstan,3.738869804821344
2018,Kyrgyzstan,4.392119164910036
2018,Laos,13.96130408352522
2013,Latvia,3.954800064804514
2014,Latvia,3.771142108939242
2015,Latvia,4.146063836346788
2016,Latvia,4.069521863232774
2017,Latvia,3.810488863004333
2018,Latvia,3.587269417475878
2013,Lebanon,12.16956223116974
2014,Lebanon,11.8532954391978
2015,Lebanon,11.89631336502164
2016,Lebanon,11.918324576416902
2017,Lebanon,11.63853231574594
2018,Lebanon,11.183152498125159
2013,Lesotho,15.6458154602789
2014,Lesotho,15.97573273521806
2015,Lesotho,15.64971111035788
2016,Lesotho,15.507169396166441
2017,Lesotho,15.14523581860422
2018,Lesotho,13.983241594620898
2014,Liberia,5.194971428571428
2015,Liberia,5.292571392093386
2016,Liberia,5.24185710636207
2017,Liberia,5.040397077790642
2018,Liberia,4.895730277790642
2013,Lithuania,8.196873236150344
2014,Lithuania,7.710463824537426
2015,Lithuania,7.676678596984177
2016,Lithuania,7.2682187941181935
2017,Lithuania,6.591124432463586
2018,Lithuania,6.23143274243815
2018,Madagascar,8.703970861326727
2013,Malawi,18.912501380719675
2014,Malawi,19.137908794853132
2015,Malawi,18.211249392031974
2016,Malawi,16.236477128981896
2017,Malawi,14.737897187152516
2018,Malawi,16.161480115906
2013,Malaysia,7.519821563486178
2014,Malaysia,7.810778994558509
2015,Malaysia,7.929794472152308
2016,Malaysia,7.613199819737986
2017,Malaysia,7.130796540140805
2018,Malaysia,6.946112055635652
2013,Mali,9.996559295402756
2014,Mali,8.816687543354508
2015,Mali,7.52563194226789
2016,Mali,6.3286176011519375
2017,Mali,5.067778564086798
2018,Mali,4.894503785387362
2013,Mexico,5.199627175483756
2014,Mexico,5.27718475124133
2015,Mexico,5.137279659597996
2016,Mexico,5.0664515638042715
2017,Mexico,5.093280968437478
2018,Mexico,4.812008988320516
2013,Moldova,6.753464321713639
2014,Moldova,6.54132102759713
2015,Moldova,6.309352148700162
2016,Moldova,6.087677963066501
2017,Moldova,5.979292992805019
2018,Moldova,5.9605457548831415
2013,Morocco,7.863102177694981
2014,Morocco,7.536952438151424
2015,Morocco,7.23051587113757
2016,Morocco,6.816143992632815
2017,Morocco,6.558520028650778
2018,Morocco,6.4491232996369
2013,Mozambique,20.58881264503232
2014,Mozambique,19.796316841331482
2015,Mozambique,18.28792572582346
2016,Mozambique,16.373014859562943
2017,Mozambique,14.74384822522408
2018,Mozambique,13.611475849844021
2018,Myanmar,10.925555162581343
2018,Namibia,21.2834392351131
2013,Nepal,4.886095718610396
2014,Nepal,4.644837694924532
2015,Nepal,4.506035090866931
2016,Nepal,4.531520934406169
2017,Nepal,4.49624326124949
2018,Nepal,4.689227196446646
2013,Nicaragua,4.357319145119051
2014,Nicaragua,4.272814515489424
2015,Nicaragua,4.260076923825856
2016,Nicaragua,4.385836935141202
2017,Nicaragua,4.371340163712629
2018,Nicaragua,4.44742216371263
2013,Nigeria,8.823529352098959
2014,Nigeria,8.519266468553235
2015,Nigeria,8.28544334848559
2016,Nigeria,7.858849373180033
2017,Nigeria,8.211961081731
2018,Nigeria,8.076034359279884
2018,North Macedonia,9.870852908618499
2013,Pakistan,5.63373389586927
2014,Pakistan,5.266714555758644
2015,Pakistan,5.059621304799544
2016,Pakistan,4.986614508677945
2017,Pakistan,5.03023312396176
2018,Pakistan,4.756236714636328
2013,Panama,5.074164102564103
2014,Panama,4.954464102564102
2015,Panama,4.8864474437414085
2016,Panama,4.841447415011969
2017,Panama,4.597485348345304
2018,Panama,4.449799979114534
2013,Paraguay,7.542436666640315
2014,Paraguay,6.4032287850915806
2015,Paraguay,6.24762572190762
2016,Paraguay,6.45194060299397
2017,Paraguay,6.380066557608228
2018,Paraguay,6.800058089662306
2013,Peru,5.5392595951832515
2014,Peru,5.5454002453192395
2015,Peru,5.299840866597788
2016,Peru,5.10991145220627
2017,Peru,5.064652997497459
2018,Peru,5.0894685115963485
2013,Philippines,6.350769431658666
2014,Philippines,6.26458050079103
2015,Philippines,6.051829112312712
2016,Philippines,5.656871294042982
2017,Philippines,5.490183861049622
2018,Philippines,5.154010468297372
2013,Poland,7.048415413707713
2014,Poland,6.801802939809439
2015,Poland,6.534250691566504
2016,Poland,6.069998538169898
2017,Poland,5.705106317022354
2018,Poland,5.125334418690096
2013,Romania,6.786737626497538
2014,Romania,6.50461278787764
2015,Romania,6.14458028590223
2016,Romania,5.639202499027458
2017,Romania,5.269748455074938
2018,Romania,4.92693407442513
2013,Rwanda,14.64964421034436
2014,Rwanda,14.00129987911264
2015,Rwanda,13.33649193947638
2016,Rwanda,12.91996745198096
2017,Rwanda,12.61344392425366
2018,Rwanda,11.82230892052616
2013,Samoa,10.499616717521032
2014,Samoa,10.475369664467694
2015,Samoa,10.240003158266253
2016,Samoa,9.814012719089693
2017,Samoa,9.550850555164814
2018,Samoa,9.534322390615321
2013,Senegal,8.654765726799505
2014,Senegal,7.7463459223872375
2015,Senegal,6.773074604637628
2016,Senegal,6.055201963312632
2017,Senegal,5.3136461840022875
2018,Senegal,5.100444233691728
2013,Serbia,9.41403446193879
2014,Serbia,9.156015548871164
2015,Serbia,9.099890846516356
2016,Serbia,9.009401910092102
2017,Serbia,8.68591314313044
2018,Serbia,8.283033537297134
2013,Sierra Leone,7.32863079500913
2014,Sierra Leone,7.216373059213105
2015,Sierra Leone,7.378106308005492
2016,Sierra Leone,7.826456209920093
2017,Sierra Leone,8.530895875065777
2018,Sierra Leone,9.444773830621333
2013,Somalia,6.639610840564609
2014,Somalia,6.3765585213011935
2015,Somalia,6.8553690883494856
2016,Somalia,7.189658366141463
2017,Somalia,7.599377139513098
2018,Somalia,7.996249373930089
2013,South Africa,9.080203396854094
2014,South Africa,9.027716310404672
2015,South Africa,8.727692430337935
2016,South Africa,8.437399329265624
2017,South Africa,8.092697375130493
2018,South Africa,7.924345581127445
2018,South Sudan,9.356184859823355
2013,Sri Lanka,5.764831758222342
2014,Sri Lanka,5.6615988718829
2015,Sri Lanka,5.63176069296823
2016,Sri Lanka,5.176172264947752
2017,Sri Lanka,4.964146783050657
2018,Sri Lanka,4.747303831648902
2018,Sudan,6.70887556448304
2013,Suriname,7.386860945175144
2014,Suriname,7.1664485919566046
2015,Suriname,6.672348899029343
2016,Suriname,7.120067657373994
2017,Suriname,6.9459744252300455
2018,Suriname,7.05745642611584
2018,Syria,8.01481921715477
2013,Tajikistan,2.039624189850596
2014,Tajikistan,2.561293213641572
2015,Tajikistan,3.045839453857094
2016,Tajikistan,3.4891887696196138
2017,Tajikistan,4.112095819201672
2018,Tajikistan,5.253803017575655
2013,Tanzania,10.749274413184592
2014,Tanzania,11.123028673196233
2015,Tanzania,10.67768550662647
2016,Tanzania,10.762597154423112
2017,Tanzania,10.860341565026392
2018,Tanzania,10.83351520263002
2013,Thailand,6.596837142531157
2014,Thailand,7.014306466718613
2015,Thailand,7.323103608895492
2016,Thailand,7.98900516419525
2017,Thailand,8.536999552049696
2018,Thailand,8.548222198046455
2015,Togo,9.290638624592429
2016,Togo,8.527652863426813
2017,Togo,7.331966896079872
2018,Togo,6.820622470097883
2013,Tonga,11.058481650846456
2014,Tonga,10.731307579885636
2015,Tonga,10.3282905972208
2016,Tonga,9.817747222920797
2017,Tonga,9.397861950736516
2018,Tonga,9.68418013509332
2013,Tunisia,8.281157261891995
2014,Tunisia,8.237246665309087
2015,Tunisia,8.178069048349322
2016,Tunisia,8.130610777561131
2017,Tunisia,8.2040111809819
2018,Tunisia,8.72569819403623
2013,Turkey,7.66547651483811
2014,Turkey,7.3930884096063565
2015,Turkey,7.209843933324102
2016,Turkey,7.035309407452826
2017,Turkey,7.001540436605128
2018,Turkey,7.062285372214559
2013,Uganda,13.464558739564378
2014,Uganda,12.916854426668559
2015,Uganda,12.2992428065055
2016,Uganda,11.33147084553176
2017,Uganda,11.06297901371506
2018,Uganda,10.688552120610359
2013,Ukraine,6.094825688545764
2014,Ukraine,5.929890537170752
2015,Ukraine,5.766834224723308
2016,Ukraine,5.820477389119594
2017,Ukraine,5.98260134770298
2018,Ukraine,6.310075540348945
2013,Uzbekistan,1.9707965279284039
2014,Uzbekistan,1.8793716266508178
2015,Uzbekistan,1.783899683994246
2016,Uzbekistan,1.6577045669676778
2017,Uzbekistan,1.6436501885553418
2018,Uzbekistan,1.6600827088805459
2013,Vanuatu,13.50796330860212
2014,Vanuatu,13.737110465907199
2015,Vanuatu,14.91235728211438
2016,Vanuatu,14.84801500959432
2017,Vanuatu,14.3209313367723
2018,Vanuatu,13.448317121929119
2013,Vietnam,8.379461065800996
2014,Vietnam,8.193813974878022
2015,Vietnam,7.980673061295232
2016,Vietnam,7.663919298573217
2017,Vietnam,7.573888474031716
2018,Vietnam,7.4482726723433546
2013,Yemen,3.3712607354505777
2014,Yemen,3.6010528755000237
2015,Yemen,4.085851987201458
2016,Yemen,4.597828098613506
2017,Yemen,4.79401991299945
2018,Yemen,5.139838502316394
2013,Zambia,15.693040674024559
2014,Zambia,15.9922524412592
2015,Zambia,16.0171094845209
2016,Zambia,15.53240786775684
2017,Zambia,14.855299040094579
2018,Zambia,14.42111606761274
2013,Zimbabwe,12.98054752334468
2014,Zimbabwe,12.51181089855486
2015,Zimbabwe,12.117966392178221
2016,Zimbabwe,11.791259652514139
2017,Zimbabwe,11.1342403511727
2018,Zimbabwe,10.74203990099332
