Country,Year,undesa_five_year_change_in_international_migrants_by_destination
Middle-income countries,2015,9527732
Upper-middle-income countries,2015,8911376
Lower-middle-income countries,2015,616356
Low-income countries,2015,1540543
Africa,2015,5054115
Eastern Africa,2015,1953265
Burundi,2015,50978
Comoros,2015,-63
Djibouti,2015,10044
Eritrea,2015,128
Ethiopia,2015,592894
Kenya,2015,171961
Madagascar,2015,3170
Malawi,2015,-20394
Mauritius,2015,3749
Mayotte,2015,8629
Mozambique,2015,15323
Reunion,2015,4180
Rwanda,2015,87746
Seychelles,2015,1371
Somalia,2015,-7116
South Sudan,2015,613380
Uganda,2015,358245
Tanzania,2015,74720
Zambia,2015,-17855
Zimbabwe,2015,2175
Middle Africa,2015,1043109
Angola,2015,295811
Cameroon,2015,216872
Central African Republic,2015,-13117
Chad,2015,49934
Congo,2015,-35031
Democratic Republic of Congo,2015,220136
Equatorial Guinea,2015,200953
Gabon,2015,107857
Sao Tome and Principe,2015,-306
Northern Africa,2015,186878
Algeria,2015,22205
Egypt,2015,43624
Libya,2015,83954
Morocco,2015,21235
Sudan,2015,1814
Tunisia,2015,13360
Western Sahara,2015,686
Southern Africa,2015,1125362
Botswana,2015,8190
Eswatini,2015,-285
Lesotho,2015,2738
Namibia,2015,-2208
South Africa,2015,1116927
Western Africa,2015,745501
Benin,2015,57059
Burkina Faso,2015,30238
Cape Verde,2015,551
Cote d'Ivoire,2015,104076
Gambia,2015,6703
Ghana,2015,76978
Guinea,2015,-52105
Guinea-Bissau,2015,942
Liberia,2015,12946
Mali,2015,79426
Mauritania,2015,81632
Niger,2015,126516
Nigeria,2015,208621
Saint Helena,2015,129
Senegal,2015,10404
Sierra Leone,2015,-20435
Togo,2015,21820
Asia,2015,11067609
Central Asia,2015,127854
Kazakhstan,2015,211123
Kyrgyzstan,2015,-27683
Tajikistan,2015,-4707
Turkmenistan,2015,-1603
Uzbekistan,2015,-49276
Eastern Asia,2015,804136
China,2015,128185
Hong Kong,2015,61163
Macao,2015,57560
North Korea,2015,4448
Japan,2015,98038
Mongolia,2015,3824
South Korea,2015,450918
South-Eastern Asia,2015,1463211
Brunei,2015,2146
Cambodia,2015,-8066
Indonesia,2015,30637
Laos,2015,12583
Malaysia,2015,863286
Myanmar,2015,-3105
Philippines,2015,3263
Singapore,2015,318611
Thailand,2015,235839
Timor-Leste,2015,-3020
Vietnam,2015,11037
Southern Asia,2015,-538372
Afghanistan,2015,237156
Bangladesh,2015,76633
Bhutan,2015,2686
India,2015,-363171
Iran,2015,7542
Maldives,2015,9614
Nepal,2015,-72418
Pakistan,2015,-437161
Sri Lanka,2015,747
Western Asia,2015,9210780
Armenia,2015,-19948
Azerbaijan,2015,-12542
Bahrain,2015,56081
Cyprus,2015,-11779
Georgia,2015,3607
Iraq,2015,238886
Israel,2015,55537
Jordan,2015,380108
Kuwait,2015,991324
Lebanon,2015,1123068
Oman,2015,1039992
Qatar,2015,231227
Saudi Arabia,2015,2341410
Palestine,2015,-677
Syria,2015,-947879
Turkey,2015,2972448
United Arab Emirates,2015,678429
Yemen,2015,91488
Europe,2015,4131923
Eastern Europe,2015,723303
Belarus,2015,-7473
Bulgaria,2015,47516
Czechia,2015,17961
Hungary,2015,38892
Poland,2015,-30562
Moldova,2015,-23114
Romania,2015,103837
Russia,2015,448566
Slovakia,2015,31305
Ukraine,2015,96375
Northern Europe,2015,1896149
Channel Islands,2015,4726
Denmark,2015,95104
Estonia,2015,-23226
Faeroe Islands,2015,389
Finland,2015,86375
Iceland,2015,3981
Ireland,2015,28714
Isle of Man,2015,-1209
Latvia,2015,-48368
Lithuania,2015,-24751
Norway,2015,221774
Sweden,2015,265308
United Kingdom,2015,1287332
Southern Europe,2015,-390816
Albania,2015,-753
Andorra,2015,-9789
Bosnia and Herzegovina,2015,-348
Croatia,2015,-12155
Gibraltar,2015,696
Greece,2015,-78225
Vatican,2015,7
Italy,2015,17435
Malta,2015,19634
Montenegro,2015,-6793
North Macedonia,2015,1029
Portugal,2015,101989
San Marino,2015,315
Serbia,2015,-18834
Slovenia,2015,-16170
Spain,2015,-388854
Western Europe,2015,1903287
Austria,2015,208222
Belgium,2015,279682
France,2015,568352
Germany,2015,408155
Liechtenstein,2015,1457
Luxembourg,2015,85746
Monaco,2015,4851
Netherlands,2015,163808
Switzerland,2015,183014
Latin America and the Caribbean,2015,0
Caribbean,2015,162188
Anguilla,2015,368
Antigua and Barbuda,2015,1670
Aruba,2015,1786
Bahamas,2015,4496
Barbados,2015,1650
Bonaire Sint Eustatius and Saba,2015,3630
British Virgin Islands,2015,2459
Cayman Islands,2015,2131
Cuba,2015,-2724
Curacao,2015,2981
Dominica,2015,-17
Dominican Republic,2015,153810
Grenada,2015,77
Guadeloupe,2015,-3986
Haiti,2015,865
Jamaica,2015,-512
Martinique,2015,9599
Montserrat,2015,60
Puerto Rico,2015,-24475
Saint Kitts and Nevis,2015,198
Saint Lucia,2015,-377
Saint Vincent and the Grenadines,2015,68
Sint Maarten (Dutch part),2015,1092
Trinidad and Tobago,2015,1795
Turks and Caicos Islands,2015,5507
United States Virgin Islands,2015,37
Central America,2015,109187
Belize,2015,8225
Costa Rica,2015,5918
El Salvador,2015,1717
Guatemala,2015,8466
Honduras,2015,11042
Mexico,2015,43981
Nicaragua,2015,2916
Panama,2015,26922
South America,2015,843540
Argentina,2015,280344
Bolivia,2015,20162
Brazil,2015,117664
Chile,2015,264336
Colombia,2015,29098
Ecuador,2015,12260
Falkland Islands,2015,135
French Guiana,2015,9820
Guyana,2015,479
Paraguay,2015,-3837
Peru,2015,50068
Suriname,2015,3414
Uruguay,2015,2496
Venezuela,2015,57101
Northern America,2015,4663217
Bermuda,2015,665
Canada,2015,667431
Greenland,2015,-82
Saint Pierre and Miquelon,2015,-31
United States,2015,3995234
Oceania,2015,943678
Australia and New Zealand,2015,0
Australia,2015,846750
New Zealand,2015,92293
Melanesia,2015,8652
Fiji,2015,394
New Caledonia,2015,7723
Papua New Guinea,2015,515
Solomon Islands,2015,-175
Vanuatu,2015,195
Micronesia (country),2015,-1277
Guam,2015,673
Kiribati,2015,51
Marshall Islands,2015,195
Micronesia (region),2015,-50
Nauru,2015,927
Northern Mariana Islands,2015,-2520
Palau,2015,-553
Polynesia,2015,-2740
American Samoa,2015,-42
Cook Islands,2015,399
French Polynesia,2015,-1582
Niue,2015,-1
Samoa,2015,-867
Tokelau,2015,57
Tonga,2015,-653
Tuvalu,2015,10
Wallis and Futuna,2015,-61
World,2020,32639461
Sub-Saharan Africa,2020,1499664
Northern Africa and Western Asia,2020,7731654
Central and Southern Asia,2020,161311
Eastern and South-Eastern Asia,2020,1563296
Latin America and the Caribbean,2020,5353120
Oceania (excluding Australia and New Zealand),2020,10259
Australia and New Zealand,2020,1298118
Europe and Northern America,2020,15022039
Developed regions,2020,16858964
Less developed regions,2020,15780497
"Less developed regions, excluding least developed countries",2020,13035887
"Less developed regions, excluding China",2020,15570065
Least developed countries,2020,2744610
Land-locked Developing Countries (LLDC),2020,1201300
Small island developing States (SIDS),2020,404034
High-income countries,2020,23381445
Middle-income countries,2020,7298069
Upper-middle-income countries,2020,6391966
Lower-middle-income countries,2020,906103
Low-income countries,2020,1910294
Africa,2020,2528672
Eastern Africa,2020,985879
Burundi,2020,46468
Comoros,2020,-59
Djibouti,2020,7387
Eritrea,2020,-2007
Ethiopia,2020,-76125
Kenya,2020,-76739
Madagascar,2020,3488
Malawi,2020,-5966
Mauritius,2020,308
Mayotte,2020,30154
Mozambique,2020,17056
Reunion,2020,4560
Rwanda,2020,-740
Seychelles,2020,259
Somalia,2020,17600
South Sudan,2020,38140
Uganda,2020,869138
Tanzania,2020,41450
Zambia,2020,55848
Zimbabwe,2020,15659
Middle Africa,2020,381657
Angola,2020,24256
Cameroon,2020,70863
Central African Republic,2020,6978
Chad,2020,80526
Congo,2020,-2536
Democratic Republic of Congo,2020,142853
Equatorial Guinea,2020,21007
Gabon,2020,37965
Sao Tome and Principe,2020,-255
Northern Africa,2020,1029008
Algeria,2020,10905
Egypt,2020,190296
Libya,2020,55391
Morocco,2020,9934
Sudan,2020,758624
Tunisia,2020,3613
Western Sahara,2020,245
Southern Africa,2020,-352831
Botswana,2020,7215
Eswatini,2020,506
Lesotho,2020,2908
Namibia,2020,7773
South Africa,2020,-371233
Western Africa,2020,484959
Benin,2020,27992
Burkina Faso,2020,19313
Cape Verde,2020,864
Cote d'Ivoire,2020,94244
Gambia,2020,23119
Ghana,2020,61668
Guinea,2020,-5220
Guinea-Bissau,2020,-4388
Liberia,2020,-24164
Mali,2020,65325
Mauritania,2020,15734
Niger,2020,95058
Nigeria,2020,109453
Saint Helena,2020,60
Senegal,2020,8433
Sierra Leone,2020,-5084
Togo,2020,2552
Asia,2020,8427253
Central Asia,2020,171250
Kazakhstan,2020,186013
Kyrgyzstan,2020,-5371
Tajikistan,2020,930
Turkmenistan,2020,-1456
Uzbekistan,2020,-8866
Eastern Asia,2020,1109066
China,2020,61629
Hong Kong,2020,121379
Macao,2020,27424
North Korea,2020,1091
Japan,2020,538807
Mongolia,2020,1459
South Korea,2020,357277
South-Eastern Asia,2020,454230
Brunei,2020,9226
Cambodia,2020,5379
Indonesia,2020,17381
Laos,2020,3193
Malaysia,2020,195879
Myanmar,2020,3137
Philippines,2020,13663
Singapore,2020,40243
Thailand,2020,162276
Timor-Leste,2020,-121
Vietnam,2020,3974
Southern Asia,2020,-9939
Afghanistan,2020,-195334
Bangladesh,2020,693229
Bhutan,2020,2506
India,2020,-332143
Iran,2020,67296
Maldives,2020,5806
Nepal,2020,-21907
Pakistan,2020,-229940
Sri Lanka,2020,548
Western Asia,2020,6702646
Armenia,2020,-850
Azerbaijan,2020,-12131
Bahrain,2020,213607
Cyprus,2020,13673
Georgia,2020,2683
Iraq,2020,6414
Israel,2020,-58152
Jordan,2020,290730
Kuwait,2020,244023
Lebanon,2020,-203497
Oman,2020,516610
Qatar,2020,538552
Saudi Arabia,2020,2683476
Palestine,2020,-379
Syria,2020,32995
Turkey,2020,1706455
United Arab Emirates,2020,721206
Yemen,2020,7231
Europe,2020,11946985
Eastern Europe,2020,1001413
Belarus,2020,-15815
Bulgaria,2020,60560
Czechia,2020,124467
Hungary,2020,109059
Poland,2020,205399
Moldova,2020,-1936
Romania,2020,424262
Russia,2020,-6365
Slovakia,2020,19537
Ukraine,2020,82245
Northern Europe,2020,1782775
Channel Islands,2020,1780
Denmark,2020,121698
Estonia,2020,4613
Faeroe Islands,2020,1327
Finland,2020,71196
Iceland,2020,26352
Ireland,2020,112000
Isle of Man,2020,802
Latvia,2020,-25996
Lithuania,2020,9163
Norway,2020,105863
Sweden,2020,401386
United Kingdom,2020,952591
Southern Europe,2020,1850231
Albania,2020,-3221
Andorra,2020,3310
Bosnia and Herzegovina,2020,-2555
Croatia,2020,-33037
Gibraltar,2020,125
Greece,2020,97532
Vatican,2020,19
Italy,2020,581670
Malta,2020,62118
Montenegro,2020,-720
North Macedonia,2020,581
Portugal,2020,137149
San Marino,2020,348
Serbia,2020,15570
Slovenia,2020,40348
Spain,2020,950994
Western Europe,2020,7312566
Austria,2020,255060
Belgium,2020,221991
France,2020,646538
Germany,2020,5542039
Liechtenstein,2020,2078
Luxembourg,2020,49174
Monaco,2020,618
Netherlands,2020,362015
Switzerland,2020,233053
Latin America and the Caribbean,2020,0
Caribbean,2020,104067
Anguilla,2020,244
Antigua and Barbuda,2020,1304
Aruba,2020,17479
Bahamas,2020,4342
Barbados,2020,394
Bonaire Sint Eustatius and Saba,2020,1650
British Virgin Islands,2020,2629
Cayman Islands,2020,3049
Cuba,2020,-1625
Curacao,2020,19599
Dominica,2020,191
Dominican Republic,2020,54505
Grenada,2020,156
Guadeloupe,2020,-750
Haiti,2020,837
Jamaica,2020,464
Martinique,2020,-550
Montserrat,2020,28
Puerto Rico,2020,-33362
Saint Kitts and Nevis,2020,282
Saint Lucia,2020,-335
Saint Vincent and the Grenadines,2020,101
Sint Maarten (Dutch part),2020,1550
Trinidad and Tobago,2020,28828
Turks and Caicos Islands,2020,3025
United States Virgin Islands,2020,32
Central America,2020,441786
Belize,2020,7428
Costa Rica,2020,109032
El Salvador,2020,708
Guatemala,2020,9459
Honduras,2020,865
Mexico,2020,183933
Nicaragua,2020,1906
Panama,2020,128455
South America,2020,4807267
Argentina,2020,195427
Bolivia,2020,21113
Brazil,2020,369404
Chile,2020,1005291
Colombia,2020,1745986
Ecuador,2020,397274
Falkland Islands,2020,386
French Guiana,2020,13141
Guyana,2020,22508
Paraguay,2020,13105
Peru,2020,1069745
Suriname,2020,4674
Uruguay,2020,29468
Venezuela,2020,-80255
Northern America,2020,3075054
Bermuda,2020,527
Canada,2020,620666
Greenland,2020,-110
Saint Pierre and Miquelon,2020,12
United States,2020,2453959
Oceania,2020,1308377
Australia and New Zealand,2020,0
Australia,2020,956130
New Zealand,2020,341988
Melanesia,2020,4730
Fiji,2020,336
New Caledonia,2020,4260
Papua New Guinea,2020,128
Solomon Islands,2020,-65
Vanuatu,2020,71
Micronesia (country),2020,5394
Guam,2020,4383
Kiribati,2020,207
Marshall Islands,2020,14
Micronesia (region),2020,76
Nauru,2020,368
Northern Mariana Islands,2020,195
Palau,2020,151
Polynesia,2020,135
American Samoa,2020,95
Cook Islands,2020,411
French Polynesia,2020,23
Niue,2020,0
Samoa,2020,-234
Tokelau,2020,53
Tonga,2020,-212
Tuvalu,2020,9
Wallis and Futuna,2020,-10
