Year,Country,unhcr_resettlement_arrivals_by_origin_per_capita
1959,Albania,1.0701879627776035e-05
1959,Egypt,1.9295165360917805e-07
1959,Austria,2.4159553099429067e-06
1959,Bulgaria,4.476273448638727e-06
1959,Czechia,3.77055462868573e-06
1959,Estonia,2.5745241697990044e-05
1959,Finland,1.1364493866355371e-06
1959,Germany,1.6722663602307098e-06
1959,Greece,4.1316725144010055e-06
1959,Hungary,5.8056427237548854e-05
1959,Italy,1.275603333042172e-06
1959,Lebanon,2.861774025165296e-06
1959,Lithuania,1.0965449331217246e-05
1959,Latvia,2.8068372652841805e-05
1959,Netherlands,7.082978151491445e-07
1959,Poland,1.0655829653645791e-05
1959,Romania,1.1943247857679916e-06
1959,Russia,1.6402330845615487e-06
1959,Spain,1.6613184947909526e-07
1960,Albania,1.2835471865562491e-05
1960,Austria,1.1314180217636742e-06
1960,Bulgaria,2.663079709653296e-06
1960,Czechia,9.384601620533008e-07
1960,Germany,1.6345605155098747e-07
1960,Greece,1.6921234553934501e-06
1960,Hungary,3.799624217164922e-05
1960,Italy,1.2072447481684437e-06
1960,Latvia,8.452355013936995e-06
1960,Poland,6.010629832626584e-06
1960,Romania,1.5042485620323902e-06
1960,Russia,3.587168614443609e-07
1961,Albania,1.1862916877727729e-05
1961,Austria,9.843711394194377e-07
1961,Bulgaria,1.3830437826398334e-06
1961,Czechia,1.4525244459864259e-06
1961,Estonia,4.876050788945017e-06
1961,Germany,2.8405987078495223e-07
1961,Greece,6.013945859332122e-07
1961,Hungary,3.32985161124441e-05
1961,Italy,1.5983321723448015e-07
1961,Lithuania,9.262808683099364e-06
1961,Latvia,8.342370901810295e-06
1961,Poland,5.863616804112954e-06
1961,Romania,2.1831491767131462e-06
1961,Russia,4.200853618397439e-07
1962,Albania,1.1509632123383256e-05
1962,Bulgaria,6.232737653975109e-07
1962,China,2.521614583836526e-07
1962,Czechia,1.7541938906379807e-06
1962,Germany,6.71235993821944e-08
1962,Hungary,1.788818098068971e-05
1962,Italy,3.766676215521283e-07
1962,Lithuania,1.7566091541118882e-06
1962,Latvia,4.117348080149213e-06
1962,Poland,4.3107201291610215e-06
1962,Romania,2.219386105121117e-06
1962,Russia,3.744153372242955e-07
1963,Albania,2.4014685818099367e-05
1963,Bulgaria,1.8539798086766997e-06
1963,China,1.2385879173697788e-07
1963,Czechia,1.4370094601412067e-06
1963,Germany,3.063368480780606e-07
1963,Greece,8.347799871753943e-07
1963,Hungary,1.2478985042549873e-05
1963,Italy,9.831603315255964e-08
1963,Latvia,2.258554841099374e-06
1963,Poland,2.700373048402983e-06
1963,Romania,5.3515400420589075e-06
1963,Russia,2.9788201139884966e-07
1963,Spain,1.9088360274220837e-07
1963,Turkey,1.6931152718252547e-07
1964,Albania,8.678441503778648e-06
1964,Bulgaria,1.5935602514098718e-06
1964,Czechia,2.3506948500670612e-06
1964,Estonia,3.9202157686759075e-06
1964,France,1.0376799435601728e-07
1964,Germany,9.249800848484232e-08
1964,Hungary,2.398110407424155e-05
1964,Italy,9.751676674032303e-08
1964,Poland,2.897668918724218e-06
1964,Portugal,1.1250839031320761e-06
1964,Romania,4.477501828877273e-06
1964,Russia,3.348454769045076e-07
1964,Spain,1.5727257646262395e-06
1965,Albania,6.328529803420043e-06
1965,Austria,6.844482676203678e-07
1965,Bulgaria,4.743032242403487e-06
1965,Czechia,9.17302620682626e-06
1965,Germany,7.868023453109216e-08
1965,Greece,5.914486695303034e-07
1965,Hungary,3.451394628921979e-05
1965,Italy,9.675438012400312e-08
1965,Lithuania,2.6970852936367328e-06
1965,Latvia,2.2056183274531548e-06
1965,Poland,3.2843442039918303e-06
1965,Romania,2.9412409714867326e-06
1965,Russia,2.766716598523359e-07
1965,Spain,6.221564533722513e-07
