Year,Country,undesa_child_migrants_by_destination_under_20_per_1000
1990,World,5.435706524040446
1995,World,4.895538407847436
2000,World,4.5683462724087995
2005,World,4.6216125614582575
2010,World,4.690838975222066
2015,World,4.694881032782726
2020,World,5.257624433705062
1990,Burundi,15.98430876202597
1995,Burundi,11.109656117442931
2000,Burundi,5.646924040319988
2005,Burundi,9.818520576842158
2010,Burundi,9.006172018415773
2015,Burundi,8.743179402746094
2020,Burundi,9.209403486617068
1990,Comoros,8.882453267508588
1995,Comoros,7.505353454187475
2000,Comoros,6.429332654814717
2005,Comoros,5.256488861639077
2010,Comoros,4.275796872825129
2015,Comoros,3.6183089261481665
2020,Comoros,2.500014374507673
1990,Djibouti,70.74440245734621
1995,Djibouti,49.22388698969677
2000,Djibouti,38.79723012303906
2005,Djibouti,33.716013318897716
2010,Djibouti,36.06190951137475
2015,Djibouti,35.120426959358774
2020,Djibouti,26.655816486201445
1990,Eritrea,1.4659205569346985
1995,Eritrea,1.53931514313181
2000,Eritrea,1.5176148451435234
2005,Eritrea,1.6029558633479242
2010,Eritrea,1.4890691724831624
2015,Eritrea,1.389247036482393
2020,Eritrea,1.037946079251032
1990,Ethiopia,8.28285011835149
1995,Ethiopia,4.593875890904743
2000,Ethiopia,2.700302238697283
2005,Ethiopia,2.021918282625578
2010,Ethiopia,2.003355501226712
2015,Ethiopia,5.472053564335155
2020,Ethiopia,4.380909039691291
1990,Kenya,4.639914714590871
1995,Kenya,8.230249049842703
2000,Kenya,6.955140970669483
2005,Kenya,6.3654786524041285
2010,Kenya,7.337948628197438
2015,Kenya,8.115381780474882
2020,Kenya,6.053154749838669
1990,Madagascar,0.4233252378488629
1995,Madagascar,0.31412789658313006
2000,Madagascar,0.3094475824716813
2005,Madagascar,0.29901745797313173
2010,Madagascar,0.28787365896923356
2015,Madagascar,0.27713038827964587
2020,Madagascar,0.2632983639930333
1990,Malawi,60.598230697881945
1995,Malawi,7.226836568703198
2000,Malawi,5.769973694811194
2005,Malawi,4.5778733481441
2010,Malawi,3.73586387364337
2015,Malawi,2.893228878184064
2020,Malawi,2.520026837491254
1990,Mauritius,1.1469225822521543
1995,Mauritius,1.595674932398669
2000,Mauritius,0.8868098219039494
2005,Mauritius,1.6251912832137216
2010,Mauritius,2.129086592203392
2015,Mauritius,2.35657112549297
2020,Mauritius,1.9618373491370666
1990,Mayotte,22875.0
2000,Mayotte,72320.0
2005,Mayotte,92005.18134715025
2010,Mayotte,96956.98924731182
2015,Mayotte,96349.46236559139
1990,Mozambique,4.303052553218946
1995,Mozambique,4.964388352672371
2000,Mozambique,4.639698959881549
2005,Mozambique,5.189683753631015
2010,Mozambique,4.759988996907856
2015,Mozambique,3.828303977948969
2020,Mozambique,2.901575358013734
1990,Reunion,32.26527459755328
2000,Reunion,44.22819988145389
2005,Reunion,46.880505771810704
2010,Reunion,46.72599101891904
2015,Reunion,45.73196589779516
1990,Rwanda,6.8231305125902
1995,Rwanda,10.211445577735933
2000,Rwanda,12.875852945061617
2005,Rwanda,14.511629801068299
2010,Rwanda,13.242905060074678
2015,Rwanda,15.746148364342329
2020,Rwanda,13.855011141342763
1990,Seychelles,9.706399138468514
1995,Seychelles,12.35437621489048
2000,Seychelles,12.259561964492951
2005,Seychelles,14.179037133962009
2010,Seychelles,12.49000251991279
2015,Seychelles,13.960686874216949
2020,Seychelles,13.229611551759204
1990,Somalia,32.96263893773489
1995,Somalia,1.285965556038612
2000,Somalia,0.8848939107892587
2005,Somalia,0.7733427166986891
2010,Somalia,1.5479223234095705
2015,Somalia,1.160597465979339
2020,Somalia,1.3595106189627162
2010,South Sudan,9.882448856649697
2015,South Sudan,27.11135677448429
2020,South Sudan,27.125902369085406
1990,Uganda,11.241532764466868
1995,Uganda,12.13437980220306
2000,Uganda,10.714431137651125
2005,Uganda,9.742929189126514
2010,Uganda,6.244849384627511
2015,Uganda,11.027601586974248
2020,Uganda,21.63448547255198
1990,Tanzania,7.439022803184657
1995,Tanzania,12.18457419725801
2000,Tanzania,8.278740698614776
2005,Tanzania,5.397822015695421
2010,Tanzania,1.785844268498831
2015,Tanzania,1.7816103362846325
2020,Tanzania,1.7009682541561233
1990,Zambia,11.951076846161971
1995,Zambia,9.231462980486791
2000,Zambia,11.623528625639429
2005,Zambia,6.890715137104129
2010,Zambia,3.2892140268261336
2015,Zambia,1.8635500022985798
2020,Zambia,2.1079793707078065
1990,Zimbabwe,15.69541608270918
1995,Zimbabwe,9.750567032530197
