Country,Year,idmc_total_internal_displacement_disaster
Abyei Area,2019,26000
Afghanistan,2019,1198000
Afghanistan,2020,1117000
Angola,2019,1100
Angola,2020,790
Albania,2019,32000
United Arab Emirates,2019,20
Argentina,2020,16
Armenia,2020,2700
American Samoa,2020,11
Australia,2019,15000
Australia,2020,5100
Azerbaijan,2019,100
Burundi,2019,12000
Burundi,2020,76000
Benin,2020,2500
Burkina Faso,2020,20000
Bangladesh,2019,88000
Bangladesh,2020,345000
Bahamas,2019,600
Bahamas,2020,250
Bolivia,2019,1900
Bolivia,2020,13000
Brazil,2019,1400
Brazil,2020,20000
Barbados,2019,100
Botswana,2020,780
Central African Republic,2019,95000
Central African Republic,2020,4200
Canada,2019,6800
Canada,2020,18
Chile,2019,1600
Chile,2020,210
China,2019,220000
China,2020,158000
Cote d'Ivoire,2019,400
Cote d'Ivoire,2020,70
Cameroon,2019,28000
Cameroon,2020,30000
Democratic Republic of Congo,2019,168000
Democratic Republic of Congo,2020,64000
Congo,2019,107000
Congo,2020,107000
Colombia,2019,1600
Colombia,2020,21000
Comoros,2019,19000
Costa Rica,2020,530
Cuba,2019,2100
Cuba,2020,3
Djibouti,2020,11
Dominican Republic,2019,18
Dominican Republic,2020,3700
Algeria,2020,23
Ecuador,2019,200
Ecuador,2020,490
Egypt,2020,8400
Ethiopia,2019,390000
Ethiopia,2020,633000
Fiji,2019,600
Fiji,2020,14000
France,2019,2000
France,2020,230
Gabon,2020,2
United Kingdom,2019,1500
United Kingdom,2020,200
Georgia,2020,10
Ghana,2019,15000
Ghana,2020,550
Guinea,2019,18
Guinea,2020,2600
Gambia,2019,4000
Gambia,2020,1600
Guinea-Bissau,2019,400
Greece,2020,4800
Guatemala,2019,1300
Croatia,2020,5200
Haiti,2019,51000
Haiti,2020,34000
Indonesia,2019,104000
Indonesia,2020,161000
India,2019,590000
India,2020,929000
Iran,2019,180000
Iran,2020,79
Iraq,2019,300
Israel,2019,200
Israel,2020,70
Italy,2020,22
Japan,2019,88000
Japan,2020,61000
Kazakhstan,2020,1800
Kenya,2019,1400
Kenya,2020,204000
Cambodia,2019,1300
Cambodia,2020,260
South Korea,2019,1700
South Korea,2020,300
Laos,2019,5400
Laos,2020,2000
Lebanon,2019,200
Liberia,2019,600
Liberia,2020,1200
Saint Lucia,2019,8
Sri Lanka,2019,4900
Sri Lanka,2020,1400
Morocco,2020,340
Madagascar,2019,1400
Madagascar,2020,100
Mexico,2020,99000
Mali,2019,6300
Mali,2020,6700
Myanmar,2019,41000
Myanmar,2020,4600
Mongolia,2020,3500
Northern Mariana Islands,2019,12
Mozambique,2019,132000
Mozambique,2020,93000
Mauritania,2020,1600
Mauritius,2019,100
Malawi,2019,54000
Malaysia,2019,15000
Malaysia,2020,8
Niger,2019,121000
Niger,2020,267000
Nigeria,2019,143000
Nigeria,2020,143000
Nicaragua,2019,19
Nicaragua,2020,9100
Norway,2020,84
Nepal,2019,29000
Nepal,2020,28000
New Zealand,2019,11
New Zealand,2020,370
Pakistan,2019,15000
Pakistan,2020,806000
Panama,2019,30
Peru,2019,5800
Peru,2020,6800
Philippines,2019,364000
Philippines,2020,145000
Papua New Guinea,2019,11000
Papua New Guinea,2020,2700
Poland,2020,22
Puerto Rico,2019,5
Puerto Rico,2020,8200
North Korea,2019,900
North Korea,2020,5300
Paraguay,2020,5
Palestine,2020,10
French Polynesia,2019,4
Russia,2019,3500
Russia,2020,130
Rwanda,2019,5500
Rwanda,2020,4600
Sudan,2019,272000
Sudan,2020,454000
Senegal,2019,100
Senegal,2020,2000
Solomon Islands,2020,310
Sierra Leone,2019,2500
El Salvador,2020,62
Somalia,2019,600
South Sudan,2019,246000
South Sudan,2020,106000
Syria,2019,2900
Chad,2019,27000
Chad,2020,680
Thailand,2019,400
Thailand,2020,320
Tajikistan,2019,2100
Timor-Leste,2020,1100
Tonga,2020,93
Trinidad and Tobago,2019,3
Trinidad and Tobago,2020,6
Turkey,2019,100
Turkey,2020,44000
 Taiwan,2019,600
Tanzania,2019,1300
Tanzania,2020,38000
Uganda,2019,1100
Uganda,2020,33000
Ukraine,2020,240
United States,2019,37000
United States,2020,126000
Venezuela,2019,300
Venezuela,2020,2300
Vietnam,2019,7200
Vietnam,2020,162000
Vanuatu,2019,100
Vanuatu,2020,64000
Yemen,2019,400
Yemen,2020,223000
South Africa,2019,100
South Africa,2020,14
Zambia,2019,100
Zambia,2020,1000
Zimbabwe,2019,52000
Zimbabwe,2020,21000
