Year,Country,undesa_child_migrants_by_destination_under_20_per_capita
1990,World,0.005435706524040447
1995,World,0.004895538407847436
2000,World,0.0045683462724087995
2005,World,0.004621612561458257
2010,World,0.004690838975222066
2015,World,0.004694881032782727
2020,World,0.005257624433705062
1990,Burundi,0.01598430876202597
1995,Burundi,0.011109656117442931
2000,Burundi,0.005646924040319988
2005,Burundi,0.009818520576842158
2010,Burundi,0.009006172018415774
2015,Burundi,0.008743179402746094
2020,Burundi,0.00920940348661707
1990,Comoros,0.008882453267508588
1995,Comoros,0.007505353454187474
2000,Comoros,0.006429332654814717
2005,Comoros,0.005256488861639076
2010,Comoros,0.004275796872825129
2015,Comoros,0.0036183089261481666
2020,Comoros,0.002500014374507673
1990,Djibouti,0.07074440245734621
1995,Djibouti,0.04922388698969677
2000,Djibouti,0.03879723012303906
2005,Djibouti,0.03371601331889772
2010,Djibouti,0.03606190951137475
2015,Djibouti,0.035120426959358776
2020,Djibouti,0.026655816486201446
1990,Eritrea,0.0014659205569346986
1995,Eritrea,0.0015393151431318099
2000,Eritrea,0.0015176148451435233
2005,Eritrea,0.0016029558633479243
2010,Eritrea,0.0014890691724831625
2015,Eritrea,0.001389247036482393
2020,Eritrea,0.001037946079251032
1990,Ethiopia,0.00828285011835149
1995,Ethiopia,0.004593875890904742
2000,Ethiopia,0.002700302238697283
2005,Ethiopia,0.002021918282625578
2010,Ethiopia,0.002003355501226712
2015,Ethiopia,0.005472053564335155
2020,Ethiopia,0.004380909039691291
1990,Kenya,0.004639914714590871
1995,Kenya,0.008230249049842703
2000,Kenya,0.006955140970669483
2005,Kenya,0.006365478652404128
2010,Kenya,0.007337948628197438
2015,Kenya,0.008115381780474882
2020,Kenya,0.006053154749838668
1990,Madagascar,0.0004233252378488629
1995,Madagascar,0.00031412789658313004
2000,Madagascar,0.0003094475824716813
2005,Madagascar,0.00029901745797313175
2010,Madagascar,0.0002878736589692336
2015,Madagascar,0.00027713038827964585
2020,Madagascar,0.0002632983639930333
1990,Malawi,0.06059823069788194
1995,Malawi,0.007226836568703198
2000,Malawi,0.005769973694811194
2005,Malawi,0.0045778733481441
2010,Malawi,0.0037358638736433697
2015,Malawi,0.002893228878184064
2020,Malawi,0.0025200268374912537
1990,Mauritius,0.0011469225822521543
1995,Mauritius,0.001595674932398669
2000,Mauritius,0.0008868098219039494
2005,Mauritius,0.0016251912832137216
2010,Mauritius,0.0021290865922033923
2015,Mauritius,0.00235657112549297
2020,Mauritius,0.0019618373491370666
1990,Mayotte,22.875
2000,Mayotte,72.32
2005,Mayotte,92.00518134715026
2010,Mayotte,96.95698924731182
2015,Mayotte,96.34946236559139
1990,Mozambique,0.004303052553218946
1995,Mozambique,0.004964388352672371
2000,Mozambique,0.004639698959881549
2005,Mozambique,0.005189683753631015
2010,Mozambique,0.0047599889969078555
2015,Mozambique,0.003828303977948969
2020,Mozambique,0.002901575358013734
1990,Reunion,0.03226527459755328
2000,Reunion,0.04422819988145389
2005,Reunion,0.0468805057718107
2010,Reunion,0.04672599101891904
2015,Reunion,0.045731965897795164
1990,Rwanda,0.0068231305125902005
