Country,Year,undesa_share_of_population_that_are_international_migrants_by_origin
World,1990,2.872342514829863
Burundi,1990,6.197877204075265
Comoros,1990,9.737413690056803
Djibouti,1990,0.8990621501271187
Eritrea,1990,7.55332059120297
Ethiopia,1990,3.5289546428715215
Kenya,1990,1.0551590936891004
Madagascar,1990,0.5122580245782116
Malawi,1990,1.5251849141565117
Mauritius,1990,10.484918110106461
Mozambique,1990,17.111758170987454
Reunion,1990,0.5110986385603806
Rwanda,1990,7.514416132074009
Seychelles,1990,50.491696423510746
Somalia,1990,11.737640878887444
South Sudan,1990,9.375179786695602
Uganda,1990,1.7954587296186355
Tanzania,1990,0.8056031761499275
Zambia,1990,1.0601294114148467
Zimbabwe,1990,1.9589243481539116
Angola,1990,6.96201212232722
Cameroon,1990,0.9833120063809382
Central African Republic,1990,1.6515245444893363
Chad,1990,5.647893346748837
Congo,1990,4.089123110737714
Democratic Republic of Congo,1990,1.2611600310100337
Equatorial Guinea,1990,8.629779478420184
Gabon,1990,1.616336297371334
Sao Tome and Principe,1990,11.714522988650376
Algeria,1990,3.5780487592779684
Egypt,1990,2.354907442089334
Libya,1990,1.7183860933318578
Morocco,1990,7.046734851261078
Sudan,1990,2.903250175008507
Tunisia,1990,5.648146699020893
Western Sahara,1990,60.919157318424425
Botswana,1990,2.024315410225404
Eswatini,1990,4.277482512040641
Lesotho,1990,11.229770442615937
Namibia,1990,1.1219911522026327
South Africa,1990,0.8372710734664607
Benin,1990,4.706528426596905
Burkina Faso,1990,11.59150124622164
Cape Verde,1990,27.034232570801265
Cote d'Ivoire,1990,3.0720327168264183
Gambia,1990,3.796587466447606
Ghana,1990,2.5123544043114614
Guinea,1990,5.5533271350358815
Guinea-Bissau,1990,5.681122566687003
Liberia,1990,24.898779671826958
Mali,1990,7.661923226446657
Mauritania,1990,6.6103766958144305
Niger,1990,1.8660098831484144
Nigeria,1990,0.4692169786948249
Senegal,1990,4.919318985967353
Sierra Leone,1990,1.4318609608906785
Togo,1990,5.135428727370036
Kazakhstan,1990,18.137546287109874
Kyrgyzstan,1990,11.950325700309978
Tajikistan,1990,10.176348094207004
Turkmenistan,1990,7.057724014638524
Uzbekistan,1990,7.000469204686047
China,1990,0.35956187245322163
Hong Kong,1990,9.586776542080907
Taiwan,1990,0.0
North Korea,1990,0.19407130231783215
Japan,1990,0.4857650854109012
Mongolia,1990,1.1201668025707154
South Korea,1990,3.5256706584884214
Brunei,1990,10.174555686974806
Cambodia,1990,3.95993714958459
Indonesia,1990,0.8942332914132396
Laos,1990,11.34228693819918
Malaysia,1990,3.1079227395675075
Myanmar,1990,1.6579288329352706
Philippines,1990,3.2514637774072477
Singapore,1990,5.192355179344752
Thailand,1990,0.5426693595389782
Vietnam,1990,2.2144629439633894
Afghanistan,1990,61.87068628879827
Bangladesh,1990,5.2828725542154835
Bhutan,1990,5.361896454603515
India,1990,0.7579983148065808
Iran,1990,1.1198126991396904
Maldives,1990,0.9822592859799515
Nepal,1990,3.9568051168232707
Pakistan,1990,3.103716320830283
Sri Lanka,1990,5.100402758457648
Armenia,1990,25.427820756754066
Azerbaijan,1990,22.562634289313547
Bahrain,1990,2.58445295376134
Cyprus,1990,22.74541621881098
Georgia,1990,16.99390063581251
Iraq,1990,3.690962909535061
Israel,1990,6.2860414697770945
Jordan,1990,8.795032261248812
Kuwait,1990,3.8935261412174578
Lebanon,1990,18.113314439506933
Oman,1990,0.6900060590743191
Qatar,1990,2.556296257414309
Saudi Arabia,1990,0.6593963971189468
Palestine,1990,86.25840790503678
Syria,1990,4.983742787338239
Turkey,1990,4.660352505569273
United Arab Emirates,1990,4.347921202644663
Yemen,1990,3.8897737461194444
Belarus,1990,17.412831176021204
Bulgaria,1990,6.932786938274715
Czechia,1990,5.461296948024814
Hungary,1990,3.7735174496621657
Poland,1990,4.408370631835302
Moldova,1990,14.33217533046146
Romania,1990,3.4562885103236574
Russia,1990,8.576694253396436
Slovakia,1990,2.5144772906264685
Ukraine,1990,10.775714817496132
Denmark,1990,3.919654036272662
Estonia,1990,7.274255931655471
Faeroe Islands,1990,15.808065940535768
Finland,1990,5.015992090020055
Iceland,1990,6.899593795580371
Ireland,1990,26.121677151689276
Latvia,1990,8.071843800983844
Lithuania,1990,9.225372595227048
Norway,1990,3.2559380272484595
Sweden,1990,2.403793460657436
United Kingdom,1990,6.632287248008323
Albania,1990,5.483875876046463
Andorra,1990,6.861378146327144
Bosnia and Herzegovina,1990,19.30715939474242
Croatia,1990,8.909360037015558
Greece,1990,9.995364751970225
Vatican,1990,1.3123359580052494
Italy,1990,5.8739448863248835
Malta,1990,30.589171226765593
Montenegro,1990,12.58268238905763
North Macedonia,1990,21.64442961640462
Portugal,1990,18.9166374778962
San Marino,1990,5.8572376057038635
Serbia,1990,7.801767174910433
Slovenia,1990,4.557756065079615
Spain,1990,3.670692223796611
Austria,1990,6.540872718817331
Belgium,1990,3.6373193744694094
France,1990,2.1455873477798604
Germany,1990,3.7056298136726418
Liechtenstein,1990,11.896491837443557
Luxembourg,1990,9.457802923149458
Monaco,1990,15.204022695613768
Netherlands,1990,4.787503102146933
Switzerland,1990,4.893825569795185
Anguilla,1990,21.804332301832897
Antigua and Barbuda,1990,34.19314601890202
Aruba,1990,9.310012177185962
Bahamas,1990,9.810441522556172
Barbados,1990,32.485733885710125
Cuba,1990,7.8812503857228835
Dominica,1990,57.599897759222976
Dominican Republic,1990,6.420713224422657
Grenada,1990,44.88518395482103
Guadeloupe,1990,1.6367471743753248
Haiti,1990,7.455489303295081
Jamaica,1990,24.31711049336316
Martinique,1990,3.070869866463352
Montserrat,1990,66.88408497950056
Puerto Rico,1990,34.012683007558344
Saint Kitts and Nevis,1990,46.24441132637854
Saint Lucia,1990,15.939109832704194
Saint Vincent and the Grenadines,1990,34.43143019285694
Trinidad and Tobago,1990,16.168749861807306
