Country,Year,undesa_refugees_by_destination_per_1000
World,1990,28.72342514829863
Burundi,1990,61.24517577720295
Comoros,1990,34.20570556708245
Djibouti,1990,207.01634335095437
Eritrea,1990,5.245613638949655
Ethiopia,1990,24.126989669031804
Kenya,1990,12.564567018147512
Madagascar,1990,2.0620508581733716
Malawi,1990,119.91324577736677
Mauritius,1990,3.4218260030363616
Mayotte,1990,76145.0
Mozambique,1990,9.419361634434647
Reunion,1990,94.71964079053896
Rwanda,1990,21.954529932775706
Seychelles,1990,52.72629371422094
Somalia,1990,66.19904612939716
Uganda,1990,31.362257226483553
Tanzania,1990,22.775292090318906
Zambia,1990,34.77270756237923
Zimbabwe,1990,60.83168326701915
Angola,1990,2.82882435032285
Cameroon,1990,22.577678974499847
Central African Republic,1990,23.954480999308807
Chad,1990,12.466691820735338
Congo,1990,54.90253485747261
Democratic Republic of Congo,1990,21.789942760641296
Equatorial Guinea,1990,6.536446654007271
Gabon,1990,135.00678783308564
Sao Tome and Principe,1990,46.82453800404325
Algeria,1990,10.635325956819848
Egypt,1990,3.09672426276058
Libya,1990,103.02224892898109
Morocco,1990,2.212842338036932
Sudan,1990,69.63095143082111
Tunisia,1990,4.608305553563849
Western Sahara,1990,9.73327636276732
Botswana,1990,21.379344646537493
Eswatini,1990,91.18300436636622
Lesotho,1990,4.836370444846302
Namibia,1990,84.19365216948299
South Africa,1990,31.62681970658719
Benin,1990,15.416524973742032
Burkina Faso,1990,39.68342871942484
Cape Verde,1990,26.426751648897923
Cote d'Ivoire,1990,152.3224607926642
Gambia,1990,123.61199043527854
Ghana,1990,11.158731639310284
Guinea,1990,63.5395279995441
Guinea-Bissau,1990,15.75776840140885
Liberia,1990,45.74556689886927
Mali,1990,19.0222031819255
Mauritania,1990,54.882475801817485
Niger,1990,14.3851836495489
Nigeria,1990,4.795811690768941
Senegal,1990,35.928648130968895
Sierra Leone,1990,51.42596943397126
Togo,1990,22.479340594704727
Kazakhstan,1990,220.90004193756047
Kyrgyzstan,1990,142.48785412833863
Tajikistan,1990,81.17247191468431
Turkmenistan,1990,83.19810813202467
Uzbekistan,1990,81.03597806234006
China,1990,0.3197945609035937
Hong Kong,1990,387.30716896225556
North Korea,1990,1.6805255117550795
Japan,1990,8.636720623885696
Mongolia,1990,3.0758115669378188
South Korea,1990,1.0076560141455362
Brunei,1990,282.93791599990726
Cambodia,1990,4.275481619774149
Indonesia,1990,2.5665800052981753
Laos,1990,5.369532867548
Malaysia,1990,38.59826917888938
Myanmar,1990,3.230782451019698
Philippines,1990,2.4892249668144535
Singapore,1990,241.37727317382726
Thailand,1990,9.347769861683707
Vietnam,1990,0.413567782543183
Afghanistan,1990,4.647482648476983
Bangladesh,1990,8.54512239212444
Bhutan,1990,44.851083551086006
