Year,Country,unhcr_resettlement_arrivals_by_origin_per_100000
1959,Albania,1.0701879627776036
1959,Egypt,0.019295165360917806
1959,Austria,0.24159553099429068
1959,Bulgaria,0.44762734486387273
1959,Czechia,0.377055462868573
1959,Estonia,2.5745241697990044
1959,Finland,0.11364493866355371
1959,Germany,0.16722663602307097
1959,Greece,0.4131672514401005
1959,Hungary,5.805642723754885
1959,Italy,0.12756033330421718
1959,Lebanon,0.28617740251652957
1959,Lithuania,1.0965449331217245
1959,Latvia,2.8068372652841806
1959,Netherlands,0.07082978151491445
1959,Poland,1.0655829653645792
1959,Romania,0.11943247857679916
1959,Russia,0.16402330845615487
1959,Spain,0.016613184947909525
1960,Albania,1.283547186556249
1960,Austria,0.11314180217636742
1960,Bulgaria,0.2663079709653296
1960,Czechia,0.09384601620533008
1960,Germany,0.016345605155098746
1960,Greece,0.169212345539345
1960,Hungary,3.799624217164922
1960,Italy,0.12072447481684437
1960,Latvia,0.8452355013936994
1960,Poland,0.6010629832626584
1960,Romania,0.15042485620323903
1960,Russia,0.035871686144436095
1961,Albania,1.186291687772773
1961,Austria,0.09843711394194377
1961,Bulgaria,0.13830437826398334
1961,Czechia,0.1452524445986426
1961,Estonia,0.4876050788945017
1961,Germany,0.02840598707849522
1961,Greece,0.060139458593321225
1961,Hungary,3.3298516112444103
1961,Italy,0.015983321723448015
1961,Lithuania,0.9262808683099364
1961,Latvia,0.8342370901810294
1961,Poland,0.5863616804112954
1961,Romania,0.2183149176713146
1961,Russia,0.04200853618397439
1962,Albania,1.1509632123383255
1962,Bulgaria,0.062327376539751095
1962,China,0.02521614583836526
1962,Czechia,0.17541938906379806
1962,Germany,0.00671235993821944
1962,Hungary,1.788818098068971
1962,Italy,0.03766676215521283
1962,Lithuania,0.1756609154111888
1962,Latvia,0.4117348080149213
1962,Poland,0.43107201291610214
1962,Romania,0.2219386105121117
1962,Russia,0.03744153372242955
1963,Albania,2.4014685818099366
1963,Bulgaria,0.18539798086766998
1963,China,0.012385879173697788
1963,Czechia,0.14370094601412067
1963,Germany,0.030633684807806056
1963,Greece,0.08347799871753943
1963,Hungary,1.2478985042549873
1963,Italy,0.009831603315255963
1963,Latvia,0.22585548410993742
1963,Poland,0.2700373048402983
1963,Romania,0.5351540042058908
1963,Russia,0.029788201139884965
1963,Spain,0.01908836027422084
1963,Turkey,0.016931152718252546
1964,Albania,0.8678441503778648
1964,Bulgaria,0.15935602514098718
1964,Czechia,0.23506948500670613
1964,Estonia,0.39202157686759076
1964,France,0.010376799435601727
1964,Germany,0.009249800848484232
1964,Hungary,2.3981104074241553
1964,Italy,0.009751676674032303
1964,Poland,0.28976689187242183
1964,Portugal,0.11250839031320761
1964,Romania,0.44775018288772733
1964,Russia,0.033484547690450756
1964,Spain,0.15727257646262394
1965,Albania,0.6328529803420043
1965,Austria,0.06844482676203678
1965,Bulgaria,0.47430322424034865
1965,Czechia,0.917302620682626
1965,Germany,0.007868023453109217
1965,Greece,0.05914486695303034
1965,Hungary,3.4513946289219786
1965,Italy,0.009675438012400311
1965,Lithuania,0.2697085293636733
1965,Latvia,0.2205618327453155
1965,Poland,0.328434420399183
1965,Romania,0.29412409714867327
1965,Russia,0.02766716598523359
1965,Spain,0.06221564533722514
