Country,Year,undesa_refugees_by_destination
World,1990,18977581
Sub-Saharan Africa,1990,4494798
Northern Africa and Western Asia,1990,3769356
Central and Southern Asia,1990,7011227
Eastern and South-Eastern Asia,1990,460736
Latin America and the Caribbean,1990,1197274
Oceania (excluding Australia and New Zealand),1990,8089
Australia and New Zealand,1990,102581
Europe and Northern America,1990,1933520
Developed regions,1990,2042750
Less developed regions,1990,16934831
"Less developed regions, excluding least developed countries",1990,11885856
"Less developed regions, excluding China",1990,16638951
Least developed countries,1990,5048975
Land-locked Developing Countries (LLDC),1990,2466944
Small island developing States (SIDS),1990,50107
High-income countries,1990,2116387
Middle-income countries,1990,12127964
Upper-middle-income countries,1990,6192358
Lower-middle-income countries,1990,5935606
Low-income countries,1990,4726629
Africa,1990,5697283
Eastern Africa,1990,3177187
Burundi,1990,267929
Djibouti,1990,54508
Ethiopia,1990,741965
Kenya,1990,14249
Malawi,1990,874614
Mozambique,1990,420
Rwanda,1990,23601
Somalia,1990,460000
Uganda,1990,145718
Tanzania,1990,265184
Zambia,1990,138049
Zimbabwe,1990,190950
Middle Africa,1990,447234
Angola,1990,12000
Cameroon,1990,49876
Central African Republic,1990,3389
Congo,1990,2990
Democratic Republic of Congo,1990,378562
Gabon,1990,417
Northern Africa,1990,1202485
Algeria,1990,169107
Egypt,1990,1991
Morocco,1990,307
Sudan,1990,1031050
Tunisia,1990,30
Southern Africa,1990,135525
Botswana,1990,1220
Eswatini,1990,42074
Lesotho,1990,2231
South Africa,1990,90000
Western Africa,1990,734852
Benin,1990,657
Burkina Faso,1990,350
Cote d'Ivoire,1990,136381
Gambia,1990,39
Ghana,1990,4102
Guinea,1990,325000
Guinea-Bissau,1990,3004
Liberia,1990,125
Mali,1990,13411
Mauritania,1990,60000
Niger,1990,792
Nigeria,1990,3571
Senegal,1990,58113
Sierra Leone,1990,125830
Togo,1990,3477
Asia,1990,10038834
Central Asia,1990,3000
Tajikistan,1990,3000
Eastern Asia,1990,302759
China,1990,285788
Hong Kong,1990,10092
Japan,1990,6649
South Korea,1990,230
South-Eastern Asia,1990,157977
Indonesia,1990,2138
Malaysia,1990,14862
Philippines,1990,19860
Singapore,1990,146
Thailand,1990,99821
Vietnam,1990,21150
Southern Asia,1990,7008227
Afghanistan,1990,25
Bangladesh,1990,73
India,1990,212743
Iran,1990,3512201
Nepal,1990,17325
Pakistan,1990,3265845
Sri Lanka,1990,15
Western Asia,1990,2566871
Bahrain,1990,1780
Cyprus,1990,17
Iraq,1990,900
Jordan,1990,929482
Kuwait,1990,30000
Lebanon,1990,305499
Saudi Arabia,1990,33261
Palestine,1990,910637
Syria,1990,282794
Turkey,1990,30534
United Arab Emirates,1990,433
Yemen,1990,41534
Europe,1990,1323376
Eastern Europe,1990,45774
Hungary,1990,45123
Romania,1990,651
Northern Europe,1990,207043
Denmark,1990,31827
Finland,1990,2174
Iceland,1990,43
Ireland,1990,360
Norway,1990,19581
Sweden,1990,109663
United Kingdom,1990,43395
Southern Europe,1990,33975
Albania,1990,3000
Greece,1990,8488
Italy,1990,12379
Portugal,1990,867
Serbia,1990,938
Spain,1990,8303
Western Europe,1990,1036584
Austria,1990,37172
Belgium,1990,25721
France,1990,193000
Germany,1990,722250
Luxembourg,1990,344
Netherlands,1990,17154
Switzerland,1990,40943
Latin America and the Caribbean,1990,1197274
Caribbean,1990,6632
Cuba,1990,3989
Dominican Republic,1990,2643
Central America,1990,1162216
Belize,1990,30404
Costa Rica,1990,277505
El Salvador,1990,20515
Guatemala,1990,223239
Honduras,1990,237144
Mexico,1990,356454
Nicaragua,1990,15605
Panama,1990,1350
South America,1990,28426
Argentina,1990,12185
Bolivia,1990,235
Brazil,1990,5333
Chile,1990,179
Colombia,1990,580
Ecuador,1990,634
French Guiana,1990,6601
Paraguay,1990,66
Peru,1990,724
Suriname,1990,52
Uruguay,1990,87
Venezuela,1990,1750
Northern America,1990,610144
Canada,1990,145257
United States,1990,464887
Oceania,1990,110670
Australia and New Zealand,1990,102581
Australia,1990,97915
New Zealand,1990,4666
Melanesia,1990,8089
Papua New Guinea,1990,8089
World,1995,18142316
Sub-Saharan Africa,1995,5076802
Northern Africa and Western Asia,1995,4649756
Central and Southern Asia,1995,3712870
Eastern and South-Eastern Asia,1995,466010
Latin America and the Caribbean,1995,352309
Oceania (excluding Australia and New Zealand),1995,9601
Australia and New Zealand,1995,82839
Europe and Northern America,1995,3792129
Developed regions,1995,3880290
Less developed regions,1995,14262026
"Less developed regions, excluding least developed countries",1995,9096779
"Less developed regions, excluding China",1995,13966743
Least developed countries,1995,5165247
Land-locked Developing Countries (LLDC),1995,1708822
Small island developing States (SIDS),1995,38291
High-income countries,1995,3206166
Middle-income countries,1995,10642054
Upper-middle-income countries,1995,5729633
Lower-middle-income countries,1995,4912421
Low-income countries,1995,4290795
Africa,1995,5952996
Eastern Africa,1995,2028623
Burundi,1995,173017
Comoros,1995,5
Djibouti,1995,27310
Eritrea,1995,1083
Ethiopia,1995,393479
Kenya,1995,234665
Malawi,1995,1018
Mozambique,1995,128
Rwanda,1995,7792
Somalia,1995,626
Uganda,1995,229350
Tanzania,1995,829671
Zambia,1995,129965
Zimbabwe,1995,514
Middle Africa,1995,1545096
Angola,1995,11404
Cameroon,1995,45781
Central African Republic,1995,33856
Chad,1995,100
Congo,1995,19404
Democratic Republic of Congo,1995,1433760
Gabon,1995,791
Northern Africa,1995,876194
Algeria,1995,192489
Egypt,1995,5407
Libya,1995,3973
Morocco,1995,55
Sudan,1995,674071
Tunisia,1995,199
Southern Africa,1995,105184
Botswana,1995,266
Eswatini,1995,712
Lesotho,1995,1116
Namibia,1995,1682
South Africa,1995,101408
Western Africa,1995,1397899
Benin,1995,2317
Burkina Faso,1995,29777
Cote d'Ivoire,1995,297908
Gambia,1995,6599
Ghana,1995,83200
Guinea,1995,672298
Guinea-Bissau,1995,15350
Liberia,1995,120080
Mali,1995,17916
Mauritania,1995,34394
Niger,1995,27622
Nigeria,1995,8118
Senegal,1995,66769
Sierra Leone,1995,4675
Togo,1995,10876
Asia,1995,7952442
Central Asia,1995,55538
Kazakhstan,1995,15561
Kyrgyzstan,1995,13407
Tajikistan,1995,620
Turkmenistan,1995,23323
Uzbekistan,1995,2627
Eastern Asia,1995,300610
China,1995,289747
Hong Kong,1995,5536
Japan,1995,5322
South Korea,1995,5
South-Eastern Asia,1995,165400
Cambodia,1995,15
Indonesia,1995,202
Malaysia,1995,23323
Philippines,1995,783
Singapore,1995,112
Thailand,1995,106565
Vietnam,1995,34400
Southern Asia,1995,3657332
Afghanistan,1995,19605
Bangladesh,1995,10996
India,1995,227480
Iran,1995,2071988
Nepal,1995,124754
Pakistan,1995,1202493
Sri Lanka,1995,16
Western Asia,1995,3773562
Armenia,1995,218950
Azerbaijan,1995,233682
Bahrain,1995,891
Cyprus,1995,57
Georgia,1995,3200
Iraq,1995,116722
Israel,1995,1051
Jordan,1995,1250358
Kuwait,1995,3306
Lebanon,1995,342697
Saudi Arabia,1995,13169
Palestine,1995,1159134
Syria,1995,363644
Turkey,1995,12841
United Arab Emirates,1995,407
Yemen,1995,53453
Europe,1995,3016710
Eastern Europe,1995,52683
Belarus,1995,28988
Bulgaria,1995,1320
Czechia,1995,2655
Hungary,1995,11394
Poland,1995,600
Romania,1995,194
Slovakia,1995,2339
Ukraine,1995,5193
Northern Europe,1995,396827
Denmark,1995,50924
Finland,1995,7624
Iceland,1995,146
Ireland,1995,400
Norway,1995,47607
Sweden,1995,199212
United Kingdom,1995,90909
Southern Europe,1995,905781
Albania,1995,4720
Croatia,1995,198647
Greece,1995,4428
Italy,1995,9408
Malta,1995,416
North Macedonia,1995,9048
Portugal,1995,248
Serbia,1995,650700
Slovenia,1995,22314
Spain,1995,5852
Western Europe,1995,1661419
Austria,1995,42980
Belgium,1995,31691
France,1995,155245
Germany,1995,1267900
Luxembourg,1995,700
Netherlands,1995,79960
Switzerland,1995,82943
Latin America and the Caribbean,1995,352309
Caribbean,1995,3532
Bahamas,1995,50
Cuba,1995,2475
Dominican Republic,1995,985
Jamaica,1995,19
Central America,1995,313977
Belize,1995,8750
Costa Rica,1995,24226
El Salvador,1995,10279
Guatemala,1995,111983
Honduras,1995,118578
Mexico,1995,38717
Nicaragua,1995,577
Panama,1995,867
South America,1995,34800
Argentina,1995,7278
Bolivia,1995,685
Brazil,1995,19605
Chile,1995,262
Colombia,1995,408
Ecuador,1995,796
French Guiana,1995,3301
Paraguay,1995,60
Peru,1995,610
Suriname,1995,50
Uruguay,1995,132
Venezuela,1995,1613
Northern America,1995,775419
Canada,1995,152125
United States,1995,623294
Oceania,1995,92440
Australia and New Zealand,1995,82839
Australia,1995,79081
New Zealand,1995,3758
Melanesia,1995,9601
Papua New Guinea,1995,9601
World,2000,16503717
Sub-Saharan Africa,2000,3080836
Northern Africa and Western Asia,2000,4913157
Central and Southern Asia,2000,4277031
Eastern and South-Eastern Asia,2000,612677
Latin America and the Caribbean,2000,44176
Oceania (excluding Australia and New Zealand),2000,7066
Australia and New Zealand,2000,76169
Europe and Northern America,2000,3492605
Developed regions,2000,3572526
Less developed regions,2000,12931191
"Less developed regions, excluding least developed countries",2000,9832292
"Less developed regions, excluding China",2000,12636507
Least developed countries,2000,3098899
Land-locked Developing Countries (LLDC),2000,1416388
Small island developing States (SIDS),2000,26089
High-income countries,2000,3020738
Middle-income countries,2000,11145232
Upper-middle-income countries,2000,5601638
Lower-middle-income countries,2000,5543594
Low-income countries,2000,2337747
Africa,2000,3698535
Eastern Africa,2000,1696779
Burundi,2000,27136
Comoros,2000,10
Djibouti,2000,23257
Eritrea,2000,1984
Ethiopia,2000,197959
Kenya,2000,214819
Madagascar,2000,50
Malawi,2000,3900
Mozambique,2000,207
Rwanda,2000,30118
Somalia,2000,568
Uganda,2000,239095
Tanzania,2000,702282
Zambia,2000,251199
Zimbabwe,2000,4195
Middle Africa,2000,608840
Angola,2000,12579
Cameroon,2000,45313
Central African Republic,2000,55661
Chad,2000,17692
Congo,2000,124068
Democratic Republic of Congo,2000,332509
Gabon,2000,21018
Northern Africa,2000,617699
Algeria,2000,167453
Egypt,2000,18019
Libya,2000,11543
Morocco,2000,2105
Sudan,2000,418131
Tunisia,2000,448
Southern Africa,2000,62850
Botswana,2000,3551
Eswatini,2000,690
Namibia,2000,28407
South Africa,2000,30201
Western Africa,2000,712367
Benin,2000,3977
Burkina Faso,2000,1010
Cote d'Ivoire,2000,120691
Gambia,2000,12016
Ghana,2000,12991
Guinea,2000,427206
Guinea-Bissau,2000,7587
Liberia,2000,69315
Mali,2000,8412
Mauritania,2000,350
