Year,Country,unhcr_resettlement_arrivals_by_destination_per_capita
1959,Canada,0.0001745219314938045
1960,Canada,0.00013027104670236634
1961,Canada,9.932014238263592e-05
1962,Canada,9.291897207526781e-05
1963,Canada,0.00010668715172596953
1964,Canada,0.00011771277543493055
1965,Canada,0.00010856954001312311
1966,Canada,0.00010302520137597216
1967,Canada,7.365391202642921e-05
1968,Canada,0.0004826118734032345
1969,Canada,0.0001711750776696808
1970,Canada,6.400201812211529e-05
1971,Canada,3.369628187768388e-05
1971,Belgium,2.173165483550534e-06
1972,Canada,0.0002369950280880563
1972,Belgium,2.785559864002777e-06
1973,Canada,0.00010698043788190689
1973,Belgium,2.5718180181570353e-06
1974,Canada,7.258452250023476e-05
1974,Belgium,1.128549712050541e-06
1975,Canada,0.00027255854544546213
1975,Belgium,5.116878720354596e-07
1976,Canada,0.00023905368140314363
1976,Netherlands,4.835747703019841e-05
1976,Australia,0.0003138696366072745
1976,Belgium,7.146670401993063e-07
1977,Canada,0.00015320903106521487
1977,Australia,0.0005764750085949699
1977,Belgium,1.9354786790215402e-06
1978,Canada,0.00012107917272550641
1978,Netherlands,2.9819687429607304e-05
1978,Australia,0.0006735019003954061
1978,Belgium,2.54147380269136e-06
1979,Canada,0.001144896640401756
1979,Ireland,6.34349739153592e-05
1979,Australia,0.0009331851893172568
1979,Finland,2.1168053174149574e-05
1979,United Kingdom,5.159675315510142e-05
1979,Netherlands,0.00015879337506078254
1980,Canada,0.0016491866181947451
1980,Denmark,8.509068696092562e-05
1980,New Zealand,0.00028856451864069587
1980,Australia,0.00136779907323627
1980,Finland,3.132670474183976e-06
1980,United Kingdom,0.00012186624942509374
1980,Netherlands,0.00010142482441489892
1981,Canada,0.0005925046940065532
1981,Denmark,7.277628453068857e-05
1981,New Zealand,0.00043699126301850055
1981,Australia,0.0014784221222351318
1981,United Kingdom,4.891433390799079e-05
1981,Netherlands,7.979607638122614e-05
1982,Canada,0.0006539030422284187
1982,United States,0.0004163639949971998
1982,Denmark,7.280394132822105e-05
1982,New Zealand,0.00021890917370568383
1982,Netherlands,4.267163914847275e-05
1982,Australia,0.0014631619586168904
1982,Finland,2.068208695493911e-06
1982,United Kingdom,1.4348858406958802e-05
1983,Canada,0.0005341371862932254
1983,United States,0.00026989762447214604
1983,New Zealand,0.00021021652301870928
1983,Sweden,0.0001640575672843048
1983,Australia,0.0011223691716633834
1983,Denmark,9.59057990193388e-05
1983,Finland,2.8382383095946235e-05
1983,United Kingdom,2.1714102355267554e-05
1983,Netherlands,2.847121149808136e-05
1983,Norway,0.0002131121944785758
1984,Canada,0.0005733175617293
1984,Sweden,0.00012757114609246223
1984,United States,0.00029846361310687864
1984,New Zealand,0.0001723694540359429
1984,Australia,0.0009575861127255667
1984,Belgium,8.378447403034613e-06
1984,Denmark,5.414328032048131e-05
1984,Finland,1.247903879487672e-05
1984,United Kingdom,1.425454701410554e-05
1984,Netherlands,3.303893815484803e-05
1984,Norway,0.0001614203053695208
1985,Canada,0.000607617683830374
1985,Sweden,8.004642453321209e-05
1985,United States,0.00028294407635777794
1985,New Zealand,0.00022030246304273194
1985,Australia,0.0009480535598549306
1985,Denmark,5.4944517768978836e-05
1985,Finland,2.036153949527816e-06
1985,United Kingdom,9.377178942188629e-06
1985,Netherlands,3.017786960363022e-05
1985,Norway,0.00018636631672016473
1986,Canada,0.0006784144996775517
1986,Denmark,7.351438858415394e-05
1986,Sweden,0.00016529542621831136
1986,United States,0.0002572177999166323
1986,New Zealand,0.00020545214059248021
1986,Australia,0.000743831662853273
1986,Finland,2.5150385105130637e-05
1986,United Kingdom,1.4737492614667379e-05
1986,Netherlands,2.5349846725919994e-05
1986,Norway,0.0002021913416055096
1987,Canada,0.0007384359805627035
1987,United States,0.00026453076761667423
1987,New Zealand,0.00016008452462900412
1987,Denmark,5.999278523247302e-05
1987,Sweden,0.00017289993084002766
1987,Australia,0.0006859600155939888
1987,Finland,5.943755094647224e-05
1987,United Kingdom,7.677609584198314e-06
1987,Japan,2.3644557461637316e-06
1987,Netherlands,3.820833034227717e-05
1987,Norway,0.00019178537616205697
1988,Canada,0.0009318392718082154
1988,United States,0.0003092100974394631
1988,New Zealand,0.00019353171984888323
1988,Sweden,0.00017436935824751706
1988,Australia,0.0006732206606533887
1988,Denmark,0.00010483281216263649
1988,Finland,8.062732899598617e-05
1988,United Kingdom,1.2585202259337754e-05
1988,Japan,1.5616842374484403e-06
1988,Netherlands,4.738043395197966e-05
1988,Norway,0.00018402461840450656
1989,United States,0.0004294149668767316
1989,Canada,0.0012751523694496628
1989,Netherlands,4.0487847626339405e-05
1989,New Zealand,0.0003153864555203936
1989,Australia,0.0006513705375778338
1989,Belgium,2.514985959665036e-05
1989,Denmark,0.00015534966148587564
1989,Finland,8.036779517785192e-05
1989,United Kingdom,1.268993457733189e-05
1989,Japan,1.563778164460889e-06
1989,Norway,0.00025437067983936077
1989,Sweden,0.00018310578416960645
1990,United States,0.0004849906795886086
1990,Canada,0.0013090511301871736
1990,New Zealand,0.0002377746878839377
1990,Sweden,0.00016971359372036358
1990,Netherlands,4.684124932628117e-05
1990,Australia,0.0007044562102755798
1990,Denmark,0.00014529916358643462
1990,Finland,0.00012789668989756256
1990,United Kingdom,1.1376688328989743e-05
1990,Iceland,0.00011762676244099058
1990,Japan,2.578204678496953e-06
1990,Norway,0.0002293229135028816
1991,United States,0.00044318487767458183
1991,Canada,0.0009646878839913337
1991,Denmark,0.00016547343443314
1991,New Zealand,0.00019819097775473126
1991,Sweden,0.0001990692324994145
1991,Netherlands,3.9098485833138284e-05
1991,Australia,0.0004505726985523207
1991,Finland,9.145003899079005e-05
1991,United Kingdom,8.552857848430512e-06
1991,Iceland,0.0001785603378672132
1991,Japan,2.9616641235310426e-06
1991,Norway,0.0002674808201964415
1992,Australia,0.0005735488641968342
1992,Canada,0.0005544491452611409
1992,Denmark,0.0001065423170227552
1992,Sweden,0.000390480427916818
1992,United States,0.000513750292384226
1992,New Zealand,0.00017612498765412363
1992,Netherlands,4.23978705850827e-05
1992,Finland,0.00013359952808048004
1992,United Kingdom,1.0792736787553385e-05
1992,Japan,3.2793085206967452e-06
1992,Norway,0.00047452817991536765
1993,Canada,0.0004119032796874761
1993,Australia,0.0006209094465776726
1993,Denmark,0.0006157112322026992
1993,Netherlands,2.9997370317864055e-05
1993,Norway,0.00034215238637969416
1993,United States,0.00046038230411009226
1993,New Zealand,0.00011474346979202816
1993,Sweden,0.00010712525880982351
1993,Finland,0.00011534407433127055
1993,United Kingdom,8.853816356814632e-06
1993,Japan,2.3864942182762546e-06
1994,Canada,0.00036319242608313424
1994,Australia,0.0007615237351677324
1994,United Kingdom,4.501121489043007e-06
1994,Denmark,0.0007261096678892583
1994,United States,0.0004296769473343327
1994,Norway,0.0001596179855611367
1994,Ireland,0.0001821790747433097
1994,New Zealand,0.0002034073069866132
1994,Sweden,0.0008442602408323942
1994,Netherlands,3.2272502767074316e-05
1994,Finland,0.00012771993431546236
1994,Japan,1.308971890875821e-06
1995,Australia,0.0008562734913188585
1995,Canada,0.0003923995323985579
1995,Denmark,0.00038469557546578646
1995,United States,0.0003752096709180159
1995,Netherlands,3.1678606699883085e-05
1995,Norway,0.0003643236678027642
1995,New Zealand,0.00022313289468671598
1995,Sweden,0.0002221487636227382
1995,Finland,0.00012541482614223214
1995,United Kingdom,1.208303809005143e-06
1995,Iceland,2.9892350173936114e-05
1995,Japan,6.72652024620077e-07
1996,Australia,0.0006101947774276202
