Year,Country,undesa_child_migrants_by_destination_under_15_per_1000
1990,World,3.6273276369075362
1995,World,3.2476926615516786
2000,World,3.0089365112811812
2005,World,2.992947031938035
2010,World,3.1011310232579934
2015,World,3.2112278470864966
2020,World,3.6484387761027133
1990,Burundi,12.267788744132838
1995,Burundi,8.526578391606943
2000,Burundi,3.983777066505969
2005,Burundi,7.790511071701731
2010,Burundi,6.8897780742924475
2015,Burundi,7.131669047564211
2020,Burundi,7.611863341861229
1990,Comoros,6.066598963065904
1995,Comoros,5.098928467755167
2000,Comoros,4.343994188340543
2005,Comoros,3.5511955855303494
2010,Comoros,2.8896789310072846
2015,Comoros,2.4297851267308523
2020,Comoros,1.5478469862407214
1990,Djibouti,41.33856600603327
1995,Djibouti,29.76593668948341
2000,Djibouti,24.53813318988764
2005,Djibouti,21.510428370069253
2010,Djibouti,23.18631173276648
2015,Djibouti,22.746220451248252
2020,Djibouti,16.871423337199722
1990,Eritrea,0.9572093760473628
1995,Eritrea,1.0112388606073694
2000,Eritrea,1.00243716991659
2005,Eritrea,1.0758306732379248
2010,Eritrea,1.0112170656600337
2015,Eritrea,0.9557804223861425
2020,Eritrea,0.6147031928191388
1990,Ethiopia,5.4798226122593405
1995,Ethiopia,3.078658136899889
2000,Ethiopia,1.8570683986419652
2005,Ethiopia,1.3824636711322393
2010,Ethiopia,1.3611370575445936
2015,Ethiopia,4.527207310706483
2020,Ethiopia,3.550811390420913
1990,Kenya,2.834824347109457
1995,Kenya,6.123638046654428
2000,Kenya,5.023470214212574
2005,Kenya,4.659699111235726
2010,Kenya,5.534337723364198
2015,Kenya,6.2538092643523
2020,Kenya,4.709445373275335
1990,Madagascar,0.30926020940201043
1995,Madagascar,0.25446363273885014
2000,Madagascar,0.24386676667423954
2005,Madagascar,0.2301392800741594
2010,Madagascar,0.21780816995750685
2015,Madagascar,0.20739388497520844
2020,Madagascar,0.187136486382101
1990,Malawi,46.32357343012105
1995,Malawi,4.99450551571459
2000,Malawi,4.013992240027605
2005,Malawi,3.274446675299681
2010,Malawi,2.79876852259232
2015,Malawi,1.9735083953382753
2020,Malawi,1.7337207536557195
1990,Mauritius,0.958452232237143
1995,Mauritius,1.2341894396620465
2000,Mauritius,0.6986475095494482
2005,Mauritius,1.0531828708439375
2010,Mauritius,1.302933684201248
2015,Mauritius,1.365667902913716
2020,Mauritius,1.1086936522177413
1990,Mozambique,3.0907135991090366
1995,Mozambique,3.56571803242944
2000,Mozambique,3.7773985605743023
2005,Mozambique,3.713978292203344
2010,Mozambique,3.51510802489269
2015,Mozambique,2.8100731155212957
2020,Mozambique,2.119183431617573
1990,Reunion,23.654247648565466
2000,Reunion,29.825814590014218
2005,Reunion,31.61458219881066
2010,Reunion,31.51023840839668
2015,Reunion,30.83967462904975
1990,Rwanda,5.075537637248396
1995,Rwanda,7.43803210491237
2000,Rwanda,9.370169333606261
2005,Rwanda,10.517837791367183
2010,Rwanda,9.585691805575228
2015,Rwanda,11.716881580245905
2020,Rwanda,10.226672531303347
1990,Seychelles,7.8501388652723465
1995,Seychelles,9.980039920159681
2000,Seychelles,9.395293710955826
2005,Seychelles,10.513017190813517
2010,Seychelles,9.016905327972127
2015,Seychelles,10.17045514366031
2020,Seychelles,9.833231645312182
1990,Somalia,27.7750211796699
1995,Somalia,1.0826724750912582
2000,Somalia,0.7252951618811462
2005,Somalia,0.6297588480208782
2010,Somalia,1.25300090020779
2015,Somalia,0.9428721935255868
2020,Somalia,1.0875707432207409
1990,South Sudan,0.0
1995,South Sudan,0.0
2000,South Sudan,0.0
2005,South Sudan,0.0
2010,South Sudan,7.341214668504766
2015,South Sudan,20.05084709225015
2020,South Sudan,20.06158984195526
1990,Uganda,9.492408119096057
1995,Uganda,10.21796873457643
2000,Uganda,8.935035066783273
2005,Uganda,8.100354746087985
2010,Uganda,5.0563146282348885
2015,Uganda,9.108199571871586
2020,Uganda,18.264620362475675
1990,Tanzania,5.3507702474637995
1995,Tanzania,8.764170062606901
2000,Tanzania,6.029670519965311
2005,Tanzania,4.054530309147208
2010,Tanzania,1.3725312274700534
2015,Tanzania,1.3283895825229468
2020,Tanzania,1.268268153126919
1990,Zambia,8.461276303685686
1995,Zambia,6.535842810858729
2000,Zambia,8.287392537324036
2005,Zambia,4.786338742691193
2010,Zambia,2.2280634420761567
2015,Zambia,1.1758023145754524
2020,Zambia,1.4679647840758538
1990,Zimbabwe,10.900262825201734
1995,Zimbabwe,6.77161416881545
2000,Zimbabwe,5.1585315703882735
2005,Zimbabwe,4.644067827486274
