Country,Year,undesa_share_of_population_that_are_international_migrants_by_destination
World,1990,2.8717762721866524
Sub-Saharan Africa,1990,2.7081552385462344
Northern Africa and Western Asia,1990,6.11287298478535
Central and Southern Asia,1990,2.110399529346302
Eastern and South-Eastern Asia,1990,0.37196026252716374
Latin America and the Caribbean,1990,1.6114103836825717
Oceania (excluding Australia and New Zealand),1990,3.727392207315388
Australia and New Zealand,1990,21.972147145395535
Europe and Northern America,1990,7.716896227140646
Developed regions,1990,7.225373643937508
Less developed regions,1990,1.6791868074029683
"Less developed regions, excluding least developed countries",1990,1.6095651541076803
"Less developed regions, excluding China",1990,2.263684176030004
Least developed countries,1990,2.18462442827536
Land-locked Developing Countries (LLDC),1990,5.346148568781514
Small island developing States (SIDS),1990,4.646626604920737
High-income countries,1990,7.404488149678716
Middle-income countries,1990,1.6842729768209237
Upper-middle-income countries,1990,1.5857746070059329
Lower-middle-income countries,1990,1.8083782509542536
Low-income countries,1990,3.0301793672636794
Africa,1990,2.48904161822497
Eastern Africa,1990,3.0223828190862174
Burundi,1990,6.124517577720296
Comoros,1990,3.4205705567082445
Djibouti,1990,20.701634335095438
Eritrea,1990,0.5245613638949655
Ethiopia,1990,2.4126989669031804
Kenya,1990,1.2564567018147512
Madagascar,1990,0.20620508581733715
Malawi,1990,11.991324577736677
Mauritius,1990,0.3421826003036362
Mayotte,1990,16.067905337680287
Mozambique,1990,0.9419361634434646
Reunion,1990,9.369718171455524
Rwanda,1990,2.195452993277571
Seychelles,1990,5.272629371422094
Somalia,1990,6.619904612939716
Uganda,1990,3.136225722648355
Tanzania,1990,2.277529209031891
Zambia,1990,3.4772707562379233
Zimbabwe,1990,6.083168326701916
Middle Africa,1990,2.062172899413502
Angola,1990,0.282882435032285
Cameroon,1990,2.2577678974499844
Central African Republic,1990,2.3954480999308805
Chad,1990,1.2466691820735338
Congo,1990,5.490253485747261
Democratic Republic of Congo,1990,2.1789942760641297
Equatorial Guinea,1990,0.6536446654007272
Gabon,1990,13.500678783308565
Sao Tome and Principe,1990,4.682453800404325
Northern Africa,1990,1.7197952499610487
Algeria,1990,1.0635325956819848
Egypt,1990,0.309672426276058
Libya,1990,10.302224892898108
Morocco,1990,0.2212842338036932
Sudan,1990,6.9630951430821115
Tunisia,1990,0.46083055535638484
Western Sahara,1990,1.2372386747553599
Southern Africa,1990,3.31839806659043
Botswana,1990,2.1379344646537497
Eswatini,1990,9.118300436636622
Lesotho,1990,0.4836370444846302
Namibia,1990,8.419365216948298
South Africa,1990,3.1626819706587193
Western Africa,1990,2.4763826710586936
