Report generated on: 02-28-2022 17:09:14
"API","","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","coal reserves (million st)","","","","","","","","","","","",""
"INTL.7-6-WORL-MST.A","    World","987271.07233","999719.30053","1003692.99255","1034332.735115","1049564.03865","1075035.28394","1076671.588998","1132967.751953","1139471.43002","1144236.971412333","1156736.32869","1156060.32869"
"INTL.7-6-AFG-MST.A","        Afghanistan","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246","72.75246"
"INTL.7-6-ALB-MST.A","        Albania","875.23414","575.40582","575.40582","575.40582","575.40582","575.40582","575.40582","575.40582","575.40582","575.40582","575.40582","575.40582"
"INTL.7-6-DZA-MST.A","        Algeria","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629","65.03629"
"INTL.7-6-ASM-MST.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-AGO-MST.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ATA-MST.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ATG-MST.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-ARG-MST.A","        Argentina","467.37944","551.155","551.155","551.155","551.155","551.155","551.155","551.155","551.155","551.155","551.155","551.155"
"INTL.7-6-ARM-MST.A","        Armenia","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653","179.67653"
"INTL.7-6-ABW-MST.A","        Aruba","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-AUS-MST.A","        Australia","84767.639","89176.879","89176.879","112167.75867","116013.71826","117097.28899","117130.35829","159634.32958","159634.32958","159634.32958","164331.27249","164331.27249"
"INTL.7-6-AUT-MST.A","        Austria","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-AZE-MST.A","        Azerbaijan","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BHR-MST.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BGD-MST.A","        Bangladesh","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683","322.97683"
"INTL.7-6-BRB-MST.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BLR-MST.A","        Belarus","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BEL-MST.A","        Belgium","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BLZ-MST.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BEN-MST.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BMU-MST.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-6-BTN-MST.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0"
