Report generated on: 03-01-2022 10:34:37
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"INTL.53-1-AFG-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-AFG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.57-1-AFG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.58-1-AFG-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.59-1-AFG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-AFG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ALB-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11.16","11","9.9","9.6","9.265753424657534","6.4","5.575342465753424","5.660099305677597","5.994038690213698","6.322339394060274","6.7221382036109585","6.699","6.985","7.814465753424657","6.501178082191781","6.036","5.390767123287671","10.866765616438355","15.562518493150685","16.844970573770492","17.01442117808219","20.569209315068495","20.215143835616438","22.80052387978142","17.05404","16.05469","18.05546","17.313858961748632",""
"INTL.55-1-ALB-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","11","11.26","11","10","9.5","9.165753424657535","6.3","5.575342465753424","5.6560000000000015","5.952","6.361","6.717","6.693","7","7.742465753424658","6.419178082191781","6","5.328767123287672","10.843835616438357","15.515068493150684","16.83606557377049","17.008219178082193","20.506849315068493","20.161643835616438","22.74863387978142","17","16","18","17.261428961748635",""
"INTL.57-1-ALB-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","11","11.26","11","10","9.5","9.165753424657535","6.3","5.575342465753424","5.6560000000000015","5.952","6.361","6.717","6.693","7","7.742465753424658","6.419178082191781","6","5.328767123287672","10.843835616438357","15.515068493150684","16.83606557377049","17.008219178082193","20.506849315068493","20.161643835616438","22.74863387978142","17","16","18","17.261428961748635",""
"INTL.58-1-ALB-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.59-1-ALB-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-ALB-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","-0.4","-0.4","-0.4","-0.3","-0.3","-0.2","-0.2","-0.1","","-0.1","0.1","0.1","0.1","","0.00409930567759565","0.0420386902136986","-0.038660605939726","0.00513820361095892","0.006","-0.015","0.072","0.082","0.036","0.062","0.02293","0.04745","0.008905","0.006202","0.06236000000000001","0.0535","0.05189","0.05404","0.05469","0.05546","0.05243",""
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-DZA-TBPD.A","        Total petroleum and other liquids (Mb/d)","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1311.7150684931507","1295.6","1306.7945205479452","1376.0448087431694","1417.2397260273972","1402.4109589041095","1388.6013698630136","1433.0252873095192","1513.8926453349754","1617.653051408422","1784.043024019222","1844.524956284153","1956.7780684931506","1967.493493150685","1967.5452602739726","1954.459","1909.8147123287672","1880.8924","1862.5645","1875.039769398907","1762.7893219178081","1721.8256","1798.1049","1698.432255737705","1632.8695246575342","1576.7869342465754","1570.104304109589","1404.306743715847",""
"INTL.55-1-DZA-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1312.3150684931506","1295","1306.7945205479452","1377.1448087431695","1418.7397260273972","1401.4109589041095","1387.3013698630136","1433.9071038251366","1515.0000000000002","1619.0000000000002","1786.041095890411","1846.775956284153","1957.3150684931506","1969.0684931506848","1968.3972602739725","1955","1909.876712328767","1880","1862","1874.2431693989072","1761.7808219178082","1720","1797","1697.360655737705","1631.7534246575342","1575.6575342465753","1568.958904109589","1403.224043715847",""
"INTL.57-1-DZA-TBPD.A","                Crude oil including lease condensate (Mb/d)","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1167.3150684931506","1155","1161.7945205479452","1227.1448087431695","1258.7397260273972","1226.4109589041095","1177.3013698630136","1213.9071038251366","1265.0000000000002","1349.0000000000002","1516.041095890411","1581.775956284153","1692.3150684931506","1699.0684931506848","1708.3972602739725","1705","1584.876712328767","1540","1540","1532.2431693989072","1461.7808219178082","1420","1429","1348.360655737705","1301.7534246575342","1258.6575342465753","1258.958904109589","1122.431693989071",""
"INTL.58-1-DZA-TBPD.A","                NGPL (Mb/d)","","","","","","","","36","49","58","56","100","105","120","130","130","130","135","140","140","145","140","145","150","160","175","210","220","250","270","270","265","265","270","260","250","325","340","322","342","300","300","368","349","330","317","310","280.7923497267759",""
"INTL.59-1-DZA-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-DZA-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","1","1","1","1","1","1","-1.7","-1.6","-1.5","-1.7","-0.4","-0.5","-0.4","-0.6","0.6","","-1.1","-1.5","1","1.3","-0.881816515617487","-1.10735466502466","-1.34694859157808","-1.99807187118904","-2.251","-0.537","-1.575","-0.852","-0.541","-0.062","0.8924","0.5645","0.7966","1.0085","1.8256","1.1049","1.0716","1.1161","1.1294","1.1454","1.0827",""
"","American Samoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ASM-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ASM-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.57-1-ASM-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.58-1-ASM-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.59-1-ASM-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-ASM-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Angola","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-AGO-TBPD.A","        Total petroleum and other liquids (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","508.40024657534246","535.7972602739726","645.4328767123287","708.1841530054645","713.2082191780822","734.582191780822","744.517808219178","746.1131126097378","741.9041209332986","896.1430065276055","902.3047216569644","1054.41531147541","1249.228808219178","1419.9168630136987","1747.5048301369864","1960.2065081967214","1886.295219178082","1918.0725479452055","1765.1344383561643","1796.580180327869","1814.1685342465753","1755.9454383561645","1828.00001369863","1796.7777540983607","1711.196493150685","1655.159095890411","1511.6118493150684","1317.826131147541",""
"INTL.55-1-AGO-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","509.0002465753425","536.3972602739726","646.2328767123288","708.7841530054645","713.8082191780821","735.082191780822","744.917808219178","746.4043715846994","742.3835616438356","896.3698630136986","902.5479452054794","1054.72131147541","1249.517808219178","1420.2828630136987","1748.0088301369863","1960.6945081967212","1886.8082191780823","1918.5205479452054","1765.6164383561643","1797.049180327869","1814.6575342465753","1756.6164383561643","1828.86301369863","1797.6147540983607","1712.0684931506848","1656.041095890411","1512.5068493150684","1318.672131147541",""
"INTL.57-1-AGO-TBPD.A","                Crude oil including lease condensate (Mb/d)","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","509.0002465753425","536.3972602739726","646.2328767123288","708.7841530054645","713.8082191780821","735.082191780822","744.917808219178","746.4043715846994","742.3835616438356","896.3698630136986","902.5479452054794","1051.72131147541","1239.1260273972603","1398.013698630137","1723.5237452054794","1950.6945081967212","1876.8082191780823","1908.5205479452054","1755.6164383561643","1787.049180327869","1802.6575342465753","1741.6164383561643","1801.86301369863","1769.6147540983607","1666.0684931506848","1593.041095890411","1447.5068493150684","1256.672131147541",""
"INTL.58-1-AGO-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","10.391780821917807","22.269164383561645","24.48508493150685","10","10","10","10","10","12","15","27","28","46","63","65","62",""
"INTL.59-1-AGO-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-AGO-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","-0.7","-0.7","-0.7","-0.7","-0.6","-0.7","-0.6","-0.6","-0.6","-0.8","-0.6","-0.6","-0.5","-0.4","-0.291258974961749","-0.479440710536986","-0.226856486093151","-0.243223548515068","-0.306","-0.289","-0.366","-0.504","-0.488","-0.513","-0.448","-0.482","-0.469","-0.4889999999999999","-0.671","-0.8630000000000001","-0.837","-0.8720000000000001","-0.882","-0.895","-0.846",""
"","Antarctica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ATA-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ATA-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.57-1-ATA-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.58-1-ATA-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.59-1-ATA-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-ATA-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ATG-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ATG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.57-1-ATG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.58-1-ATG-TBPD.A","                NGPL (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.59-1-ATG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-ATG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ARG-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","647.0004602739726","713.1095890410959","773.5753424657535","820.983606557377","904.6712328767123","916.6849315068494","870.2328767123288","831.7453620053552","876.0728794417573","865.5893954248986","865.7590334744","892.810800546448","857.9434465753425","849.6820602739726","822.1879369863013","805.0422267759562","788.2815890410959","786.8620643835617","742.298394520548","720.722118032787","704.9671287671233","713.0421054794521","705.2630424657534","705.0372633879781","685.992236462115","704.6189819418034","723.5407072860636","656.1164094500998",""
"INTL.55-1-ARG-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","504","508","503","499","493","480","465","464","484","487","510","515","583","629.0004602739726","694.1095890410959","756.5753424657535","799.983606557377","881.6712328767123","896.6849315068494","850.2328767123288","809.1420765027323","850.4","840.1469999999999","840.107","864.8038005464481","834.5074465753424","824.9990602739726","807.6439369863014","793.1062267759563","772.2725890410959","773.9335643835617","728.9765945205479","707.4819180327869","693.2825287671233","701.343405479452","693.9119424657534","694.0283633879782","674.526536462115","693.0169819418035","711.7740072860636","644.9933094500998",""
"INTL.57-1-ARG-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","491","496","491","491","478","460","434","428","449","460","483","485","553","594.0004602739726","650.1095890410959","714.5753424657535","755.983606557377","833.6712328767123","846.6849315068494","802.2328767123288","761.1420765027323","802.4","799.1469999999999","783.107","734.603800546448","705.3074465753425","696.2990602739726","678.7439369863014","661.2152377049181","628.8054739726027","613.3419616438356","576.0272712328767","551.1197896174864","539.9405095890411","532.1596794520548","532.2395178082191","510.50543989071036","479.313314121696","489.27326301194046","507.53179344500546","480.0210348227773",""
"INTL.58-1-ARG-TBPD.A","                NGPL (Mb/d)","","","","","","","","13","12","12","8","15","20","31","36","35","27","27","30","30","35","44","42","44","48","50","48","48","48","41","56.99999999999997","130","129","128","125","118","120","123","102","103","104","104","108.51506849315068","112.33879781420765","115","132","139","128",""
"INTL.59-1-ARG-TBPD.A","                Other liquids (Mb/d)","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.7","3.9","13.890989071038252","23.46711506849315","37.59160273972603","50.949323287671234","53.362128415300546","49.3420191780822","65.18372602739726","53.157356164383565","71.18412568306012","80.21322234041901","71.74371892986301","65.2422138410581","36.972274627322406",""
"INTL.56-1-ARG-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","4","5","4","5","5","5","6.1","7.5","8.1","9.4","11","14","14","18","19","17","21","23","20","20","22.603285502623","25.6728794417574","25.4423954248986","25.6520334744","28.007","23.436","24.683","14.544","11.936","16.009","12.9285","13.3218","13.2402","11.6846","11.6987","11.3511","11.0089","11.4657","11.602","11.7667","11.1231",""
"","Armenia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ARM-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.55-1-ARM-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.57-1-ARM-TBPD.A","                Crude oil including lease condensate (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.58-1-ARM-TBPD.A","                NGPL (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.59-1-ARM-TBPD.A","                Other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.56-1-ARM-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-ABW-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","0","0","0","0","-0.0682256","0.0385766698","-0.02753029","-0.028","0","0","0","0","0","0","2.35605572677596","2.3625106739726","2.3625106739726","2.3625106739726","2.356","2.351","2.235","2.477","2.465","2.811","2.3885","2.3087","0.5505","0","0","0","0","0","0","0","0",""
"INTL.55-1-ABW-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
