Report generated on: 03-01-2022 10:34:37
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-WORL-TBPD.A","        Total petroleum and other liquids (Mb/d)","","","","","","","","63987.8","60602","58100.1","57929.3","59563.45793989071","59156.12542984","61534.95768046341","62101.270443814006","64398.73170572238","65524.91126314932","66437.18390581224","66338.8510971412","66551.97017470587","67101.17394520548","68639.08794520548","70306.08794520548","71985.6543715847","74220.31616438356","75682.89506849315","74840.0693150685","77729.13101662204","77673.20602621877","77103.67161292638","79623.38939435485","83519.8086748634","85158.96515342465","85278.85240547945","85330.45576438356","86667.63303825137","85858.62141643836","87780.17697646987","88894.26668890411","91116.75190227323","91737.10131213699","94201.89136988357","96948.20664547945","97342.81071414136","97752.20935674358","100458.01977135065","100214.2501521109","93798.64543064398",""
"INTL.55-1-WORL-TBPD.A","            Crude oil, NGPL, and other liquids (Mb/d)","","","","","","","","63092.9","59785.5","57242.9","57123.7","58613.7","58186.9","60769.573","61257.573","63496.754","64633.954","65482.054","65316.436","65405.968","65866.55185753424","67333.12630136986","68882.70164383562","70444.79153005464","72643.31342465754","74021.4498630137","73121.78849315069","75885.20472724152","75834.70295114137","75194.85448020858","77636.92240974441","81380.90812021858","83046.50313424658","83123.9654","83177.46577534247","84491.04697540983","83592.61404657534","85617.63399452055","86723.99369589041","88942.66470765027","89545.00993150685","91973.9881479452","94672.11935068494","95060.52307403207","95418.59566482577","98089.47982491228","97867.67128375472","91691.43270796639",""
"INTL.57-1-WORL-TBPD.A","                Crude oil including lease condensate (Mb/d)","50359.734","50376.905","47570.995","51743.766","53881.362","54259.53","56617.534","59557.68724043715","55899.592030136984","53453.196824657534","53249.761994520544","54498.53904080289","53965.4347203372","56326.14124383562","56649.39526022825","58696.60208757449","59802.71265338047","60497.91240205605","60128.17913766742","60100.69769622195","60175.738035616436","61174.09616438356","62433.127671232876","63817.762021857925","65804.76410958904","67033.66767123288","65968.42493150684","68526.65436803279","68131.91105265754","67290.1730849315","69460.24447945206","72597.12381420765","73870.87124931507","73627.31295068494","73323.68361917809","74302.90662568306","73118.11990136986","74189.69167945205","74878.62007671232","76510.806715847","76583.56030684932","78441.92201095891","80798.05304657534","80865.7573114754","81216.14257582865","82953.6421285582","82167.63234827999","76000.16946016635",""
"INTL.58-1-WORL-TBPD.A","                NGPL (Mb/d)","","","","","","","","3446.28975","3630.69","3631.8","3643.3","3872.7","3933","4162.9","4284.5","4498.4","4512.4","4644.9","4816.557","4847.6127","5061.631728767124","5376.224657534247","5573.467123287671","5704.567213114754","5843.627397260274","6003.727397260274","6181.88","6376.397733524588","6693.351243287672","6809.278142577901","7058.297662347701","7596.658032786885","7900.1881726027395","8050.423895890411","8244.338084931507","8211.269398907103","8349.192076712328","8731.639331506849","8976.525224657535","9390.67075409836","9646.995753424657","10016.42251780822","10344.056194520548","10575.417956284153","10593.932825400148","11219.486843971677","11721.278074978094","11895.090005579366",""
"INTL.59-1-WORL-TBPD.A","                Other liquids (Mb/d)","","","","","","","","89","105","157","231","242","288.6","280.8","323.9","303","320.2","341.1","371.22","457.5","629.182093150685","782.8054794520548","876.1068493150685","922.4622950819672","994.9219178082192","984.054794520548","971.4835616438356","982.1526256841535","1009.4406551961641","1095.4032526991784","1118.3802679446571","1187.1262732240436","1275.443712328767","1446.2285534246575","1609.4440712328767","1976.870950819672","2125.3020684931507","2696.302983561644","2868.848394520548","3041.187237704918","3314.4538712328767","3515.643619178082","3530.010109589041","3619.3478062725135","3608.5202635969845","3916.350852382414","3978.7608604966354","3796.1732422206674",""
"INTL.56-1-WORL-TBPD.A","            Refinery processing gain (Mb/d)","","","","","","","","894.7","816.3","856","804.4","948.9","967.8003750454794","764.6491061795","841.0735498680608","895.8889917449252","882.3639560706441","952.4592997950449","1022.4302153028248","1143.310902260657","1234.622087671233","1305.9616438356165","1423.386301369863","1540.8628415300545","1577.0027397260274","1661.445205479452","1718.2808219178082","1843.9262893805105","1838.5030750774024","1908.8171327177965","1986.466984610437","2138.900554644809","2112.4620191780823","2154.887005479452","2152.9899890410957","2176.58606284153","2266.0073698630135","2162.542981949315","2170.2729930136984","2174.087194622951","2192.091380630137","2227.903221938356","2276.0872947945204","2282.2876401092894","2333.6136919178084","2368.5399464383563","2346.5788683561645","2107.2127226775956",""
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
