Report generated on: 02-28-2022 15:46:47
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","natural gas reserves (tcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-6-WORL-TCF.A","    World","2585.492","2648.307","2920.747","3031.823","3201.963","3401.635","3483.681","3641.325","3789.325","3921.926","3981.033","4215.727","2626.786","2941.623","3016.842","3004.929","2957.129","4947.019","5088.677","5143.053","5151.071","5290.003","5458.598","5506.304","6079.915","6046.321","6125.975","6192.269","6215.812","6265.544","6641.413","6712.549","6813.972","6850.943","6979.384","6957.378","6885.515","6929.786","7131.263","7176.885","7257.161","NA"
"INTL.3-6-AFG-TCF.A","        Afghanistan","2.19","2.119","2.26","2.119","2.119","2.119","2.366","2.26","2.154","3.532","3.532","3.53","3.53","3.5","3.5","3.5","3.5","3.5","3.53","3.53","3.53","3.53","3.53","3.53","3.53","3.53","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75"
"INTL.3-6-ALB-TCF.A","        Albania","0.283","0.247","0.247","0.212","0.177","0.177","0.141","0.141","0.141","0.141","0.106","0.106","0.67","0.7","0.35","0.07","0.07","0.07","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.029","0.029","0.029","0.029","0.029","0.201","0.201","0.201"
"INTL.3-6-DZA-TCF.A","        Algeria","132","131.5","130.9","111.25","110.18","109.1","107.08","106","105.9","104.2","114","114.7","116.5","128","128","128","128","130.3","130.6","130.3","159.7","159.7","159.7","159.7","160","160.5","160.505","161.74","159","159","159","159","159","159.05","159.1","159.054","159.054","159.054","159.054","159.054","159.054","159.054"
"INTL.3-6-ASM-TCF.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-AGO-TCF.A","        Angola","1.175","1.05","1.03","1.47","1.55","1.65","1.87","1.8","1.76","1.9","2.1","1.8","1.8","1.8","1.8","1.8","1.8","1.7","1.7","1.62","1.62","1.62","1.62","1.62","1.62","1.62","1.62","2","9.53","9.53","9.6","10.94","10.947","12.925","9.711","9.711","10.877","10.88","10.88","14.913","13.525","12.113"
"INTL.3-6-ATA-TCF.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-ATG-TCF.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3-6-ARG-TCF.A","        Argentina","15.2","22","23.4","25.2","24.42","24.628","23.588","23","23.6","26.7","27.299","27","20.449","22.7","26.5","18.246","18.583","21.87","24.308","24.148","24.247","26.42","27.46","26.96","23.43","21.63","18.866","16.09","15.75","15.6","14.07","13.379","13.379","11.742","13.377","11.142","11.73","11.174","11.889","12.553","13.121","14.001"
