Report generated on: 02-28-2022 15:44:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","dry natural gas consumption (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.26-2-WORL-BCF.A","    World","52922.23848","53524.676754","53643.143702","54635.214271","59687.504273","62165.77218861","63145.579046","66249.865107","69563.731422","72674.8108625","73270.45707773544","75056.23351044767","75231.44272914488","77202.44960347975","76953.29589508883","78968.55386819867","80785.91560841833","81170.2604655","81681.804859","83767.690984","86985.89933334097","87174.6268285","91206.66195688405","93733.72890385916","96392.17218035678","99106.86430562811","102523.49504823289","106083.27634853152","109279.47254356113","105700.86757692731","115649.17684629919","119068.48683914605","121618.26142719286","123313.99321355045","123363.19722846869","125097.5318271786","127823.53110535418","131910.83769698392","138511.431438424","141386.229150663",""
"INTL.26-2-AFG-BCF.A","        Afghanistan","2","3","5","5","5","0","0","22","70","68","67","11","10.5945","10.5945","10.59","7.06","8.12245","8.12245","8.12245","8.12245","8.12245","1.76575","1.76575","0.7063","0.7063","0.7063","0.7063","1.4126","1.76575","1.05945","5.01115593","5.69979258","5.66094641","5.45612115","5.01115593","5.16300914","5.83751991","5.51262467","5.41021204","4.54500189","2.83223894"
"INTL.26-2-ALB-BCF.A","        Albania","10","11","10","11","11","10","14","16","25","25","9","5","3.602","1.059","1.06","1.06","1.05945","0.7063","1.05945","0.7063","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","1.05945","0.35315","1.05945","1.05945","0.35315","0.35315","0.600355","0.670985","1.13008","1.236025","1.5891615","1.765735","1.515804683","1.485051058",""
"INTL.26-2-DZA-BCF.A","        Algeria","460","346","553","656","680","584","602","656","712","660","681","775","730","655.093","690.41","741.97","762.0977","711.9504","736.31775","752.56265","726.0764","721.8386","720.77915","724.6638","680.8732","846.323975","904.064","934.328955","977.342625","1015.51814","1017.7783","1161.1572","1265.83086","1163.55862","1380.993075","1399.215615","1404.4068759","1457.6261288","1582.370881","1657.851453",""
"INTL.26-2-ASM-BCF.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-AGO-BCF.A","        Angola","9.2","8.8","10","12","12","13","14","16","18","15","19","20","20.12955","19.7764","18.36","19.7764","19.7764","20.12955","20.4827","19.7764","20.12955","18.71695","21.8953","22.95475","26.48625","22.95475","24.0142","29.31145","24.0142","24.36735","25.92121","26.55688","26.8394","14.40852","8.157765","27.298495","28.357936","28.711083","30.22642","30.402155",""
"INTL.26-2-ATA-BCF.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-ATG-BCF.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-ARG-BCF.A","        Argentina","359","362","456","449","572","578","625","605","713","801","716.54","780.81","787.17","833.085","856.39","953.15","1010.36215","1007.8901","1077.46065","1142.7934","1172.81115","1102.5343","1068.98505","1221.1927","1338.79165","1428.1386","1474.7544","1551.0348","1568.33915","1523.4891","1528.78635","1629.08095","1640.0286","1648.256995","1662.55957","1659.45185","1710.2697033","1732.2354467","1770.263624","1747.251932",""
"INTL.26-2-ARM-BCF.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","65.6859","49.44","56.5","56.5","63.57","45.9095","49.441","45.55635","49.79415","49.441","38.49335","46.6158","46.96895","60.0355","60.0355","72.53701","68.15795","54.73825","64.2733","73.10205","86.52175","85.10915","88.2875","72.39575","78.2573752","83.1308038","87.65844034","89.61117251",""
"INTL.26-2-ABW-BCF.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-AUS-BCF.A","        Australia","322","368","407","413","440","463","516","532","555","570","625","584","603.709925","630.16","661.30869","709.69024","719.189975","717.989265","751.64446","759.095925","796.953605","841.097355","923.76977","969.855845","1004.111395","1014.140855","1019.12027","1132.1989","1153.493845","1211.86954","1226.91373","1246.47824","1291.89333","1332.36432","1360.157225","1406.9496","1528.4908454","1597.9548603","1552.481526","1788.499852",""
"INTL.26-2-AUT-BCF.A","        Austria","186","159","154","157","175","188","182","190","181","195","215","228","223.8971","235.48","242.37","262.04","281.495865","271.28983","278.529405","284.56827","271.78424","287.81725","291.06623","314.72728","310.98389","353.538465","331.996315","313.10279","330.83092","318.5413","349.47724","329.8421","315.22169","303.49711","277.046175","295.621865","308.7211074","335.1011883","313.558583","325.1653174",""
"INTL.26-2-AZE-BCF.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","522.66","388.47","331.96","317.84","328.43","323.4854","197.41085","211.89","199.8829","237.3168","319.9539","324.898","351.0311","366.5697","399.0595","313.5972","351.0311","344.6744","368.6886","328.78265","372.57325","334.43305","354.20945","384.2272","376.8817424","365.4750943","372.5466707","404.9777136",""
"INTL.26-2-BHR-BCF.A","        Bahrain","100","120","130","140","133","164","180","217","182","186","205","233","187.8758","233.7853","229.19","229.19","232.01955","281.46055","292.76135","296.99915","302.64955","314.3035","334.0799","339.7303","344.32125","378.22365","400.11895","416.0107","438.25915","440.7312","450.97255","445.6753","483.8155","554.4455","547.3825","547.3825","541.379001","561.1199183","567.1121576","644.5339962",""
"INTL.26-2-BGD-BCF.A","        Bangladesh","50","60","65","69","95","100","113","131","150","164","162","173","206.2396","215.77","234.84","260.27","269.45345","269.45345","289.583","319.60075","342.5555","363.7445","391.9965","429.07725","462.6265","494.41","541.0258","574.57505","632.1385","692.174","710.89095","710.18465","777.98945","805.182","844.0285","948.60906648165","1039.1912719817","1042.8640007817","1075.688239","1104.255466",""
"INTL.26-2-BRB-BCF.A","        Barbados","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.9","1","1.20071","1.165395","1.69512","1.659805","1.62449","1.659805","1.589175","1.518545","1.306655","1.659805","1.33886934097421","1.13008","1.024135","1.024135","1.05945","0.930600191021967","0.948705253104107","0.665361031518625","0.60108806112703","0.576646227316141","0.570309455587393","0.58298299904489","0.667171537726839","0.782138681948424","0.501510219675263","0.626435148042025","0.70605","0.769222368","0.716891786","0.739609219",""
"INTL.26-2-BLR-BCF.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","645.91","599.65","497.59","452.03","494.41","533.2565","544.91045","607.77115","692.209315","635.67","598.2361","634.2574","579.166","716.8945","740.55555","733.1394","750.51438","626.84125","763.757505","743.38075","732.07995","717.17702","709.1252","612.00895","607.8771301","625.428536","663.4437056","658.2524907",""
"INTL.26-2-BEL-BCF.A","        Belgium","371","341","282","297","306","306","272","304","299","332","340.61","363.32","374.44","391.85","400.65","443.24","492.679565","469.97202","517.57664","551.05526","553.845145","546.782145","563.521455","600.355","611.79706","601.41445","619.036635","623.6629","619.4251","625.49928","728.47782","629.45456","632.456335","641.10851","562.14417","605.15784","615.2225295","622.2148401","640.2417364","641.7249398",""
"INTL.26-2-BLZ-BCF.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-BEN-BCF.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.386617","1.05441","1.124704","0.070294","1.411819843","0.673275932","0.673275932",""
"INTL.26-2-BMU-BCF.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-BTN-BCF.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-BOL-BCF.A","        Bolivia","14","21","12","15","14","11","14","14","19","26","30","26","32","30.02","34.96","43.44","37.08075","47.3221","30.72405","31.7835","44.4969","28.9583","36.0213","79.1056","75.5741","74.51465","84.756","88.64065","101.389365","99.94145","96.0568","84.756","112.65485","119.01155","112.93737","95.3505","112.5840736","112.4428148","113.073666","103.0781626",""
"INTL.26-2-BIH-BCF.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","17.68","14.1596733870968","14.63","86.52","4.9441","4.9441","7.063","7.063","10.5945","10.5945","5.6504","5.6504","10.5945","14.126","14.126","11.3008","10.94765","7.41615","8.12245","9.1819","8.4756","8.4756","5.968235","7.063","7.3808323","8.0164969","8.002688893","7.707649087",""
"INTL.26-2-BWA-BCF.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-BRA-BCF.A","        Brazil","42","42","46","57","74","92","90","105","97","123","97","118.86","130.31235","146","152.2","159.27","178.34075","194.9388","204.827","230.9601","333.3736","396.2343","472.86785","499.3541","608.1243","657.21215","682.9921","701.3559","835.19975","729.3700755","969.8982036","968.4639045","1143.978894","1346.480433","1424.531149","1504.086657","1292.491729","1317.957564","1255.561142","1244.956772",""
"INTL.26-2-VGB-BCF.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-BRN-BCF.A","        Brunei","60","62","70","52","44","53","33","57","48","57","46","30","35","28.605","24.72","34.26","27.5457","31.0772","26.8394","36.7276","38.8465","47.67525","58.97605","61.09495","70.63","82.99025","140.90685","144.826815","148.323","87.93435","104.88555","106.6513","104.17925","94.99735","112.65485","122.8962","134.6559951","138.9290738","144.0281032","136.6472332","147.1561862"
"INTL.26-2-BGR-BCF.A","        Bulgaria","180","166","180","184","181","219","225","223","221","223","241.495","185.066087676768","195.6451","171.98405","168.1","208.36","218.6","181.5191","134.9033","119.01155","113.7143","103.1198","109.734831884058","106.643709859155","110.458231356784","121.92970295858","125.754514060964","118.30525","113.36115","73.10205","89.7001","111.5954","105.132041245136","105.062125","101.0009","111.290897276265","112.300746","116.9976011","110.5152957","103.4507486",""
"INTL.26-2-BFA-BCF.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-MMR-BCF.A","        Burma","11","12","16","19","23","28","38","40","37","38","38","36.4071104536489","35.85","38.846","50.5","57.92","56.504","53.32565","62.1544","57.56345","65.6859","69.2174","77.693","88.64065","94.29105","146.2041","127.8403","145.4978","135.96275","114.77375","114.4206","117.9521","123.6025","128.19345","121.4836","126.78085","155.5976452","159.0231711","166.2025973","127.5719628",""
"INTL.26-2-BDI-BCF.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-CPV-BCF.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-KHM-BCF.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-CMR-BCF.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7063","0.7063","0.7063","0.7063","0.7063","7.41615","5.29725","9.60568","10.94765","16.562735","24.0142","25.426788","32.153099166129","38.73209036","34.82715322",""
"INTL.26-2-CAN-BCF.A","        Canada","1883","1842","1859","1863","2017","2165","2130","2112","2331","2427","2377.62","2400.48","2595.69","2690.715","2737.59","2872.48","2917.195575","2887.248455","2797.51304","3107.543425","2991.357075","3121.42222","3173.4059","3372.93565","3340.975575","3144.09445","3283.09429","3050.5097","2937.14855","3111.60465","3436.467335","3556.326445","3717.292215","3960.78914","4099.71835","4053.420385","3890.406471","4150.105329","4409.804035","4396.764884",""
"INTL.26-2-CYM-BCF.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-CAF-BCF.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-TCD-BCF.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-2-CHL-BCF.A","        Chile","85","85","49","46","48","44","26","26","35","57","66","52","54.44455","61.8","68.51","67.1","63.92015","98.882","114.06745","162.09585","183.99115","223.8971","247.9113","270.477585","294.562415","294.562415","263.132065","157.045805","97.18688","114.84438","187.02824","201.401445","172.372515","172.69035","143.979255","155.10348","169.1940453","180.7772669","190.4536226","231.4639155","231.6045034"
