Report generated on: 03-01-2022 09:39:28
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","crude oil including lease condensate imports (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-3-WORL-TBPD.A","    World","29583.029","26339.918","23843.946","22753.153","22860.943","21506.728","24105.11","24645.236","26024.928","27306.645","28166.615","27873.4","31264.357","32312.73","32798.806","33402.862","34876.913","36921.429","37772.225","37436.029","39408","39637.539","39212.738","41151.661","43384.23","43846.939","43969.161","44313.713","43837.492","41950.982","42906.363","42909.341","43508.608","42344.004","42071.994","44034.276","45274.942","47139.687","47535.552","",""
"INTL.57-3-AFG-TBPD.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-3-ALB-TBPD.A","        Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09","0.108","0.09","0","0","0","0","0","0","0","0","0","0","1.32","0","1.79","0","0","0.904","0","0","0","0","",""
"INTL.57-3-DZA-TBPD.A","        Algeria","3.232","4.743","4.26","7.366","8.185","6.946","8.793","8.52","9.402","9.864","7.03","6.296","9.423","7.24","6.695","9.696","7.261","5.519","4.869","5.582","6.485","4.386","7.807","8.206","7.051","6.385","7.164","7.77","9.632","7.922","6.926","4.459","6.385","3.16","6.363","5.779","4.647","4.44","4.08","",""
"INTL.57-3-ASM-TBPD.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-3-AGO-TBPD.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-3-ATA-TBPD.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-3-ATG-TBPD.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-3-ARG-TBPD.A","        Argentina","0","0","0","0","0","0","0","0","0","0","4.838","4.272","1.432","4.673","8.544","13.655","14.65","18.239","23.974","18.766","26.432","27.719","10.514","4.799","6.246","4.205","1.444","3.215","1.661","0","0","0","4.42","6.15","9.519","16.53","15.757","22.34","11.38","",""
"INTL.57-3-ARM-TBPD.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"INTL.57-3-ABW-TBPD.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","3.233","3.096","5.187","0.765","1.492","5.336","6.09","4.519","2.948","2.189","1.429","2.739","52.972","68.864","108.415","113.38","73.524","36.513","6.935","2.699","1.386","2.93","10.841","35.749","46.917","0","0","0","",""
"INTL.57-3-AUS-TBPD.A","        Australia","189.345","149.601","164.826","152.509","91.823","70.51","50.278","72.973","112.523","140.252","121.938","129.773","160.69","210.903","256.961","270.873","302.089","358.808","359.535","452.72","405.511","427.117","427.097","409.53","361.613","405.249","380.353","397.334","410.988","384.593","426.955","505.703","469.989","471.438","440.888","392.67","308.553","322.241","356.87","335.516","236.663"
"INTL.57-3-AUT-TBPD.A","        Austria","167.496","152.105","124.341","107.804","118.947","125.31","124.947","125.855","113.389","120.02","137.244","141.342","152.031","150.489","157.294","153.256","155.797","170.621","166.966","155.436","147.279","160.323","163.917","157.88","152.273","158.162","155.457","153.276","158.354","149.904","137.203","147.259","150.481","157.052","151.64","163.129","147.642","145.764","168.258","175.022","149.003"
"INTL.57-3-AZE-TBPD.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","30.32","23.18","17.06","0.84","0.012","5.22","1.82","0.148","0.057","0","0","0","0","0","0","0","0.195","0.02","0","0.093","0","0","0","0.576","0","1.26","0","",""
"INTL.57-3-BHR-TBPD.A","        Bahrain","190.8","213.2","150.6","131.9","161.5","144.6","199.78","195","199.14","200.273","208.8","214.521","217.203","203.979","203.461","208.82","226.804","221.4","214.52","224.9","238.347","225","220.26","210","216.338","221.52","228.4","229","212","223.76","224.96","219.333","219.917","218.917","211.083","246.417","217.463","232.62","228.8","",""
"INTL.57-3-BGD-TBPD.A","        Bangladesh","26.085","26.636","26.085","21.023","22.534","20.248","20.064","20.411","24.738","20.371","19.35","21.2","20.862","23.044","25.289","27.841","23.289","27.412","23.35","24.289","26.33","28.637","26.044","27.249","25.555","25.466","25.575","24.718","21.227","21.207","26.024","24.718","25.84","24.146","26.698","22.309","26.089","23.32","21.6","",""
"INTL.57-3-BRB-TBPD.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.173","0","0.03","0","0","0","1.118","0","0","2.636","0","0","5.255","0.677","1.328","0.465","0.036","0.742","0.092","0.046","0","0","0","",""
