year,country,value
2018,China,6.352
2019,China,6.3839999999999995
2020,China,6.417000000000001
2021,China,6.449
2022,China,6.481
2023,China,6.5120000000000005
2024,China,6.542000000000001
2025,China,6.571000000000001
2026,China,6.601
2027,China,6.632000000000001
2028,China,6.662999999999999
2029,China,6.694
2030,China,6.727
2018,North Korea,5.199
2019,North Korea,5.205
2020,North Korea,5.212000000000001
2021,North Korea,5.218999999999999
2022,North Korea,5.226
2023,North Korea,5.233
2024,North Korea,5.24
2025,North Korea,5.247000000000001
2026,North Korea,5.255
2027,North Korea,5.2620000000000005
2028,North Korea,5.268
2029,North Korea,5.275
2030,North Korea,5.2829999999999995
2018,Taiwan,5.422999999999999
2019,Taiwan,5.426
2020,Taiwan,5.428
2021,Taiwan,5.432
2022,Taiwan,5.435
2023,Taiwan,5.44
2024,Taiwan,5.444
2025,Taiwan,5.449
2026,Taiwan,5.455
2027,Taiwan,5.459
2028,Taiwan,5.4639999999999995
2029,Taiwan,5.468
2030,Taiwan,5.476
2018,Cambodia,9.429
2019,Cambodia,9.441
2020,Cambodia,9.452
2021,Cambodia,9.464
2022,Cambodia,9.475
2023,Cambodia,9.486
2024,Cambodia,9.497
2025,Cambodia,9.508
2026,Cambodia,9.519
2027,Cambodia,9.53
2028,Cambodia,9.54
2029,Cambodia,9.551
2030,Cambodia,9.562000000000001
2018,Indonesia,5.871
2019,Indonesia,5.872999999999999
2020,Indonesia,5.877000000000001
2021,Indonesia,5.88
2022,Indonesia,5.8839999999999995
2023,Indonesia,5.888999999999999
2024,Indonesia,5.893
2025,Indonesia,5.898
2026,Indonesia,5.903
2027,Indonesia,5.907
2028,Indonesia,5.91
2029,Indonesia,5.914
2030,Indonesia,5.917000000000001
2018,Laos,5.774
2019,Laos,5.782
2020,Laos,5.79
2021,Laos,5.797000000000001
2022,Laos,5.803999999999999
2023,Laos,5.81
2024,Laos,5.815
2025,Laos,5.82
2026,Laos,5.825
2027,Laos,5.83
2028,Laos,5.835
2029,Laos,5.8389999999999995
2030,Laos,5.843
2018,Malaysia,5.807
2019,Malaysia,5.812
2020,Malaysia,5.817
2021,Malaysia,5.822
2022,Malaysia,5.827000000000001
2023,Malaysia,5.832000000000001
2024,Malaysia,5.837000000000001
2025,Malaysia,5.8420000000000005
2026,Malaysia,5.847
2027,Malaysia,5.853
2028,Malaysia,5.859
2029,Malaysia,5.865
2030,Malaysia,5.871
2018,Maldives,6.591
2019,Maldives,6.645
2020,Maldives,6.699
2021,Maldives,6.752000000000001
2022,Maldives,6.803
2023,Maldives,6.853
2024,Maldives,6.902
2025,Maldives,6.9510000000000005
2026,Maldives,6.999
2027,Maldives,7.045
2028,Maldives,7.0889999999999995
2029,Maldives,7.132000000000001
2030,Maldives,7.176
2018,Myanmar,5.683
2019,Myanmar,5.685
2020,Myanmar,5.687
2021,Myanmar,5.689
2022,Myanmar,5.69
2023,Myanmar,5.692
2024,Myanmar,5.694
2025,Myanmar,5.696000000000001
2026,Myanmar,5.6979999999999995
2027,Myanmar,5.7010000000000005
2028,Myanmar,5.704
2029,Myanmar,5.707000000000001
2030,Myanmar,5.709
2018,Philippines,4.948
2019,Philippines,4.95
2020,Philippines,4.953
2021,Philippines,4.955
2022,Philippines,4.956
2023,Philippines,4.957
2024,Philippines,4.958
2025,Philippines,4.959
2026,Philippines,4.959
2027,Philippines,4.959
2028,Philippines,4.959
2029,Philippines,4.959
2030,Philippines,4.958
2018,Sri Lanka,8.175
2019,Sri Lanka,8.177
2020,Sri Lanka,8.179
2021,Sri Lanka,8.181000000000001
2022,Sri Lanka,8.183
2023,Sri Lanka,8.184
2024,Sri Lanka,8.186
2025,Sri Lanka,8.187000000000001
2026,Sri Lanka,8.189
2027,Sri Lanka,8.191
2028,Sri Lanka,8.195
2029,Sri Lanka,8.199
2030,Sri Lanka,8.203
2018,Thailand,3.0469999999999997
2019,Thailand,3.0469999999999997
2020,Thailand,3.0469999999999997
2021,Thailand,3.0469999999999997
2022,Thailand,3.0469999999999997
2023,Thailand,3.0469999999999997
2024,Thailand,3.0469999999999997
2025,Thailand,3.0469999999999997
2026,Thailand,3.0469999999999997
2027,Thailand,3.048
2028,Thailand,3.048
2029,Thailand,3.048
2030,Thailand,3.049
2018,Timor-Leste,8.138
2019,Timor-Leste,8.135
2020,Timor-Leste,8.131
2021,Timor-Leste,8.128
2022,Timor-Leste,8.124
2023,Timor-Leste,8.121
2024,Timor-Leste,8.118
2025,Timor-Leste,8.115
2026,Timor-Leste,8.111
2027,Timor-Leste,8.107000000000001
2028,Timor-Leste,8.103
2029,Timor-Leste,8.099
2030,Timor-Leste,8.094
2018,Vietnam,5.2620000000000005
2019,Vietnam,5.269
2020,Vietnam,5.276
2021,Vietnam,5.279
2022,Vietnam,5.279
2023,Vietnam,5.277
2024,Vietnam,5.273
2025,Vietnam,5.269
2026,Vietnam,5.266
2027,Vietnam,5.265
2028,Vietnam,5.263999999999999
2029,Vietnam,5.263
2030,Vietnam,5.263999999999999
2018,Fiji,20.803
2019,Fiji,20.807
2020,Fiji,20.81
2021,Fiji,20.808000000000003
2022,Fiji,20.798000000000002
2023,Fiji,20.784000000000002
2024,Fiji,20.767
2025,Fiji,20.750999999999998
2026,Fiji,20.738000000000003
2027,Fiji,20.723000000000003
2028,Fiji,20.704
2029,Fiji,20.69
2030,Fiji,20.686999999999998
2018,Kiribati,20.36
2019,Kiribati,20.359
2020,Kiribati,20.359
2021,Kiribati,20.366
2022,Kiribati,20.382
2023,Kiribati,20.407
2024,Kiribati,20.432000000000002
2025,Kiribati,20.452
2026,Kiribati,20.459
2027,Kiribati,20.444000000000003
2028,Kiribati,20.412
2029,Kiribati,20.377
2030,Kiribati,20.35
2018,Marshall Islands,21.014
2019,Marshall Islands,21.029
2020,Marshall Islands,21.045
2021,Marshall Islands,21.061999999999998
2022,Marshall Islands,21.08
2023,Marshall Islands,21.101
2024,Marshall Islands,21.122
2025,Marshall Islands,21.143
2026,Marshall Islands,21.160999999999998
2027,Marshall Islands,21.178
2028,Marshall Islands,21.194000000000003
2029,Marshall Islands,21.208000000000002
2030,Marshall Islands,21.221999999999998
2018,Federated States of Micronesia,20.955
2019,Federated States of Micronesia,20.988000000000003
2020,Federated States of Micronesia,21.021
2021,Federated States of Micronesia,21.054000000000002
2022,Federated States of Micronesia,21.087
2023,Federated States of Micronesia,21.121
2024,Federated States of Micronesia,21.155
2025,Federated States of Micronesia,21.186999999999998
2026,Federated States of Micronesia,21.217
2027,Federated States of Micronesia,21.241999999999997
2028,Federated States of Micronesia,21.263
2029,Federated States of Micronesia,21.283
2030,Federated States of Micronesia,21.305
2018,Papua New Guinea,21.323
2019,Papua New Guinea,21.323
2020,Papua New Guinea,21.322
2021,Papua New Guinea,21.322
2022,Papua New Guinea,21.323
2023,Papua New Guinea,21.325
2024,Papua New Guinea,21.326999999999998
2025,Papua New Guinea,21.329
2026,Papua New Guinea,21.33
2027,Papua New Guinea,21.33
2028,Papua New Guinea,21.33
