year,country,value
2018,China,11.383
2019,China,10.804
2020,China,10.280999999999999
2021,China,9.791
2022,China,9.346
2023,China,8.929
2024,China,8.543
2025,China,8.18
2026,China,7.845
2027,China,7.54
2028,China,7.229
2029,China,6.956
2030,China,6.67
2018,North Korea,23.820999999999998
2019,North Korea,22.383000000000003
2020,North Korea,22.308000000000003
2021,North Korea,21.579
2022,North Korea,20.898000000000003
2023,North Korea,21.139
2024,North Korea,20.829
2025,North Korea,19.965
2026,North Korea,18.4
2027,North Korea,19.412
2028,North Korea,17.531
2029,North Korea,18.061
2030,North Korea,17.669
2018,Taiwan,4.586
2019,Taiwan,4.478
2020,Taiwan,4.381
2021,Taiwan,4.288
2022,Taiwan,4.207
2023,Taiwan,4.132
2024,Taiwan,4.064
2025,Taiwan,4.003
2026,Taiwan,3.945
2027,Taiwan,3.9160000000000004
2028,Taiwan,3.846
2029,Taiwan,3.813
2030,Taiwan,3.772
2018,Cambodia,30.453000000000003
2019,Cambodia,29.016
2020,Cambodia,27.881
2021,Cambodia,26.545
2022,Cambodia,25.485
2023,Cambodia,24.39
2024,Cambodia,23.548000000000002
2025,Cambodia,22.514
2026,Cambodia,21.646
2027,Cambodia,25.566
2028,Cambodia,19.842
2029,Cambodia,21.089000000000002
2030,Cambodia,21.089000000000002
2018,Indonesia,24.519000000000002
2019,Indonesia,23.488000000000003
2020,Indonesia,22.526999999999997
2021,Indonesia,21.629
2022,Indonesia,20.791999999999998
2023,Indonesia,20.006
2024,Indonesia,19.272000000000002
2025,Indonesia,18.602
2026,Indonesia,17.954
2027,Indonesia,17.384
2028,Indonesia,16.762
2029,Indonesia,16.256
2030,Indonesia,15.747
2018,Laos,54.94
2019,Laos,52.558
2020,Laos,50.428000000000004
2021,Laos,48.356
2022,Laos,46.442
2023,Laos,44.618
2024,Laos,42.961000000000006
2025,Laos,41.367
2026,Laos,39.818000000000005
2027,Laos,38.742
2028,Laos,36.974000000000004
2029,Laos,35.818000000000005
2030,Laos,34.639
2018,Malaysia,7.063
2019,Malaysia,6.916
2020,Malaysia,6.792999999999999
2021,Malaysia,6.655
2022,Malaysia,6.5120000000000005
2023,Malaysia,6.365
2024,Malaysia,6.2010000000000005
2025,Malaysia,6.016
2026,Malaysia,5.699
2027,Malaysia,5.565
2028,Malaysia,5.3020000000000005
2029,Malaysia,5.165
2030,Malaysia,5.012
2018,Maldives,7.303
2019,Maldives,6.957000000000001
2020,Maldives,6.636
2021,Maldives,6.356
2022,Maldives,6.093
2023,Maldives,5.848
2024,Maldives,5.622999999999999
2025,Maldives,5.4239999999999995
2026,Maldives,5.229
2027,Maldives,5.058
2028,Maldives,4.832
2029,Maldives,4.692
2030,Maldives,4.555
2018,Myanmar,42.342
2019,Myanmar,40.349000000000004
2020,Myanmar,38.681999999999995
2021,Myanmar,36.917
2022,Myanmar,35.294000000000004
2023,Myanmar,33.808
2024,Myanmar,32.509
2025,Myanmar,31.203000000000003
2026,Myanmar,29.980999999999998
2027,Myanmar,29.484
2028,Myanmar,27.794
2029,Myanmar,27.005
2030,Myanmar,26.249000000000002
2018,Philippines,25.747
2019,Philippines,24.933000000000003
2020,Philippines,24.233
2021,Philippines,23.522
2022,Philippines,22.888
2023,Philippines,22.283
2024,Philippines,21.726
2025,Philippines,21.171999999999997
2026,Philippines,20.66
2027,Philippines,20.219
2028,Philippines,19.646
2029,Philippines,19.254
2030,Philippines,18.808
2018,Sri Lanka,8.549
2019,Sri Lanka,8.52
2020,Sri Lanka,8.421
2021,Sri Lanka,8.252
2022,Sri Lanka,8.113
2023,Sri Lanka,7.943
2024,Sri Lanka,7.7410000000000005
2025,Sri Lanka,7.617000000000001
2026,Sri Lanka,7.417000000000001
2027,Sri Lanka,7.3420000000000005
2028,Sri Lanka,6.921
2029,Sri Lanka,6.874
2030,Sri Lanka,6.752000000000001
2018,Thailand,8.307
2019,Thailand,7.934
2020,Thailand,7.584
2021,Thailand,7.0
2022,Thailand,6.702000000000001
2023,Thailand,6.412999999999999
2024,Thailand,6.149
2025,Thailand,5.9
2026,Thailand,5.6610000000000005
2027,Thailand,5.33
2028,Thailand,5.088
2029,Thailand,4.902
2030,Thailand,4.716
2018,Timor-Leste,34.398
2019,Timor-Leste,33.086
2020,Timor-Leste,31.991999999999997
2021,Timor-Leste,30.78
2022,Timor-Leste,29.68
2023,Timor-Leste,28.535999999999998
2024,Timor-Leste,27.498
2025,Timor-Leste,26.495
2026,Timor-Leste,25.455
2027,Timor-Leste,25.665
2028,Timor-Leste,23.53
2029,Timor-Leste,23.029
2030,Timor-Leste,22.543000000000003
2018,Vietnam,12.860999999999999
2019,Vietnam,12.325999999999999
2020,Vietnam,12.157
2021,Vietnam,11.649000000000001
2022,Vietnam,11.325999999999999
2023,Vietnam,10.901
2024,Vietnam,10.654000000000002
2025,Vietnam,10.321
2026,Vietnam,9.937000000000001
2027,Vietnam,10.853
2028,Vietnam,9.038
2029,Vietnam,9.551
2030,Vietnam,9.341000000000001
2018,Fiji,25.524
2019,Fiji,25.389
2020,Fiji,25.3
2021,Fiji,25.245
2022,Fiji,25.199
2023,Fiji,25.177
2024,Fiji,25.194000000000003
2025,Fiji,25.24
2026,Fiji,25.288
2027,Fiji,25.354
2028,Fiji,25.428
2029,Fiji,25.544
2030,Fiji,25.654
2018,Kiribati,41.715
2019,Kiribati,40.549
2020,Kiribati,39.486999999999995
2021,Kiribati,38.508
2022,Kiribati,37.591
2023,Kiribati,36.731
2024,Kiribati,35.917
2025,Kiribati,35.141999999999996
2026,Kiribati,34.403
2027,Kiribati,33.689
2028,Kiribati,32.998000000000005
2029,Kiribati,32.321
2030,Kiribati,31.655
2018,Marshall Islands,21.479
2019,Marshall Islands,20.839000000000002
2020,Marshall Islands,20.250999999999998
2021,Marshall Islands,19.703
2022,Marshall Islands,19.198
2023,Marshall Islands,18.727999999999998
2024,Marshall Islands,18.28
2025,Marshall Islands,17.865
2026,Marshall Islands,17.47
2027,Marshall Islands,17.104
2028,Marshall Islands,16.75
2029,Marshall Islands,16.428
2030,Marshall Islands,16.115
2018,Federated States of Micronesia,16.906
2019,Federated States of Micronesia,16.371
2020,Federated States of Micronesia,15.901
2021,Federated States of Micronesia,15.467
2022,Federated States of Micronesia,15.069
2023,Federated States of Micronesia,14.690999999999999
2024,Federated States of Micronesia,14.347000000000001
2025,Federated States of Micronesia,14.014000000000001
2026,Federated States of Micronesia,13.71
2027,Federated States of Micronesia,13.425999999999998
2028,Federated States of Micronesia,13.11
2029,Federated States of Micronesia,12.843
2030,Federated States of Micronesia,12.604000000000001
2018,Papua New Guinea,50.755
2019,Papua New Guinea,49.006
2020,Papua New Guinea,47.431000000000004
