year,country,value
2018,China,52.36
2019,China,52.058
2020,China,51.757
2021,China,51.458999999999996
2022,China,51.162
2023,China,50.868
2024,China,50.576
2025,China,50.285
2026,China,49.997
2027,China,49.71
2028,China,49.426
2029,China,49.143
2030,China,48.861999999999995
2018,North Korea,31.831
2019,North Korea,31.662
2020,North Korea,31.5
2021,North Korea,31.344
2022,North Korea,31.195
2023,North Korea,31.052
2024,North Korea,30.916
2025,North Korea,30.785999999999998
2026,North Korea,30.662
2027,North Korea,30.545
2028,North Korea,30.433000000000003
2029,North Korea,30.326999999999998
2030,North Korea,30.228
2018,Taiwan,23.049
2019,Taiwan,22.908
2020,Taiwan,22.771
2021,Taiwan,22.636999999999997
2022,Taiwan,22.505
2023,Taiwan,22.377
2024,Taiwan,22.250999999999998
2025,Taiwan,22.127
2026,Taiwan,22.006999999999998
2027,Taiwan,21.889
2028,Taiwan,21.774
2029,Taiwan,21.660999999999998
2030,Taiwan,21.551
2018,Cambodia,25.535
2019,Cambodia,25.464000000000002
2020,Cambodia,25.4
2021,Cambodia,25.345
2022,Cambodia,25.296
2023,Cambodia,25.256
2024,Cambodia,25.223000000000003
2025,Cambodia,25.197
2026,Cambodia,25.179000000000002
2027,Cambodia,25.169
2028,Cambodia,25.166
2029,Cambodia,25.17
2030,Cambodia,25.183000000000003
2018,Indonesia,16.436
2019,Indonesia,16.371
2020,Indonesia,16.305999999999997
2021,Indonesia,16.241
2022,Indonesia,16.177
2023,Indonesia,16.114
2024,Indonesia,16.051
2025,Indonesia,15.989
2026,Indonesia,15.927
2027,Indonesia,15.866
2028,Indonesia,15.805
2029,Indonesia,15.745
2030,Indonesia,15.685
2018,Laos,25.156999999999996
2019,Laos,25.214000000000002
2020,Laos,25.281
2021,Laos,25.358
2022,Laos,25.445
2023,Laos,25.541
2024,Laos,25.649
2025,Laos,25.766
2026,Laos,25.894000000000002
2027,Laos,26.033
2028,Laos,26.183000000000003
2029,Laos,26.344
2030,Laos,26.517
2018,Malaysia,15.997
2019,Malaysia,15.960999999999999
2020,Malaysia,15.927
2021,Malaysia,15.897
2022,Malaysia,15.869000000000002
2023,Malaysia,15.844000000000001
2024,Malaysia,15.822000000000001
2025,Malaysia,15.802
2026,Malaysia,15.785
2027,Malaysia,15.770999999999999
2028,Malaysia,15.76
2029,Malaysia,15.751
2030,Malaysia,15.745
2018,Maldives,7.66
2019,Maldives,7.526
2020,Maldives,7.395
2021,Maldives,7.266
2022,Maldives,7.14
2023,Maldives,7.015
2024,Maldives,6.893
2025,Maldives,6.773
2026,Maldives,6.655
2027,Maldives,6.539
2028,Maldives,6.425
2029,Maldives,6.313
2030,Maldives,6.202999999999999
2018,Myanmar,35.457
2019,Myanmar,35.363
2020,Myanmar,35.275999999999996
2021,Myanmar,35.196
2022,Myanmar,35.123000000000005
2023,Myanmar,35.056
2024,Myanmar,34.997
2025,Myanmar,34.944
2026,Myanmar,34.898
2027,Myanmar,34.859
2028,Myanmar,34.827
2029,Myanmar,34.801
2030,Myanmar,34.782
2018,Philippines,17.971
2019,Philippines,17.877
2020,Philippines,17.788
2021,Philippines,17.703
2022,Philippines,17.622
2023,Philippines,17.546
2024,Philippines,17.474
2025,Philippines,17.407
2026,Philippines,17.343
2027,Philippines,17.284000000000002
2028,Philippines,17.23
2029,Philippines,17.179000000000002
2030,Philippines,17.133
2018,Sri Lanka,10.855
2019,Sri Lanka,10.619000000000002
2020,Sri Lanka,10.392000000000001
2021,Sri Lanka,10.174
2022,Sri Lanka,9.963
2023,Sri Lanka,9.76
2024,Sri Lanka,9.565
2025,Sri Lanka,9.376
2026,Sri Lanka,9.193999999999999
2027,Sri Lanka,9.019
2028,Sri Lanka,8.85
2029,Sri Lanka,8.687000000000001
2030,Sri Lanka,8.529
2018,Thailand,26.142
2019,Thailand,26.034000000000002
2020,Thailand,25.932
2021,Thailand,25.835
2022,Thailand,25.744
2023,Thailand,25.659000000000002
2024,Thailand,25.579
2025,Thailand,25.505
2026,Thailand,25.436999999999998
2027,Thailand,25.374000000000002
2028,Thailand,25.316999999999997
2029,Thailand,25.264
2030,Thailand,25.218000000000004
2018,Timor-Leste,19.227
2019,Timor-Leste,19.209
2020,Timor-Leste,19.202
2021,Timor-Leste,19.207
2022,Timor-Leste,19.223
2023,Timor-Leste,19.250999999999998
2024,Timor-Leste,19.291
2025,Timor-Leste,19.342
2026,Timor-Leste,19.405
2027,Timor-Leste,19.48
2028,Timor-Leste,19.567
2029,Timor-Leste,19.666
2030,Timor-Leste,19.777
2018,Vietnam,29.503
2019,Vietnam,29.392
2020,Vietnam,29.293000000000003
2021,Vietnam,29.205
2022,Vietnam,29.129
2023,Vietnam,29.064
2024,Vietnam,29.011
2025,Vietnam,28.97
2026,Vietnam,28.94
2027,Vietnam,28.921999999999997
2028,Vietnam,28.916
2029,Vietnam,28.921
2030,Vietnam,28.938000000000002
2018,Fiji,10.823
2019,Fiji,10.812000000000001
2020,Fiji,10.807
2021,Fiji,10.807
2022,Fiji,10.814
2023,Fiji,10.827
2024,Fiji,10.845999999999998
2025,Fiji,10.872
2026,Fiji,10.902999999999999
2027,Fiji,10.940999999999999
2028,Fiji,10.985
2029,Fiji,11.035
2030,Fiji,11.092
2018,Kiribati,10.6
2019,Kiribati,10.565
2020,Kiribati,10.534
2021,Kiribati,10.509
2022,Kiribati,10.488
2023,Kiribati,10.472000000000001
2024,Kiribati,10.462
2025,Kiribati,10.456
2026,Kiribati,10.455
2027,Kiribati,10.459000000000001
2028,Kiribati,10.467
2029,Kiribati,10.481
2030,Kiribati,10.499
2018,Marshall Islands,10.2
2019,Marshall Islands,10.164
2020,Marshall Islands,10.132
2021,Marshall Islands,10.104
2022,Marshall Islands,10.081
2023,Marshall Islands,10.062000000000001
2024,Marshall Islands,10.047
2025,Marshall Islands,10.037
2026,Marshall Islands,10.031
2027,Marshall Islands,10.029
2028,Marshall Islands,10.032
2029,Marshall Islands,10.038
2030,Marshall Islands,10.049
2018,Federated States of Micronesia,11.26
2019,Federated States of Micronesia,11.244000000000002
2020,Federated States of Micronesia,11.235
2021,Federated States of Micronesia,11.232000000000001
2022,Federated States of Micronesia,11.237
2023,Federated States of Micronesia,11.247
2024,Federated States of Micronesia,11.265
2025,Federated States of Micronesia,11.289000000000001
2026,Federated States of Micronesia,11.32
2027,Federated States of Micronesia,11.357999999999999
2028,Federated States of Micronesia,11.402000000000001
2029,Federated States of Micronesia,11.454
2030,Federated States of Micronesia,11.512
2018,Papua New Guinea,12.306
2019,Papua New Guinea,12.329
2020,Papua New Guinea,12.363
2021,Papua New Guinea,12.407
2022,Papua New Guinea,12.463
2023,Papua New Guinea,12.53
2024,Papua New Guinea,12.607999999999999
2025,Papua New Guinea,12.698
2026,Papua New Guinea,12.799000000000001
2027,Papua New Guinea,12.912
2028,Papua New Guinea,13.038
2029,Papua New Guinea,13.175999999999998
2030,Papua New Guinea,13.325999999999999
2018,Samoa,11.54
2019,Samoa,11.540999999999999
2020,Samoa,11.550999999999998
2021,Samoa,11.571
2022,Samoa,11.599
2023,Samoa,11.637
2024,Samoa,11.684000000000001
2025,Samoa,11.74
2026,Samoa,11.806
2027,Samoa,11.880999999999998
2028,Samoa,11.966
2029,Samoa,12.061
2030,Samoa,12.165999999999999
2018,Solomon Islands,11.905999999999999
2019,Solomon Islands,11.942
2020,Solomon Islands,11.988
2021,Solomon Islands,12.044
2022,Solomon Islands,12.109000000000002
2023,Solomon Islands,12.184000000000001
2024,Solomon Islands,12.269
2025,Solomon Islands,12.364
2026,Solomon Islands,12.47
2027,Solomon Islands,12.585999999999999
2028,Solomon Islands,12.713
2029,Solomon Islands,12.852
2030,Solomon Islands,13.002
2018,Tonga,10.758
2019,Tonga,10.735
2020,Tonga,10.718
2021,Tonga,10.706
2022,Tonga,10.7
2023,Tonga,10.698
2024,Tonga,10.702
2025,Tonga,10.710999999999999
2026,Tonga,10.725999999999999
2027,Tonga,10.745999999999999
2028,Tonga,10.770999999999999
2029,Tonga,10.802
2030,Tonga,10.838
2018,Vanuatu,11.683
2019,Vanuatu,11.722999999999999
2020,Vanuatu,11.773
2021,Vanuatu,11.833
2022,Vanuatu,11.902000000000001
2023,Vanuatu,11.982000000000001
2024,Vanuatu,12.073
2025,Vanuatu,12.174000000000001
2026,Vanuatu,12.286
2027,Vanuatu,12.41
2028,Vanuatu,12.545
2029,Vanuatu,12.692
2030,Vanuatu,12.850999999999999
2018,Armenia,32.438
2019,Armenia,32.354
2020,Armenia,32.275999999999996
2021,Armenia,32.204
2022,Armenia,32.137
2023,Armenia,32.077
2024,Armenia,32.022
2025,Armenia,31.973000000000003
2026,Armenia,31.93
2027,Armenia,31.893
2028,Armenia,31.861
2029,Armenia,31.835
2030,Armenia,31.815
2018,Azerbaijan,19.898
2019,Azerbaijan,19.875999999999998
