id,name,unit,dataset_id
0,Apples and products - Production (FAO (2019)),tonnes,0
1,Apples and products - Import Quantity (FAO (2019)),tonnes,0
2,Apples and products - Export Quantity (FAO (2019)),tonnes,0
3,Apples and products - Domestic supply quantity (FAO (2019)),tonnes,0
4,Apples and products - Losses (FAO (2019)),tonnes,0
5,Apples and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
6,Bananas - Import Quantity (FAO (2019)),tonnes,0
7,Bananas - Domestic supply quantity (FAO (2019)),tonnes,0
8,Bananas - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
9,Barley and products - Production (FAO (2019)),tonnes,0
10,Barley and products - Import Quantity (FAO (2019)),tonnes,0
11,Barley and products - Stock Variation (FAO (2019)),tonnes,0
12,Barley and products - Domestic supply quantity (FAO (2019)),tonnes,0
13,Barley and products - Feed (FAO (2019)),tonnes,0
14,Barley and products - Seed (FAO (2019)),tonnes,0
15,Barley and products - Losses (FAO (2019)),tonnes,0
16,Barley and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
17,Beer - Import Quantity (FAO (2019)),tonnes,0
18,Beer - Domestic supply quantity (FAO (2019)),tonnes,0
19,Beer - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
20,"Beverages, Alcoholic - Import Quantity (FAO (2019))",tonnes,0
21,"Beverages, Alcoholic - Domestic supply quantity (FAO (2019))",tonnes,0
22,"Beverages, Alcoholic - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
23,Brans - Production (FAO (2019)),tonnes,0
24,Brans - Domestic supply quantity (FAO (2019)),tonnes,0
25,Brans - Feed (FAO (2019)),tonnes,0
26,"Cereals, Other - Import Quantity (FAO (2019))",tonnes,0
27,"Cereals, Other - Domestic supply quantity (FAO (2019))",tonnes,0
28,"Cereals, Other - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
29,"Citrus, Other - Production (FAO (2019))",tonnes,0
30,"Citrus, Other - Import Quantity (FAO (2019))",tonnes,0
31,"Citrus, Other - Export Quantity (FAO (2019))",tonnes,0
32,"Citrus, Other - Domestic supply quantity (FAO (2019))",tonnes,0
33,"Citrus, Other - Losses (FAO (2019))",tonnes,0
34,"Citrus, Other - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
35,Cocoa Beans and products - Import Quantity (FAO (2019)),tonnes,0
36,Cocoa Beans and products - Domestic supply quantity (FAO (2019)),tonnes,0
37,Cocoa Beans and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
38,Coconuts - Incl Copra - Import Quantity (FAO (2019)),tonnes,0
39,Coconuts - Incl Copra - Domestic supply quantity (FAO (2019)),tonnes,0
40,Coconuts - Incl Copra - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
41,Coffee and products - Import Quantity (FAO (2019)),tonnes,0
42,Coffee and products - Domestic supply quantity (FAO (2019)),tonnes,0
43,Coffee and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
44,Cotton lint - Production (FAO (2019)),tonnes,0
45,Cotton lint - Import Quantity (FAO (2019)),tonnes,0
46,Cotton lint - Stock Variation (FAO (2019)),tonnes,0
47,Cotton lint - Export Quantity (FAO (2019)),tonnes,0
48,Cotton lint - Domestic supply quantity (FAO (2019)),tonnes,0
49,Cotton lint - Other uses (FAO (2019)),tonnes,0
50,Cottonseed - Production (FAO (2019)),tonnes,0
51,Cottonseed - Export Quantity (FAO (2019)),tonnes,0
52,Cottonseed - Domestic supply quantity (FAO (2019)),tonnes,0
53,Cottonseed - Seed (FAO (2019)),tonnes,0
54,Cottonseed - Processing (FAO (2019)),tonnes,0
55,Cottonseed Cake - Production (FAO (2019)),tonnes,0
56,Cottonseed Cake - Export Quantity (FAO (2019)),tonnes,0
57,Cottonseed Cake - Domestic supply quantity (FAO (2019)),tonnes,0
58,Cottonseed Cake - Feed (FAO (2019)),tonnes,0
59,Cottonseed Oil - Production (FAO (2019)),tonnes,0
60,Cottonseed Oil - Domestic supply quantity (FAO (2019)),tonnes,0
61,Cottonseed Oil - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
62,Cottonseed Oil - Other uses (FAO (2019)),tonnes,0
63,Dates - Import Quantity (FAO (2019)),tonnes,0
64,Dates - Domestic supply quantity (FAO (2019)),tonnes,0
65,Dates - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
66,"Fruits, Other - Production (FAO (2019))",tonnes,0
67,"Fruits, Other - Import Quantity (FAO (2019))",tonnes,0
68,"Fruits, Other - Stock Variation (FAO (2019))",tonnes,0
69,"Fruits, Other - Export Quantity (FAO (2019))",tonnes,0
70,"Fruits, Other - Domestic supply quantity (FAO (2019))",tonnes,0
71,"Fruits, Other - Losses (FAO (2019))",tonnes,0
72,"Fruits, Other - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
73,Grapes and products (excl wine) - Production (FAO (2019)),tonnes,0
74,Grapes and products (excl wine) - Stock Variation (FAO (2019)),tonnes,0
75,Grapes and products (excl wine) - Export Quantity (FAO (2019)),tonnes,0
76,Grapes and products (excl wine) - Domestic supply quantity (FAO (2019)),tonnes,0
77,Grapes and products (excl wine) - Losses (FAO (2019)),tonnes,0
78,Grapes and products (excl wine) - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
79,Groundnut Oil - Import Quantity (FAO (2019)),tonnes,0
80,Groundnut Oil - Domestic supply quantity (FAO (2019)),tonnes,0
81,Groundnut Oil - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
82,Infant food - Import Quantity (FAO (2019)),tonnes,0
83,Infant food - Domestic supply quantity (FAO (2019)),tonnes,0
84,Infant food - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
85,Jute - Import Quantity (FAO (2019)),tonnes,0
86,Jute - Domestic supply quantity (FAO (2019)),tonnes,0
87,Jute - Other uses (FAO (2019)),tonnes,0
88,Maize and products - Production (FAO (2019)),tonnes,0
89,Maize and products - Import Quantity (FAO (2019)),tonnes,0
90,Maize and products - Export Quantity (FAO (2019)),tonnes,0
91,Maize and products - Domestic supply quantity (FAO (2019)),tonnes,0
92,Maize and products - Feed (FAO (2019)),tonnes,0
93,Maize and products - Seed (FAO (2019)),tonnes,0
94,Maize and products - Losses (FAO (2019)),tonnes,0
95,Maize and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
96,Millet and products - Production (FAO (2019)),tonnes,0
97,Millet and products - Domestic supply quantity (FAO (2019)),tonnes,0
98,Millet and products - Seed (FAO (2019)),tonnes,0
99,Millet and products - Losses (FAO (2019)),tonnes,0
100,Millet and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
101,Molasses - Production (FAO (2019)),tonnes,0
102,Molasses - Domestic supply quantity (FAO (2019)),tonnes,0
103,Molasses - Feed (FAO (2019)),tonnes,0
104,Nuts and products - Production (FAO (2019)),tonnes,0
105,Nuts and products - Export Quantity (FAO (2019)),tonnes,0
106,Nuts and products - Domestic supply quantity (FAO (2019)),tonnes,0
107,Nuts and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
108,"Oilcrops Oil, Other - Production (FAO (2019))",tonnes,0
109,"Oilcrops Oil, Other - Import Quantity (FAO (2019))",tonnes,0
110,"Oilcrops Oil, Other - Domestic supply quantity (FAO (2019))",tonnes,0
111,"Oilcrops Oil, Other - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
112,"Oilcrops Oil, Other - Other uses (FAO (2019))",tonnes,0
113,"Oilcrops, Other - Production (FAO (2019))",tonnes,0
114,"Oilcrops, Other - Export Quantity (FAO (2019))",tonnes,0
115,"Oilcrops, Other - Domestic supply quantity (FAO (2019))",tonnes,0
116,"Oilcrops, Other - Seed (FAO (2019))",tonnes,0
117,"Oilcrops, Other - Losses (FAO (2019))",tonnes,0
118,"Oilcrops, Other - Processing (FAO (2019))",tonnes,0
119,"Oilseed Cakes, Other - Production (FAO (2019))",tonnes,0
120,"Oilseed Cakes, Other - Export Quantity (FAO (2019))",tonnes,0
121,"Oilseed Cakes, Other - Domestic supply quantity (FAO (2019))",tonnes,0
122,"Oilseed Cakes, Other - Feed (FAO (2019))",tonnes,0
123,Olive Oil - Production (FAO (2019)),tonnes,0
124,Olive Oil - Import Quantity (FAO (2019)),tonnes,0
125,Olive Oil - Domestic supply quantity (FAO (2019)),tonnes,0
126,Olive Oil - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
127,Olives (including preserved) - Production (FAO (2019)),tonnes,0
128,Olives (including preserved) - Export Quantity (FAO (2019)),tonnes,0
129,Olives (including preserved) - Domestic supply quantity (FAO (2019)),tonnes,0
130,Olives (including preserved) - Losses (FAO (2019)),tonnes,0
131,Olives (including preserved) - Processing (FAO (2019)),tonnes,0
132,Olives (including preserved) - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
133,"Oranges, Mandarines - Production (FAO (2019))",tonnes,0
134,"Oranges, Mandarines - Import Quantity (FAO (2019))",tonnes,0
135,"Oranges, Mandarines - Export Quantity (FAO (2019))",tonnes,0
136,"Oranges, Mandarines - Domestic supply quantity (FAO (2019))",tonnes,0
137,"Oranges, Mandarines - Losses (FAO (2019))",tonnes,0
138,"Oranges, Mandarines - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
139,Palm Oil - Import Quantity (FAO (2019)),tonnes,0
140,Palm Oil - Domestic supply quantity (FAO (2019)),tonnes,0
141,Palm Oil - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
142,Palm Oil - Other uses (FAO (2019)),tonnes,0
143,Pepper - Import Quantity (FAO (2019)),tonnes,0
144,Pepper - Stock Variation (FAO (2019)),tonnes,0
145,Pepper - Export Quantity (FAO (2019)),tonnes,0
146,Pepper - Domestic supply quantity (FAO (2019)),tonnes,0
147,Pepper - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
148,Pineapples and products - Import Quantity (FAO (2019)),tonnes,0
149,Pineapples and products - Domestic supply quantity (FAO (2019)),tonnes,0
150,Pineapples and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
151,Potatoes and products - Production (FAO (2019)),tonnes,0
152,Potatoes and products - Import Quantity (FAO (2019)),tonnes,0
153,Potatoes and products - Export Quantity (FAO (2019)),tonnes,0
154,Potatoes and products - Domestic supply quantity (FAO (2019)),tonnes,0
155,Potatoes and products - Seed (FAO (2019)),tonnes,0
156,Potatoes and products - Losses (FAO (2019)),tonnes,0
157,Potatoes and products - Food supply quantity (tonnes) (FAO (2019)),tonnes,0
158,"Pulses, Other and products - Production (FAO (2019))",tonnes,0
159,"Pulses, Other and products - Import Quantity (FAO (2019))",tonnes,0
160,"Pulses, Other and products - Export Quantity (FAO (2019))",tonnes,0
161,"Pulses, Other and products - Domestic supply quantity (FAO (2019))",tonnes,0
162,"Pulses, Other and products - Feed (FAO (2019))",tonnes,0
163,"Pulses, Other and products - Seed (FAO (2019))",tonnes,0
164,"Pulses, Other and products - Losses (FAO (2019))",tonnes,0
165,"Pulses, Other and products - Food supply quantity (tonnes) (FAO (2019))",tonnes,0
166,Rape and Mustard Oil - Import Quantity (FAO (2019)),tonnes,0
