country,year,value
Mexico,1820,0.011
Mexico,1821,0.012
Mexico,1822,0.012
Mexico,1823,0.013
Mexico,1824,0.013
Mexico,1825,0.014
Mexico,1826,0.015
Mexico,1827,0.015
Mexico,1828,0.016
Mexico,1829,0.017
Mexico,1830,0.017
Mexico,1831,0.018
Mexico,1832,0.019
Mexico,1833,0.02
Mexico,1834,0.021
Mexico,1835,0.022
Mexico,1836,0.023
Mexico,1837,0.024
Mexico,1838,0.025
Mexico,1839,0.026
Mexico,1840,0.027
Mexico,1841,0.028
Mexico,1842,0.03
Mexico,1843,0.031
Mexico,1844,0.032
Mexico,1845,0.034
Mexico,1846,0.036
Mexico,1847,0.037
Mexico,1848,0.039
Mexico,1849,0.041
Mexico,1850,0.042
Mexico,1851,0.044
Mexico,1852,0.046
Mexico,1853,0.049
Mexico,1854,0.051
Mexico,1855,0.053
Mexico,1856,0.055
Mexico,1857,0.058
Mexico,1858,0.061
Mexico,1859,0.063
Mexico,1860,0.066
Mexico,1861,0.069
Mexico,1862,0.072
Mexico,1863,0.076
Mexico,1864,0.079
Mexico,1865,0.082
Mexico,1866,0.086
Mexico,1867,0.091
Mexico,1868,0.095
Mexico,1869,0.099
Mexico,1870,0.103
Mexico,1871,0.108
Mexico,1872,0.113
Mexico,1873,0.118
Mexico,1874,0.123
Mexico,1875,0.129
Mexico,1876,0.135
Mexico,1877,0.141
Mexico,1878,0.148
Mexico,1879,0.154
Mexico,1880,0.161
Mexico,1881,0.169
Mexico,1882,0.177
Mexico,1883,0.185
Mexico,1884,0.193
Mexico,1885,0.201
Mexico,1886,0.205
Mexico,1887,0.21
Mexico,1888,0.215
Mexico,1889,0.22
Mexico,1890,0.224
Mexico,1891,0.222
Mexico,1892,0.219
Mexico,1893,0.217
Mexico,1894,0.215
Mexico,1895,0.212
Mexico,1896,0.215
Mexico,1897,0.218
Mexico,1898,0.221
Mexico,1899,0.223
Mexico,1900,0.226
Mexico,1901,0.229
Mexico,1902,0.232
Mexico,1903,0.235
Mexico,1904,0.238
Mexico,1905,0.24
Mexico,1906,0.238
Mexico,1907,0.236
Mexico,1908,0.233
Mexico,1909,0.231
Mexico,1910,0.229
Mexico,1911,0.235
Mexico,1912,0.241
Mexico,1913,0.247
Mexico,1914,0.253
Mexico,1915,0.259
Mexico,1916,0.263
Mexico,1917,0.266
Mexico,1918,0.269
Mexico,1919,0.273
Mexico,1920,0.276
Mexico,1921,0.275
Mexico,1922,0.274
Mexico,1923,0.272
Mexico,1924,0.271
Mexico,1925,0.27
Mexico,1926,0.261
Mexico,1927,0.252
Mexico,1928,0.242
Mexico,1929,0.233
Mexico,1930,0.224
Mexico,1931,0.221
Mexico,1932,0.219
Mexico,1933,0.217
Mexico,1934,0.215
Mexico,1935,0.213
Mexico,1936,0.277
Mexico,1937,0.342
Mexico,1938,0.406
Mexico,1939,0.47
Mexico,1940,0.535
Mexico,1941,0.531
Mexico,1942,0.526
Mexico,1943,0.522
Mexico,1944,0.518
Mexico,1945,0.514
Mexico,1946,0.512
Mexico,1947,0.509
Mexico,1948,0.507
Mexico,1949,0.504
Mexico,1950,0.502
Mexico,1951,0.547
Mexico,1952,0.593
Mexico,1953,0.638
Mexico,1954,0.684
Mexico,1955,0.729
Mexico,1956,1.103
Mexico,1957,1.477
Mexico,1958,1.85
Mexico,1959,2.224
Mexico,1960,2.598
Mexico,1961,2.854
Mexico,1962,3.109
Mexico,1963,3.365
Mexico,1964,3.62
Mexico,1965,3.876
Mexico,1966,4.316
Mexico,1967,4.756
Mexico,1968,5.196
Mexico,1969,5.636
Mexico,1970,6.076
Mexico,1971,6.959
Mexico,1972,7.841
Mexico,1973,8.724
Mexico,1974,9.607
Mexico,1975,10.489
Mexico,1976,11.274
Mexico,1977,12.059
Mexico,1978,12.844
Mexico,1979,13.629
Mexico,1980,14.413
Mexico,1981,14.717
Mexico,1982,15.021
Mexico,1983,15.325
Mexico,1984,15.629
Mexico,1985,15.933
Mexico,1986,15.65
Mexico,1987,15.367
Mexico,1988,15.084
Mexico,1989,14.801
Mexico,1990,14.518
Mexico,1991,14.678
Mexico,1992,14.837
Mexico,1993,14.997
Mexico,1994,15.157
Mexico,1995,15.317
Mexico,1996,16.054
Mexico,1997,16.79
Mexico,1998,17.527
Mexico,1999,18.263
Mexico,2000,19
Mexico,2001,19.8
Mexico,2002,20.6
Mexico,2003,21.4
Mexico,2004,22.2
Mexico,2005,23
Mexico,2006,23.802
Mexico,2007,24.604
Mexico,2008,25.406
Mexico,2009,26.208
Mexico,2010,27.01
Sweden,1820,0.029
Sweden,1821,0.03
Sweden,1822,0.032
Sweden,1823,0.033
Sweden,1824,0.034
Sweden,1825,0.036
Sweden,1826,0.038
Sweden,1827,0.039
Sweden,1828,0.041
Sweden,1829,0.043
Sweden,1830,0.045
Sweden,1831,0.047
Sweden,1832,0.049
Sweden,1833,0.051
Sweden,1834,0.053
Sweden,1835,0.056
Sweden,1836,0.058
Sweden,1837,0.061
Sweden,1838,0.064
Sweden,1839,0.067
Sweden,1840,0.069
Sweden,1841,0.073
Sweden,1842,0.076
Sweden,1843,0.079
Sweden,1844,0.083
Sweden,1845,0.086
Sweden,1846,0.09
Sweden,1847,0.094
Sweden,1848,0.099
Sweden,1849,0.103
Sweden,1850,0.107
Sweden,1851,0.113
Sweden,1852,0.118
