Report generated on: 02-28-2022 17:08:50
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-4-WORL-TST.A","        Coal (Mst)","297478.5297267302","327556.8083795882","309875.0379530858","310025.69167372346","356393.0633041234","393060.12998055754","390138.0214926925","393977.10081353923","428994.7168953253","433274.2149488424","464885.6362821504","488512.43108535843","494096.4674682632","483501.515376788","502461.7417651008","555006.4062953292","572444.6784671904","600971.9159106369","615491.3458698967","613717.5704705539","687705.502171351","740596.901688443","744211.0947356189","807025.1558586187","858957.2544959557","904082.9059898809","986933.3208365317","1040352.9261820788","1083104.875221187","1082069.4973616556","1227344.2575236259","1256443.1521194533","1360813.3096643765","1460278.3159142362","1481854.1496800347","1413245.8466448565","1444918.4582387607","1523646.3577637963","1562530.1714484778","1590983.8646067255","1484623.1319259224"
"INTL.11-4-WORL-TST.A","            Anthracite (Mst)","9397.0168463389","11022.24600938012","10573.698124344013","10463.280213137094","9057.41086640615","10283.335638608727","11331.876404410083","11975.950878888303","12918.67636924546","11753.4668418888","12252.722207598697","13196.943805116565","13744.731467408072","14052.26385313131","15591.30869944204","16579.499894604654","16514.174925269832","17772.212210332993","18226.064781425135","17899.287742831202","21500.876460733143","27089.92235912653","31745.485806996374","36685.060012625436","39807.39507702923","43960.27714045281","53918.75011926784","63047.172914198294","55018.514406254006","56160.35071098449","61441.5254283967","66137.08515947605","67405.90848770192","70946.77928538826","61261.133311537626","58141.02657087675","62208.514364876995","42719.16414596109","41982.75860884225","46815.71040742421","45324.68277575004"
"INTL.130-4-WORL-TST.A","            Metallurgical coal (Mst)","133817.3782009512","142613.64312193808","136137.24631462188","132653.27299517658","153141.0446349799","159644.7794733992","140609.36626417178","141238.50924819484","151155.52532258502","156369.66143822816","162164.65533255076","171098.91305063796","167583.72385658114","156962.82115725003","162379.990277637","171990.24269824062","171946.52977852896","183704.52998465358","185595.3628210486","171874.61071065636","184712.66450085043","177802.37501898373","185183.9708592779","179206.81323949384","184162.53821365893","195361.11352879368","191224.99930992242","236738.71999705737","255282.48590345302","245207.3200599348","302199.60916996276","297890.10602960683","311405.19425735506","331265.37487186876","348621.69649180886","336214.4089229156","346064.72050852876","357632.90937024093","367814.5554641951","373166.4137367148","335901.5973272088"
"INTL.12-4-WORL-TST.A","            Bituminous (Mst)","115333.36688691795","135699.62934866178","126701.47708396391","125064.79018506808","144467.8769814662","177946.87521571794","194485.51747954806","202271.36735609558","224123.1467530825","225557.84337754713","248186.64070907404","264329.3841432033","265130.6814216111","267342.94505659566","272561.1712780715","299621.1966947299","318205.3096538788","330023.1646566782","339166.3897723863","348610.73320325854","401989.1225247091","443798.11250962835","429265.66349489556","478597.53131186555","520263.8457338348","525078.4538503842","570433.1776175621","567093.8600872698","602966.0570193272","572032.4540122059","583995.6520864425","598915.9412479738","665558.7670885641","715673.3678625153","741427.2517919074","702997.0124086436","711338.8923569345","752351.1837652498","747946.888693385","738957.9196025339","707228.9460168494"
"INTL.119-4-WORL-TST.A","            Subbituminous (Mst)","33575.58016379455","33168.44492373384","31820.69559247218","37122.11822631908","45011.87239983461","40668.46635456884","39550.43316405236","34736.48359750813","37146.36383813655","35918.57774547593","36887.7471602029","34929.76376613699","42954.80286600596","40492.48762817861","47658.404973779856","62216.001782353655","61411.690546350525","65416.58125952703","68759.2252862238","71878.53077361711","75071.89563325181","87441.93766392245","92994.48663850682","107605.13204832359","110552.36472510017","135754.49674574783","166874.738458198","167280.3902926974","160299.0068884491","196716.8481068224","255850.88160246742","247524.1766635096","255478.39929368987","272536.9198768838","258655.75831340844","257402.30094160428","243788.57910636542","275009.9671456358","290095.1485206668","315098.8177776369","282662.3743217087"
"INTL.14-4-WORL-TST.A","            Lignite (Mst)","5355.187628727584","5052.844975874367","4641.920837683806","4722.230054022632","4714.858421436605","4516.673298262838","4160.828180510254","3754.7897328523763","3651.0046122757885","3674.6655457024144","5393.870872724008","4957.426320263596","4682.527856656879","4650.997681632378","4270.8665361704125","4599.465225400373","4366.973563162255","4055.4277994451086","3744.3032088129257","3454.408040190672","4430.9430518065565","4464.554136782017","5021.487935942246","4930.619246310268","4171.110746332587","3928.564724502264","4481.655331581247","6192.7828908559095","9538.811003703584","11952.524471707991","23856.5892363566","45975.84301888703","60965.04053706569","69855.87401758021","71888.30977137238","58491.09780081638","81517.751902055","95933.13333670863","114690.82016138859","116945.00308241563","113505.53148440544"
"INTL.21-4-WORL-TST.A","        Metallurgical coke (Mst)","23461.56604","21493.94269","19473.57380649995","18440.323528","22660.18667","21585.9304595","19163.8246965","18750.32065775002","21263.96476217304","21848.86099238825","27305.84859688842","17257.58221507558","18302.769202427855","18722.161348146554","21772.246566827056","26525.910508364726","23585.04476618535","27049.48688207633","28770.71118028914","26714.04638402935","33765.27147336669","32421.794542772168","34123.856680959805","37116.0380443348","40728.20713690257","33658.69232511627","36837.53832265199","39510.79982921632","36107.576923157634","17729.526978548412","25547.962087565826","24439.71326032984","23283.050719108844","26685.5000286989","30143.346941983855","29682.514711026848","30942.91337333177","30352.664449676184","32945.02639154152","28610.37022507887","25863.6388070726"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
