country,year,variable,value
Afghanistan,1949,Share of global cumulative CO2 emissions,6.532529678004066e-06
Afghanistan,1950,Share of global cumulative CO2 emissions,4.294635795604797e-05
Afghanistan,1951,Share of global cumulative CO2 emissions,8.048452130274707e-05
Afghanistan,1952,Share of global cumulative CO2 emissions,0.00011601305382194292
Afghanistan,1953,Share of global cumulative CO2 emissions,0.000155460425185227
Afghanistan,1954,Share of global cumulative CO2 emissions,0.00019275707003307358
Afghanistan,1955,Share of global cumulative CO2 emissions,0.00024560784855807646
Afghanistan,1956,Share of global cumulative CO2 emissions,0.0003058182144273868
Afghanistan,1957,Share of global cumulative CO2 emissions,0.00040151999416386785
Afghanistan,1958,Share of global cumulative CO2 emissions,0.0005040928173066784
Afghanistan,1959,Share of global cumulative CO2 emissions,0.0006184025293768555
Afghanistan,1960,Share of global cumulative CO2 emissions,0.0007345120492735695
Afghanistan,1961,Share of global cumulative CO2 emissions,0.0008680389122176902
Afghanistan,1962,Share of global cumulative CO2 emissions,0.001053590708491554
Afghanistan,1963,Share of global cumulative CO2 emissions,0.0012318198821034431
Afghanistan,1964,Share of global cumulative CO2 emissions,0.0014353679994688392
Afghanistan,1965,Share of global cumulative CO2 emissions,0.0016714060709566707
Afghanistan,1966,Share of global cumulative CO2 emissions,0.0019131320174132654
Afghanistan,1967,Share of global cumulative CO2 emissions,0.0021877222761872237
Afghanistan,1968,Share of global cumulative CO2 emissions,0.0024264318287078902
Afghanistan,1969,Share of global cumulative CO2 emissions,0.0025754960724501974
Afghanistan,1970,Share of global cumulative CO2 emissions,0.002879839065963499
Afghanistan,1971,Share of global cumulative CO2 emissions,0.00321013028763541
Afghanistan,1972,Share of global cumulative CO2 emissions,0.0034326183907372456
Afghanistan,1973,Share of global cumulative CO2 emissions,0.003655526557259356
Afghanistan,1974,Share of global cumulative CO2 emissions,0.003920339732865433
Afghanistan,1975,Share of global cumulative CO2 emissions,0.004208797895776992
Afghanistan,1976,Share of global cumulative CO2 emissions,0.004444105961583437
Afghanistan,1977,Share of global cumulative CO2 emissions,0.0047341677989239375
Afghanistan,1978,Share of global cumulative CO2 emissions,0.004958136405437991
Afghanistan,1979,Share of global cumulative CO2 emissions,0.005176663192723865
Afghanistan,1980,Share of global cumulative CO2 emissions,0.005302363616495379
Afghanistan,1981,Share of global cumulative CO2 emissions,0.005460759675797038
Afghanistan,1982,Share of global cumulative CO2 emissions,0.005629262172696289
Afghanistan,1983,Share of global cumulative CO2 emissions,0.005851403206560265
Afghanistan,1984,Share of global cumulative CO2 emissions,0.006100894179194754
Afghanistan,1985,Share of global cumulative CO2 emissions,0.00642786314944158
Afghanistan,1986,Share of global cumulative CO2 emissions,0.00668242200668786
Afghanistan,1987,Share of global cumulative CO2 emissions,0.006913993614919218
Afghanistan,1988,Share of global cumulative CO2 emissions,0.007091300182737009
Afghanistan,1989,Share of global cumulative CO2 emissions,0.007243855345865588
Afghanistan,1990,Share of global cumulative CO2 emissions,0.007363164245307516
Afghanistan,1991,Share of global cumulative CO2 emissions,0.007450388534587016
Afghanistan,1992,Share of global cumulative CO2 emissions,0.0074159225129696625
Afghanistan,1993,Share of global cumulative CO2 emissions,0.00737589804642679
Afghanistan,1994,Share of global cumulative CO2 emissions,0.007330832134019403
Afghanistan,1995,Share of global cumulative CO2 emissions,0.007278564877543725
Afghanistan,1996,Share of global cumulative CO2 emissions,0.007216419603949563
Afghanistan,1997,Share of global cumulative CO2 emissions,0.0071479697046225995
Afghanistan,1998,Share of global cumulative CO2 emissions,0.0070778787469767184
Afghanistan,1999,Share of global cumulative CO2 emissions,0.006987278078947344
Afghanistan,2000,Share of global cumulative CO2 emissions,0.006891388224649653
Afghanistan,2001,Share of global cumulative CO2 emissions,0.0068024410555382565
Afghanistan,2002,Share of global cumulative CO2 emissions,0.006737300597996038
Afghanistan,2003,Share of global cumulative CO2 emissions,0.006679642145247033
Afghanistan,2004,Share of global cumulative CO2 emissions,0.00659137185410001
Afghanistan,2005,Share of global cumulative CO2 emissions,0.006537372461989407
Afghanistan,2006,Share of global cumulative CO2 emissions,0.006508345941512851
Afghanistan,2007,Share of global cumulative CO2 emissions,0.006527074273106948
Afghanistan,2008,Share of global cumulative CO2 emissions,0.006693543838800871
Afghanistan,2009,Share of global cumulative CO2 emissions,0.007049560118406006
Afghanistan,2010,Share of global cumulative CO2 emissions,0.007503743272432061
Afghanistan,2011,Share of global cumulative CO2 emissions,0.008200543873422565
Afghanistan,2012,Share of global cumulative CO2 emissions,0.008725442303719988
Afghanistan,2013,Share of global cumulative CO2 emissions,0.00909994822056356
Afghanistan,2014,Share of global cumulative CO2 emissions,0.009409804569625396
Afghanistan,2015,Share of global cumulative CO2 emissions,0.00971401658310462
Afghanistan,2016,Share of global cumulative CO2 emissions,0.009929206367664612
Afghanistan,2017,Share of global cumulative CO2 emissions,0.010139037787483164
Afghanistan,2018,Share of global cumulative CO2 emissions,0.010557234227978864
Afghanistan,2019,Share of global cumulative CO2 emissions,0.010973051552330018
Africa,1884,Share of global cumulative CO2 emissions,9.80520608382198e-05
Africa,1885,Share of global cumulative CO2 emissions,0.000250204673175863
Africa,1886,Share of global cumulative CO2 emissions,0.0004344800709623424
Africa,1887,Share of global cumulative CO2 emissions,0.0006027104181716596
Africa,1888,Share of global cumulative CO2 emissions,0.000877442680421072
Africa,1889,Share of global cumulative CO2 emissions,0.0013124740697961006
Africa,1890,Share of global cumulative CO2 emissions,0.002269995922111339
Africa,1891,Share of global cumulative CO2 emissions,0.003139809155565764
