country,year,variable,value
Afghanistan,1949,Annual CO2 emissions from coal (per capita),0.0019
Afghanistan,1950,Annual CO2 emissions from coal (per capita),0.0027
Afghanistan,1951,Annual CO2 emissions from coal (per capita),0.0033
Afghanistan,1952,Annual CO2 emissions from coal (per capita),0.004
Afghanistan,1953,Annual CO2 emissions from coal (per capita),0.0047
Afghanistan,1954,Annual CO2 emissions from coal (per capita),0.0052
Afghanistan,1955,Annual CO2 emissions from coal (per capita),0.0075
Afghanistan,1956,Annual CO2 emissions from coal (per capita),0.0074
Afghanistan,1957,Annual CO2 emissions from coal (per capita),0.009
Afghanistan,1958,Annual CO2 emissions from coal (per capita),0.0106
Afghanistan,1959,Annual CO2 emissions from coal (per capita),0.0124
Afghanistan,1960,Annual CO2 emissions from coal (per capita),0.0141
Afghanistan,1961,Annual CO2 emissions from coal (per capita),0.0192
Afghanistan,1962,Annual CO2 emissions from coal (per capita),0.0317
Afghanistan,1963,Annual CO2 emissions from coal (per capita),0.0276
Afghanistan,1964,Annual CO2 emissions from coal (per capita),0.0308
Afghanistan,1965,Annual CO2 emissions from coal (per capita),0.0383
Afghanistan,1966,Annual CO2 emissions from coal (per capita),0.0421
Afghanistan,1967,Annual CO2 emissions from coal (per capita),0.0384
Afghanistan,1968,Annual CO2 emissions from coal (per capita),0.0313
Afghanistan,1969,Annual CO2 emissions from coal (per capita),0.0333
Afghanistan,1970,Annual CO2 emissions from coal (per capita),0.0391
Afghanistan,1971,Annual CO2 emissions from coal (per capita),0.0313
Afghanistan,1972,Annual CO2 emissions from coal (per capita),0.0162
Afghanistan,1973,Annual CO2 emissions from coal (per capita),0.0257
Afghanistan,1974,Annual CO2 emissions from coal (per capita),0.0245
Afghanistan,1975,Annual CO2 emissions from coal (per capita),0.0314
Afghanistan,1976,Annual CO2 emissions from coal (per capita),0.0328
Afghanistan,1977,Annual CO2 emissions from coal (per capita),0.0342
Afghanistan,1978,Annual CO2 emissions from coal (per capita),0.0432
Afghanistan,1979,Annual CO2 emissions from coal (per capita),0.0262
Afghanistan,1980,Annual CO2 emissions from coal (per capita),0.0236
Afghanistan,1981,Annual CO2 emissions from coal (per capita),0.0253
Afghanistan,1982,Annual CO2 emissions from coal (per capita),0.0299
