ghi_name,owid_name
Bolivia (Plurinational State of),Bolivia
Cabo Verde,Cape Verde
Congo (Republic of),Congo
Côte d'Ivoire,Cote d'Ivoire
Democratic Republic of the Congo,Democratic Republic of Congo
Iran (Islamic Republic of),Iran
Korea (DPR),North Korea
Lao PDR,Laos
Moldova (Rep. of),Moldova
Russian Federation,Russia
Syrian Arab Republic,Syria
Tajikistan,Tajikistan
Tanzania (United Republic of),Tanzania
Timor-Leste,Timor
Trinidad & Tobago,Trinidad and Tobago
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Vietnam
