Report generated on: 03-01-2022 10:34:09
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.5-2-WORL-TBPD.A","    Consumption (Mb/d)","34320.049","32986.32","31697.019","33604.966","34469.549","35281.922","35379.22","63136.98901804046","60937.91981561333","59653.60138821889","58887.262083002235","59892.295658870564","60164.603423806424","61828.714125972605","63065.34719819178","64947.83862657414","66046.80370290412","66664.12617","66938.18177634246","67192.26578247234","66999.31643224657","68391.41299213699","69793.70213675506","71873.24755376884","73089.70127682466","73908.20698103562","75522.53380943535","77043.63863589487","77757.29571296407","78644.77723356604","80280.86755973019","83445.18250596907","84656.12464413409","85771.33387884533","87186.88895910258","86594.65845728385","85734.91559875425","88457.90984869286","89036.81153196383","90326.63591093155","91836.11370232033","93373.58039022364","95156.2891457284","96580.77948336401","98691.55133167577","99698.21310451554","100227.51571546892","--"
"INTL.54-2-WORL-TBPD.A","        Refined petroleum products (Mb/d)","34320.049","32986.32","31697.019","33604.966","34469.549","35281.922","35379.22","63136.98901804046","60937.91981561333","59653.60138821889","58887.262083002235","59892.295658870564","60164.603423806424","61828.714125972605","63065.34719819178","64947.83862657414","66046.80370290412","66664.12617","66938.18177634246","67192.26578247234","66999.31643224657","68391.41299213699","69793.70213675506","71873.24755376884","73089.70127682466","73908.20698103562","75522.53380943535","77043.63863589487","77757.29571296407","78644.77723356604","80280.86755973019","83445.18250596907","84656.12464413409","85771.33387884533","87186.88895910258","86594.65845728385","85734.91559875425","88457.90984869286","89036.81153196383","90326.63591093155","91836.11370232033","93373.58039022364","95156.2891457284","96580.77948336401","98691.55133167577","99698.21310451554","100227.51571546892","--"
"INTL.62-2-WORL-TBPD.A","            Motor gasoline (Mb/d)","","","","","","","","15161.015691621995","15147.762603415329","15202.42444417789","15241.599878085617","15301.905646659263","15532.570424421603","15985.673968225294","16387.578549656057","17008.427325801917","16998.33873129591","17377.932635398476","17470.723466480908","17415.044440799917","17686.733844963568","17953.240301422156","18255.557178286515","18538.279391379572","18866.35165263187","19272.596867667573","19559.15581690727","19650.726082507234","19955.235024975376","20426.554565314847","20672.872830774602","21190.585624874635","21435.643125426253","21646.519913293785","21985.372477109097","22074.14342708468","22372.985681001624","22743.354879368642","22842.98014993423","23115.33069950178","24003.910104328832","24486.889361859674","25113.350561682288","25626.517728711646","25880.2824206881","26207.258726176206","26474.976944171085","--"
"INTL.63-2-WORL-TBPD.A","            Jet fuel (Mb/d)","","","","","","","","2108.319131598886","2087.3545642969043","2009.3216608634932","2039.5800943914658","2237.225166546674","2340.5624881363697","2495.8684861519073","3025.550580013721","3365.8334292827885","3546.233884961736","3627.774805906512","3486.118685260984","3530.0084287276054","3603.811233494976","3829.527068700104","3936.669892612028","4133.058510359528","4242.629268861669","4310.588517580391","4444.814022571895","4700.927137031372","4627.179651867957","4627.494773246414","4621.985428250385","4940.351225472202","5134.520944079832","5255.78122015665","5382.429136159798","5313.11427871392","5069.028878513556","5261.986775013112","5371.844662035307","5435.11450881811","5599.278005942684","5776.146861693009","6077.907241634932","6357.881237258284","6761.2372721606935","7040.41109106558","7184.6430757962535","--"
"INTL.64-2-WORL-TBPD.A","            Kerosene (Mb/d)","","","","","","","","2201.348255865","2210.499420628822","2175.2199455115892","2170.577222782082","2176.538099894672","2180.1059496013563","2208.0465314143266","1809.3043879114693","1761.9232318517913","1642.3250226025866","1616.4047346774685","1582.816244714854","1709.781319487678","1721.7220442543548","1747.1246166521378","1798.0611242827479","1854.8344985843319","1814.3649455423867","1767.5115806077836","1754.2885085818393","1866.9439624685137","1859.1431531521341","1729.4958196770303","1707.0829198841004","1615.8699829013106","1617.9354854777362","1483.8962234268158","1366.108463236876","1282.9833213148045","1192.3284440627722","1178.341781957082","1087.085265150061","1052.2357647669317","989.5585442230488","929.0559535735746","869.1046282617065","836.5470600760113","806.5689792056378","762.487598198957","731.304432836274","--"
"INTL.65-2-WORL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","","14263.85840415994","13781.447309249355","13602.73768242959","13603.189672363726","14080.566327287721","14432.874364242138","14857.985573182932","15270.92365645333","15606.772646601716","16110.514368321472","16341.36453718175","16689.751784005603","16899.90060691417","17064.07913669162","17238.276694470358","17899.890898164165","18500.69237777956","18864.00171057103","18975.19218212759","19604.74606543548","20234.971205258506","20855.65541409038","21024.014316123124","21682.42716466806","22772.497249861073","23401.850804694463","23874.343569185894","24458.285673180446","24837.635559045157","24431.766165651225","25474.76774610509","25990.923373122896","26411.83774133129","26999.35119618782","27410.609232292718","27986.638968296345","27642.993355859075","28161.980613213353","28326.990933307734","27938.202730694302","--"
"INTL.66-2-WORL-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","","16505.599310343234","15015.387162127685","14195.681015378506","13634.488027675205","13045.087563968284","12521.78699498141","12803.715462264916","12581.14019781694","12664.984866762037","12839.064536082165","12741.97326746051","12555.068392459683","11818.007129330332","11347.585725166065","11243.042827175519","11180.793671313075","10902.577903535252","11060.091935568691","11072.6723891783","10841.843842317434","10591.949607905639","10410.1302281876","10072.450151260546","10173.5395875732","10227.770537568385","10157.336459543385","10012.963438971596","9860.217548047978","9661.10727115919","8860.628328280894","8704.261833411265","8420.49802291333","8395.65420796411","7855.518792956701","7400.043975501965","7088.941877331767","7039.231764959981","6756.405308377626","6588.97776546268","6436.802427332664","--"
"INTL.67-2-WORL-TBPD.A","            Liquefied Petroleum Gases (Mb/d)","","","","","","","","2379.808414427329","1980.1984216040821","2058.4249097274246","2046.0142629613151","3464.1131202711517","3578.158457087384","3639.654114668322","3934.1586632489316","3959.6032530978314","4637.33668684378","4642.164728992965","4889.9327106535975","4736.278863892838","4831.928497106576","5061.959572623974","5225.327003896468","5482.295446157371","5625.83560756718","5563.43760045929","5592.280448361782","5931.076192643784","6011.872117001703","6267.313967382944","6308.39060384586","6510.399220349652","6549.308806165152","6730.358823221293","6848.606221621057","6797.7307869830875","6953.739464444174","7123.585163134932","7264.308734684151","7406.515932420137","7831.677491209502","8015.995493685383","8309.372531644301","8797.969140523332","9004.690381578477","9376.48058392634","9822.545799001959","--"
"INTL.68-2-WORL-TBPD.A","            Other petroleum liquids (Mb/d)","","","","","","","","8109.105307291836","10772.737909633617","10466.76444519889","10152.22750556474","9586.697081237333","9578.940449445754","9838.338036640247","10056.696121995441","10580.681837656935","10273.476352248514","10317.563748053553","10264.053005095606","11083.321681844393","10743.619446459825","11318.903530270822","11497.814751761713","12461.383915044265","12616.393695807856","12945.882257113319","13725.629313478827","14067.22651365359","14037.945148346453","14497.777717273473","15114.769142542202","16187.672301553837","16359.521520117132","16767.52971524682","17285.861705500756","16627.935884021263","16854.43164501918","17971.61293271643","18059.172493986873","18509.94855339695","18556.82080308818","19354.840360932383","19710.974030027744","20279.640693243444","21320.38687152038","21395.606658432844","21639.041234403507","--"
