id,name
0,"UN WPP - Interpolated total population by broad age group, region, subregion and country, annually for 1950-2100 (thousands)"
1,"UN WPP - Interpolated male population by broad age group, region, subregion and country, annually for 1950-2100 (thousands)"
2,"UN WPP - Interpolated demographic indicators by region, subregion and country, annually for 1950-2099"
3,"UN WPP - Total population (both sexes combined) by single age, region, subregion and country, annually for 1950-2100 (thousands)"
4,"UN WPP - Percentage of total population by broad age group, region, subregion and country, annually interpolated for 1950-2100"
5,"UN WPP - Interpolated female population by broad age group, region, subregion and country, annually for 1950-2100 (thousands)"
6,"UN WPP - Dependency ratios (total, child, old-age) for different age groups and for both sexes combined by region, subregion and country, annually interpolated for 1950-2100"
