country,year,value
Afghanistan,2000,54.98949
Afghanistan,2010,59.94055
Afghanistan,2015,61.65429
Afghanistan,2019,63.2099
Africa,2000,52.65365
Africa,2010,59.48694
Africa,2015,62.5606
Africa,2019,64.49229
Albania,2000,73.54528
Albania,2010,76.24688
Albania,2015,77.84428
Albania,2019,78.00018
Algeria,2000,72.21101
Algeria,2010,75.85488
Algeria,2015,76.54363
Algeria,2019,77.13415
Americas,2000,74.12141
Americas,2010,75.43713
Americas,2015,76.78436
Americas,2019,77.15873
Angola,2000,49.30265
Angola,2010,58.06943
Angola,2015,61.71907
Angola,2019,63.06044
Antigua and Barbuda,2000,74.56184
Antigua and Barbuda,2010,75.94979
Antigua and Barbuda,2015,76.13984
Antigua and Barbuda,2019,76.45393
Argentina,2000,74.08556
Argentina,2010,75.43737
Argentina,2015,76.16682
Argentina,2019,76.57514
Armenia,2000,71.88136
Armenia,2010,73.11896
Armenia,2015,74.51096
Armenia,2019,76.02519
Australia,2000,79.69334
Australia,2010,81.9043
Australia,2015,82.2783
Australia,2019,83.04064
Austria,2000,78.16925
Austria,2010,80.3856
Austria,2015,80.98208
Austria,2019,81.64519
Azerbaijan,2000,65.52002
Azerbaijan,2010,69.02677
Azerbaijan,2015,70.6707
Azerbaijan,2019,71.42894
Bahamas,2000,70.93668
Bahamas,2010,72.95849
Bahamas,2015,72.91566
Bahamas,2019,73.21226
Bahrain,2000,70.46838
Bahrain,2010,74.51688
Bahrain,2015,76.46371
Bahrain,2019,75.81459
Bangladesh,2000,65.58728
Bangladesh,2010,70.28825
Bangladesh,2015,73.58051
Bangladesh,2019,74.25471
Barbados,2000,74.49873
Barbados,2010,75.88476
Barbados,2015,76.21642
Barbados,2019,76.0344
Belarus,2000,68.84592
Belarus,2010,70.38769
Belarus,2015,73.81525
Belarus,2019,74.80977
Belgium,2000,77.66169
Belgium,2010,79.84602
Belgium,2015,80.71184
Belgium,2019,81.42305
Belize,2000,70.34421
Belize,2010,73.38513
Belize,2015,74.04993
Belize,2019,74.40823
Benin,2000,56.59007
Benin,2010,60.47139
Benin,2015,61.96257
Benin,2019,63.42606
Bhutan,2000,65.69579
Bhutan,2010,71.00534
Bhutan,2015,72.15268
Bhutan,2019,73.1091
Bolivia,2000,66.01998
Bolivia,2010,70.34061
Bolivia,2015,71.5186
Bolivia,2019,72.13765
Bosnia and Herzegovina,2000,75.41919
Bosnia and Herzegovina,2010,76.18808
Bosnia and Herzegovina,2015,76.31874
Bosnia and Herzegovina,2019,76.75007
Botswana,2000,45.58516
Botswana,2010,58.1373
Botswana,2015,60.92577
Botswana,2019,62.24785
Brazil,2000,71.46612
Brazil,2010,74.09258
Brazil,2015,75.13264
Brazil,2019,75.90331
Brunei,2000,72.20396
Brunei,2010,74.567
Brunei,2015,74.40452
Brunei,2019,74.32442
Bulgaria,2000,71.60985
Bulgaria,2010,73.64205
Bulgaria,2015,74.55482
Bulgaria,2019,75.07156
Burkina Faso,2000,51.64145
Burkina Faso,2010,58.59142
Burkina Faso,2015,60.91832
Burkina Faso,2019,62.7035
Burundi,2000,43.78423
Burundi,2010,58.59703
Burundi,2015,62.04675
Burundi,2019,63.83847
Cambodia,2000,58.68463
Cambodia,2010,67.21539
Cambodia,2015,69.17362
Cambodia,2019,70.12289
Cameroon,2000,52.82113
Cameroon,2010,56.58267
Cameroon,2015,59.11311
Cameroon,2019,62.35601
Canada,2000,79.09756
Canada,2010,81.3058
Canada,2015,81.75909
Canada,2019,82.23827
Cape Verde,2000,70.97066
Cape Verde,2010,74.12373
Cape Verde,2015,74.88204
Cape Verde,2019,74.03075
