year,snow_cover_north_america,location
1972,3392279.714,North America
1973,3298788.039,North America
1974,3301085.77,North America
1975,3392007.163,North America
1976,3317339.739,North America
1977,3247929.341,North America
1978,3637832.497,North America
1979,3354711.996,North America
1980,3182642.822,North America
1981,3178191.984,North America
1982,3378676.737,North America
1983,3294468.476,North America
1984,3163445.904,North America
1985,3584966.291,North America
1986,3323220.947,North America
1987,3031835.276,North America
1988,3108661.765,North America
1989,3186652.248,North America
1990,3028377.939,North America
1991,3163901.222,North America
1992,3216186.508,North America
1993,3209488.308,North America
1994,3117547.037,North America
1995,3215052.207,North America
1996,3361739.59,North America
1997,3384002.738,North America
1998,3017915.64,North America
1999,3076900.834,North America
2000,3255006.578,North America
2001,3232324.346,North America
2002,3335300.413,North America
2003,3281256.758,North America
2004,3310144.98,North America
2005,3120657.454,North America
2006,3089063.947,North America
2007,3202414.014,North America
2008,3274836.562,North America
2009,3254751.432,North America
2010,3189228.26,North America
2011,3240166.111,North America
2012,3046496.057,North America
2013,3370868.686,North America
2014,3307196.356,North America
2015,3103601.658,North America
2016,3173890.235,North America
2017,3299081.766,North America
2018,3453203.999,North America
2019,3277154.185,North America
2020,3253967.644,North America
