year,arctic_sea_ice_february,arctic_sea_ice_september,location
1979,16.18,7.05,World
1980,15.96,7.67,World
1981,15.6,7.14,World
1982,15.97,7.3,World
1983,16.01,7.39,World
1984,15.3,6.81,World
1985,15.47,6.7,World
1986,15.78,7.41,World
1987,16.05,7.28,World
1988,15.58,7.37,World
1989,15.5,7.01,World
1990,15.58,6.14,World
1991,15.25,6.47,World
1992,15.46,7.47,World
1993,15.69,6.4,World
1994,15.56,7.14,World
1995,15.23,6.08,World
1996,15.15,7.58,World
1997,15.44,6.69,World
1998,15.75,6.54,World
1999,15.31,6.12,World
2000,15.14,6.25,World
2001,15.21,6.73,World
2002,15.34,5.83,World
2003,15.19,6.12,World
2004,14.91,5.98,World
2005,14.37,5.5,World
2006,14.32,5.86,World
2007,14.51,4.27,World
2008,14.95,4.69,World
2009,14.81,5.26,World
2010,14.58,4.87,World
2011,14.36,4.56,World
2012,14.55,3.57,World
2013,14.72,5.21,World
2014,14.42,5.22,World
2015,14.4,4.62,World
2016,14.2,4.53,World
2017,14.12,4.82,World
2018,13.97,4.79,World
2019,14.39,4.36,World
2020,14.64,4.0,World
2021,14.39,4.95,World
2022,14.61,4.9,World
2023,14.18,,World
