date,location,monthly_sea_surface_temperature_anomaly,monthly_sea_surface_temperature_anomaly_lower_bound_95pct,monthly_sea_surface_temperature_anomaly_upper_bound_95pct
1850-01-15,World,-0.35138,-0.453,-0.2695
1850-02-15,World,-0.34437,-0.4475,-0.2615
1850-03-15,World,-0.58001,-0.678,-0.5005
1850-04-15,World,-0.34222,-0.439,-0.263
1850-05-15,World,-0.25093,-0.3375,-0.181
1850-06-15,World,-0.25486,-0.341,-0.1825
1850-07-15,World,-0.20818,-0.296,-0.136
1850-08-15,World,-0.31233,-0.3995,-0.242
1850-09-15,World,-0.34318,-0.4385,-0.2685
1850-10-15,World,-0.35998,-0.4645,-0.2785
1850-11-15,World,-0.13705,-0.2435,-0.0525
1850-12-15,World,-0.22955,-0.3315,-0.1475
1851-01-15,World,-0.27433,-0.374,-0.1955
1851-02-15,World,-0.29522,-0.3935,-0.214
1851-03-15,World,-0.25086,-0.35,-0.1705
1851-04-15,World,-0.42784,-0.524,-0.3495
1851-05-15,World,-0.28696,-0.377,-0.214
1851-06-15,World,-0.27375,-0.3645,-0.1965
1851-07-15,World,-0.17794,-0.268,-0.1025
1851-08-15,World,-0.239,-0.3225,-0.174
1851-09-15,World,-0.10052,-0.187,-0.0335
1851-10-15,World,-0.08082,-0.178,-0.005
1851-11-15,World,0.08083,-0.0235,0.1605
1851-12-15,World,0.00602,-0.0925,0.0845
1852-01-15,World,-0.31058,-0.406,-0.2285
1852-02-15,World,-0.43518,-0.5295,-0.354
1852-03-15,World,-0.35715,-0.451,-0.274
1852-04-15,World,-0.36138,-0.4535,-0.2835
1852-05-15,World,-0.2173,-0.306,-0.1405
1852-06-15,World,-0.04449,-0.1295,0.033
1852-07-15,World,0.03457,-0.05,0.1105
1852-08-15,World,-0.22614,-0.3105,-0.153
1852-09-15,World,-0.07795,-0.165,-0.0055
1852-10-15,World,-0.11411,-0.2105,-0.0365
1852-11-15,World,-0.0983,-0.197,-0.016
1852-12-15,World,0.00734,-0.086,0.0885
1853-01-15,World,-0.20432,-0.2925,-0.1285
1853-02-15,World,-0.18183,-0.2725,-0.103
1853-03-15,World,-0.0639,-0.1505,0.0125
1853-04-15,World,-0.21128,-0.2965,-0.1385
1853-05-15,World,-0.21797,-0.3015,-0.1465
1853-06-15,World,-0.13847,-0.2195,-0.0675
1853-07-15,World,-0.0932,-0.1745,-0.023
1853-08-15,World,-0.19805,-0.2765,-0.13
1853-09-15,World,-0.34993,-0.4265,-0.287
1853-10-15,World,-0.38368,-0.4625,-0.318
1853-11-15,World,-0.18185,-0.2645,-0.114
1853-12-15,World,-0.30726,-0.3875,-0.2415
1854-01-15,World,-0.22292,-0.3045,-0.1515
1854-02-15,World,-0.26708,-0.3505,-0.196
1854-03-15,World,-0.22377,-0.3075,-0.1515
1854-04-15,World,-0.26744,-0.349,-0.1965
1854-05-15,World,-0.26123,-0.3405,-0.1905
1854-06-15,World,-0.17915,-0.2555,-0.1095
1854-07-15,World,-0.33817,-0.4125,-0.274
1854-08-15,World,-0.21838,-0.294,-0.154
1854-09-15,World,-0.13339,-0.2105,-0.0695
1854-10-15,World,-0.28038,-0.3625,-0.2125
