date,monthly_co2_concentrations,yearly_co2_concentrations,location
1980-01-15,338.55,337.93,World
1980-02-15,339.27,338.22,World
1980-03-15,339.6,338.25,World
1980-04-15,339.99,338.37,World
1980-05-15,340.43,338.91,World
1980-06-15,339.99,339.2,World
1980-07-15,338.44,339.3,World
1980-08-15,337.21,339.49,World
1980-09-15,337.05,339.45,World
1980-10-15,337.82,339.16,World
1980-11-15,338.93,339.26,World
1980-12-15,339.64,339.4,World
1981-01-15,340.19,339.56,World
1981-02-15,340.75,339.7,World
1981-03-15,341.38,340.03,World
1981-04-15,341.68,340.06,World
1981-05-15,341.43,339.89,World
1981-06-15,340.62,339.84,World
1981-07-15,339.22,340.08,World
1981-08-15,338.08,340.36,World
1981-09-15,337.98,340.36,World
1981-10-15,339.07,340.42,World
1981-11-15,340.18,340.51,World
1981-12-15,340.75,340.52,World
1982-01-15,341.37,340.76,World
1982-02-15,341.95,340.89,World
1982-03-15,342.23,340.85,World
1982-04-15,342.52,340.9,World
1982-05-15,342.36,340.82,World
1982-06-15,341.49,340.72,World
1982-07-15,339.75,340.61,World
1982-08-15,338.11,340.4,World
1982-09-15,338.16,340.54,World
1982-10-15,339.62,340.96,World
1982-11-15,340.95,341.28,World
1982-12-15,341.77,341.53,World
1983-01-15,342.37,341.71,World
1983-02-15,342.74,341.71,World
1983-03-15,343.03,341.7,World
1983-04-15,343.51,341.93,World
1983-05-15,343.84,342.31,World
1983-06-15,343.5,342.7,World
1983-07-15,342.14,342.91,World
1983-08-15,340.63,342.86,World
1983-09-15,340.54,342.96,World
1983-10-15,341.75,343.15,World
1983-11-15,342.82,343.17,World
1983-12-15,343.49,343.27,World
1984-01-15,344.32,343.66,World
1984-02-15,344.82,343.82,World
1984-03-15,344.96,343.61,World
1984-04-15,345.19,343.56,World
1984-05-15,345.33,343.78,World
1984-06-15,344.57,343.8,World
1984-07-15,343.2,344.01,World
1984-08-15,342.21,344.5,World
1984-09-15,342.13,344.58,World
1984-10-15,342.99,344.37,World
1984-11-15,344.16,344.47,World
1984-12-15,345.01,344.72,World
1985-01-15,345.36,344.67,World
1985-02-15,345.81,344.78,World
1985-03-15,346.65,345.33,World
1985-04-15,346.94,345.34,World
1985-05-15,346.78,345.21,World
1985-06-15,346.27,345.48,World
1985-07-15,344.93,345.76,World
1985-08-15,343.42,345.73,World
1985-09-15,343.37,345.82,World
1985-10-15,344.65,346.04,World
1985-11-15,345.79,346.12,World
1985-12-15,346.55,346.25,World
1986-01-15,347.11,346.43,World
1986-02-15,347.33,346.34,World
1986-03-15,347.7,346.39,World
1986-04-15,348.22,346.61,World
1986-05-15,348.32,346.75,World
1986-06-15,347.75,346.98,World
1986-07-15,346.29,347.13,World
1986-08-15,344.91,347.21,World
1986-09-15,344.86,347.25,World
1986-10-15,346.03,347.4,World
1986-11-15,347.3,347.63,World
1986-12-15,347.76,347.46,World
1987-01-15,348.0,347.22,World
1987-02-15,348.55,347.46,World
1987-03-15,349.27,347.85,World
1987-04-15,349.96,348.28,World
1987-05-15,350.23,348.66,World
1987-06-15,349.47,348.8,World
1987-07-15,347.89,348.88,World
1987-08-15,346.65,349.03,World
1987-09-15,346.69,349.14,World
