location,land_ice_mass,ice_mass_change,date
Greenland,,-2709.687844,2013-08-31
Antarctica,,-1507.279595,2013-10-01
Greenland,,-2726.9843,2013-10-01
Antarctica,-1299.13,,2013-10-15
Greenland,-3357.41,,2013-10-15
Antarctica,,-1536.862701,2013-10-31
Greenland,,-2744.280756,2013-10-31
Antarctica,-1347.41,,2013-11-13
Greenland,-3357.09,,2013-11-13
Antarctica,,-1563.641229,2013-11-30
Greenland,,-2761.577212,2013-11-30
Antarctica,-1398.0,,2013-12-16
Greenland,-3346.03,,2013-12-16
Antarctica,,-1589.236365,2014-01-01
Greenland,,-2779.028239,2014-01-01
Antarctica,-1504.2,,2014-01-08
Greenland,-3330.83,,2014-01-08
Antarctica,,-1615.542403,2014-01-31
Greenland,,-2797.078069,2014-01-31
Antarctica,,-1640.405355,2014-03-02
Greenland,,-2815.127899,2014-03-02
Antarctica,-1615.97,,2014-03-14
Greenland,-3277.08,,2014-03-14
Antarctica,,-1662.236596,2014-04-02
Greenland,,-2833.177729,2014-04-02
Antarctica,-1535.28,,2014-04-16
Greenland,-3265.7,,2014-04-16
Antarctica,,-1681.703412,2014-05-02
Greenland,,-2851.227559,2014-05-02
Antarctica,-1441.75,,2014-05-15
Greenland,-3266.2,,2014-05-15
Antarctica,,-1699.066706,2014-06-01
Greenland,,-2869.277389,2014-06-01
Antarctica,-1484.85,,2014-06-13
Greenland,-3304.76,,2014-06-13
Antarctica,,-1715.66057,2014-07-02
Greenland,,-2887.327219,2014-07-02
Antarctica,,-1733.418176,2014-08-01
Greenland,,-2905.377048,2014-08-01
Antarctica,-1533.5,,2014-08-14
Greenland,-3588.66,,2014-08-14
Antarctica,,-1753.411902,2014-08-31
Greenland,,-2923.426878,2014-08-31
Antarctica,-1360.83,,2014-09-16
Greenland,-3625.93,,2014-09-16
Antarctica,,-1776.309795,2014-10-01
Greenland,,-2941.476708,2014-10-01
Antarctica,-1450.29,,2014-10-15
Greenland,-3610.43,,2014-10-15
Antarctica,,-1800.602709,2014-10-31
Greenland,,-2959.526538,2014-10-31
Antarctica,-1525.85,,2014-11-17
Greenland,-3605.96,,2014-11-17
Antarctica,,-1824.290089,2014-11-30
Greenland,,-2977.576368,2014-11-30
Antarctica,,-1850.923637,2015-01-01
Greenland,,-2996.27443,2015-01-01
Antarctica,-1827.36,,2015-01-22
Greenland,-3521.19,,2015-01-22
Antarctica,,-1878.955925,2015-01-31
Greenland,,-3014.652973,2015-01-31
Antarctica,-1903.51,,2015-02-13
Greenland,-3526.16,,2015-02-13
Antarctica,,-1908.795752,2015-03-02
Greenland,,-3033.031516,2015-03-02
Antarctica,-1873.22,,2015-03-14
Greenland,-3481.12,,2015-03-14
Antarctica,,-1938.295306,2015-04-02
Greenland,,-3049.32333,2015-04-02
Antarctica,-1851.66,,2015-04-16
Greenland,-3472.05,,2015-04-16
Antarctica,-1777.77,,2015-04-27
Greenland,-3469.94,,2015-04-27
Antarctica,,-1965.506626,2015-05-02
Greenland,,-3065.740471,2015-05-02
Antarctica,,-1987.127972,2015-06-01
Greenland,,-3082.157613,2015-06-01
Antarctica,,-2006.526625,2015-07-02
Greenland,,-3098.656026,2015-07-02
Antarctica,-1743.11,,2015-07-13
Greenland,-3655.34,,2015-07-13
Antarctica,,-2024.337057,2015-08-01
Greenland,,-3115.154438,2015-08-01
Antarctica,-1896.93,,2015-08-14
Greenland,-3791.52,,2015-08-14
Antarctica,,-2041.015874,2015-08-31
Greenland,,-3131.652851,2015-08-31
Antarctica,-1849.2,,2015-09-12
Greenland,-3826.58,,2015-09-12
Antarctica,,-2057.503924,2015-10-01
Greenland,,-3148.151264,2015-10-01
Antarctica,,-2075.362311,2015-10-31
Greenland,,-3164.649677,2015-10-31
Antarctica,,-2095.74774,2015-11-30
Greenland,,-3181.148089,2015-11-30
Antarctica,-1893.45,,2015-12-23
Greenland,-3769.68,,2015-12-23
Antarctica,,-2105.760447,2016-01-01
Greenland,,-3200.42629,2016-01-01
Antarctica,-1916.52,,2016-01-15
Greenland,-3715.2,,2016-01-15
Antarctica,,-2102.529507,2016-01-31
Greenland,,-3219.70449,2016-01-31
Antarctica,-1992.84,,2016-02-13
Greenland,-3737.06,,2016-02-13
Antarctica,,-2099.298568,2016-03-01
Greenland,,-3238.98269,2016-03-01
Antarctica,-1928.48,,2016-03-17
Greenland,-3735.75,,2016-03-17
Antarctica,,-2096.283554,2016-04-01
Greenland,,-3258.260891,2016-04-01
Antarctica,,-2093.26854,2016-05-01
Greenland,,-3277.539091,2016-05-01
Antarctica,-1790.89,,2016-05-18
Greenland,-3703.66,,2016-05-18
Antarctica,,-2090.253526,2016-05-31
Greenland,,-3296.817292,2016-05-31
Antarctica,-1774.67,,2016-06-16
Greenland,-3699.96,,2016-06-16
Antarctica,,-2087.238512,2016-07-01
Greenland,,-3316.095492,2016-07-01
Antarctica,-1654.52,,2016-07-15
Greenland,-3873.29,,2016-07-15
Antarctica,,-2101.496012,2016-07-31
Greenland,,-3338.545778,2016-07-31
Antarctica,-1600.82,,2016-08-21
Greenland,-4123.67,,2016-08-21
Antarctica,,-2115.753512,2016-08-30
Greenland,,-3360.996065,2016-08-30
Antarctica,,-2130.011012,2016-09-30
Greenland,,-3383.446351,2016-09-30
Antarctica,,-2144.268512,2016-10-30
Greenland,,-3405.896638,2016-10-30
Antarctica,-1671.06,,2016-11-27
Greenland,-3999.74,,2016-11-27
Antarctica,,-2158.526012,2016-11-29
Greenland,,-3428.346924,2016-11-29
Antarctica,-1585.09,,2016-12-22
Greenland,-4067.39,,2016-12-22
Antarctica,,-2172.783512,2017-01-01
Greenland,,-3435.395506,2017-01-01
Antarctica,-1604.8,,2017-01-22
Greenland,-4014.72,,2017-01-22
Antarctica,,-2187.041012,2017-01-31
Greenland,,-3442.444089,2017-01-31
Antarctica,,-2201.298512,2017-03-02
Greenland,,-3449.492671,2017-03-02
Antarctica,-1929.12,-2215.556012,2017-04-02
Greenland,-4005.26,-3456.541253,2017-04-02
Antarctica,-1849.02,,2017-04-23
Greenland,-3971.53,,2017-04-23
Antarctica,,-2229.813512,2017-05-02
Greenland,,-3463.589836,2017-05-02
Antarctica,-1814.26,,2017-05-12
Greenland,-3965.31,,2017-05-12
Antarctica,,-2244.071012,2017-06-01
Greenland,,-3470.638418,2017-06-01
Antarctica,-1812.56,,2017-06-10
Greenland,-3996.01,,2017-06-10
Greenland,,-3477.687,2017-07-02
Greenland,,-3484.735583,2017-08-01
Greenland,,-3491.784165,2017-08-31
Greenland,,-3498.832747,2017-10-01
Greenland,,-3505.88133,2017-10-31
Greenland,,-3512.929912,2017-11-30
Greenland,,-3519.216944,2018-01-01
Greenland,,-3531.200277,2018-01-31
Greenland,,-3543.18361,2018-03-02
Greenland,,-3555.166944,2018-04-02
Greenland,,-3567.150277,2018-05-02
Greenland,,-3579.13361,2018-06-01
Antarctica,-1982.53,,2018-06-13
Greenland,-4044.73,,2018-06-13
Greenland,,-3591.116944,2018-07-02
Antarctica,-1997.66,,2018-07-09
Greenland,-4068.52,,2018-07-09
Greenland,,-3603.100277,2018-08-01
Greenland,,-3615.08361,2018-08-31
Greenland,,-3627.066944,2018-10-01
Antarctica,-2256.76,,2018-10-30
Greenland,-4208.21,,2018-10-30
Greenland,,-3639.050277,2018-10-31
Antarctica,-2221.66,,2018-11-13
Greenland,-4174.1,,2018-11-13
Greenland,,-3651.03361,2018-11-30
Antarctica,-2274.75,,2018-12-16
Greenland,-4185.13,,2018-12-16
Antarctica,-2365.49,,2019-01-15
Greenland,-4189.73,,2019-01-15
Antarctica,-2408.64,,2019-02-13
Greenland,-4215.57,,2019-02-13
Antarctica,-2312.66,,2019-03-14
Greenland,-4236.37,,2019-03-14
Antarctica,-2132.21,,2019-04-16
Greenland,-4220.73,,2019-04-16
Antarctica,-2184.59,,2019-05-15
Greenland,-4202.47,,2019-05-15
Antarctica,-2276.78,,2019-06-13
Greenland,-4258.24,,2019-06-13
Antarctica,-2181.26,,2019-07-16
Greenland,-4460.52,,2019-07-16
Antarctica,-2226.83,,2019-08-14
Greenland,-4689.86,,2019-08-14
Antarctica,-2102.5,,2019-09-16
Greenland,-4782.31,,2019-09-16
Antarctica,-2285.44,,2019-10-15
Greenland,-4766.75,,2019-10-15
Antarctica,-2346.33,,2019-11-13
Greenland,-4724.37,,2019-11-13
Antarctica,-2392.61,,2019-12-16
Greenland,-4728.73,,2019-12-16
Antarctica,-2701.78,,2020-01-15
Greenland,-4766.34,,2020-01-15
Antarctica,-2807.34,,2020-02-13
Greenland,-4720.7,,2020-02-13
Antarctica,-2627.62,,2020-03-17
Greenland,-4755.45,,2020-03-17
Antarctica,-2535.11,,2020-04-15
Greenland,-4745.64,,2020-04-15
Antarctica,-2456.72,,2020-05-14
Greenland,-4718.49,,2020-05-14
Antarctica,-2424.33,,2020-06-16
Greenland,-4755.85,,2020-06-16
Antarctica,-2357.15,,2020-07-15
Greenland,-4909.8,,2020-07-15
Antarctica,-2249.69,,2020-08-13
Greenland,-4991.28,,2020-08-13
Antarctica,-2437.63,,2020-09-15
Greenland,-4996.08,,2020-09-15
Antarctica,-2537.64,,2020-10-14
Greenland,-4928.75,,2020-10-14
Antarctica,-2587.65,,2020-11-12
Greenland,-4922.26,,2020-11-12
Antarctica,-2746.0,,2020-12-15
Greenland,-4899.46,,2020-12-15
