year,2000m_ocean_heat_content_iap,2000m_ocean_heat_content_noaa,2000m_ocean_heat_content_mrijma,location
1955,-10.50603333,,-14.03266667,World
1956,-10.05403333,,-11.86266667,World
1957,-10.47603333,-10.16926667,-13.63266667,World
1958,-4.879033333,-8.925266667,-9.962666667,World
1959,-7.605033333,-9.579266667,-11.78266667,World
1960,-6.259033333,-6.345266667,-9.022666667,World
1961,-4.630033333,-5.628266667,-7.522666667,World
1962,-2.816033333,-4.987266667,-5.652666667,World
1963,-3.732033333,-6.563266667,-6.262666667,World
1964,-6.877033333,-7.387266667,-6.592666667,World
1965,-6.220033333,-8.084266667,-6.522666667,World
1966,-4.254033333,-9.988266667,-5.542666667,World
1967,-4.433033333,-9.925266667,-8.222666667,World
1968,-6.410033333,-9.857266667,-10.01266667,World
1969,-6.618033333,-8.486266667,-9.062666667,World
1970,-7.661033333,-7.704266667,-7.602666667,World
1971,-5.336033333,-6.493266667,-5.202666667,World
1972,-5.146033333,-5.636266667,-5.832666667,World
1973,-4.962033333,-4.953266667,-5.362666667,World
1974,-2.187033333,-4.220266667,-5.862666667,World
1975,-1.981033333,-2.264266667,-3.162666667,World
1976,-3.443033333,-2.311266667,-4.222666667,World
1977,-2.492033333,-2.009266667,-4.292666667,World
1978,-1.507033333,-0.810266667,-4.182666667,World
1979,-2.840033333,-0.798266667,-3.862666667,World
1980,-2.394033333,-2.042266667,-0.542666667,World
1981,-2.382033333,-2.249266667,0.197333333,World
1982,-2.758033333,-1.939266667,-1.982666667,World
1983,-3.656033333,-1.840266667,-2.832666667,World
1984,-4.851033333,-1.076266667,-1.552666667,World
1985,-3.311033333,-0.385266667,-0.092666667,World
1986,-0.111033333,-0.148266667,0.127333333,World
1987,0.025966667,0.156733333,-1.742666667,World
1988,-0.412033333,-0.022266667,0.717333333,World
1989,-1.205033333,-0.454266667,0.967333333,World
1990,-1.465033333,-0.349266667,0.947333333,World
1991,1.983966667,2.169733333,2.037333333,World
1992,2.842966667,3.032733333,4.677333333,World
1993,3.526966667,2.973733333,4.917333333,World
1994,4.291966667,2.542733333,5.037333333,World
1995,3.310966667,3.676733333,2.117333333,World
1996,6.237966667,4.166733333,5.097333333,World
1997,6.033966667,4.129733333,5.827333333,World
1998,7.815966667,5.366733333,4.357333333,World
1999,9.056966667,5.367733333,7.567333333,World
2000,7.311966667,6.419733333,6.137333333,World
2001,8.307966667,7.417733333,8.187333333,World
2002,11.04596667,8.614733333,11.18733333,World
2003,13.55196667,9.306733333,14.34733333,World
2004,13.69396667,10.93973333,13.70733333,World
2005,14.80496667,11.12973333,14.10733333,World
2006,17.05796667,11.55673333,15.49733333,World
2007,15.58896667,11.79773333,13.67733333,World
2008,16.98396667,13.23573333,15.45733333,World
2009,18.53996667,13.72073333,16.87733333,World
2010,18.15896667,14.36273333,17.03733333,World
2011,19.13096667,15.81473333,18.45733333,World
2012,20.41496667,16.69673333,18.71733333,World
2013,21.73196667,18.13773333,21.57733333,World
2014,22.45396667,19.13473333,22.25733333,World
2015,24.63196667,20.20773333,24.18733333,World
2016,24.05496667,21.01273333,23.12733333,World
2017,26.11096667,21.28073333,26.14733333,World
2018,25.42696667,22.42773333,26.82733333,World
2019,27.44596667,,28.77733333,World
2020,29.42096667,,29.27733333,World
