location,year,yearly_co2_concentrations
World,1750,278.0
World,1755,278.0
World,1760,278.0
World,1765,278.0
World,1770,278.6
World,1775,279.3
World,1780,280.1
World,1785,280.8
World,1790,281.6
World,1795,282.3
World,1800,282.9
World,1805,283.4
World,1810,283.8
World,1815,284.0
World,1820,284.2
World,1825,284.3
World,1830,284.4
World,1835,283.8
World,1840,283.4
World,1845,283.9
World,1850,284.7
World,1855,285.4
World,1860,286.2
World,1865,286.9
World,1870,287.5
World,1875,288.7
World,1880,290.7
World,1885,293.0
World,1890,294.2
World,1895,294.8
World,1900,295.8
World,1905,297.6
World,1910,299.7
World,1915,301.4
World,1920,303.0
World,1925,305.0
World,1930,307.2
World,1935,309.4
World,1940,310.4
World,1945,310.1
World,1950,310.7
World,1955,313.0
World,1960,316.9
World,1965,320.0
World,1970,325.0
World,1975,331.3
World,1978,334.6
World,1979,336.74
World,1980,338.7
World,1981,339.74
World,1982,340.92
World,1983,342.47
World,1984,344.13
World,1985,345.47
World,1986,346.89
World,1987,348.46
World,1988,350.93
World,1989,352.57
World,1990,353.72
World,1991,355.15
World,1992,355.9
World,1993,356.63
World,1994,358.2
World,1995,360.23
World,1996,362.01
World,1997,363.17
World,1998,365.69
World,1999,367.81
World,2000,368.92
World,2001,370.38
World,2002,372.49
World,2003,375.08
World,2004,376.61
World,2005,378.97
World,2006,381.17
World,2007,382.89
World,2008,384.98
World,2009,386.42
World,2010,388.71
World,2011,390.57
World,2012,392.64
World,2013,395.49
World,2014,397.45
World,2015,399.58
World,2016,402.87
World,2017,405.19
World,2018,407.58
