location,year,yearly_co2_concentrations
World,-803720,207.28544010704545
World,-803183,202.2268391289192
World,-802574,204.86193803431442
World,-802061,207.49864546768262
World,-801976,202.92172318213744
World,-801760,202.64710592439062
World,-800923,198.6572141815183
World,-799287,198.68361088983107
World,-796732,200.48945586551156
World,-795430,197.90878630711256
World,-794904,198.79240364499174
World,-793738,204.61750641580798
World,-793173,208.7893628439667
World,-791904,218.39264166858874
World,-791570,213.35775959891657
World,-790668,214.45035139887406
World,-790082,224.68576227610308
World,-789108,230.55013467896873
World,-788690,227.37775029010015
World,-788004,235.48574308581584
World,-787545,238.64095357456617
World,-786743,257.0184549055622
World,-786530,257.19893666253785
World,-785855,265.99732874144445
World,-785407,269.3559592885488
World,-784614,264.34502908314164
World,-784241,262.229808343788
World,-783570,259.66462384723866
World,-783085,255.84554031289508
World,-782313,260.91815012089876
World,-781250,255.01817636257545
World,-780779,257.43630369580933
World,-779938,251.50919000069746
World,-779614,257.21033919112165
World,-778770,252.52125685420285
World,-778240,254.43210628699566
World,-777419,254.68956208931286
World,-777109,254.92704442683268
World,-776284,252.45553887568798
World,-775733,247.30321033010094
World,-774834,248.92347258064217
World,-774383,245.31805526765157
World,-773589,241.7410824819303
World,-773010,238.38507756925242
World,-772095,239.23120240300534
World,-771735,237.7794476149145
World,-771301,246.03058180018394
World,-771047,243.85475201990903
World,-770789,246.49456803753532
World,-770526,243.88525238228885
World,-770226,239.7120056138232
World,-769864,234.24054819146698
World,-769570,236.31890028889168
World,-769072,229.56423626852964
World,-768650,230.62690342109488
World,-767702,225.86635666622993
World,-767112,221.64093650394082
World,-766168,223.81796491327836
World,-765798,224.86466602091244
World,-764860,230.6229188352788
World,-764240,232.11545547204435
World,-763902,229.40748753827657
World,-763638,233.66090567198847
World,-763233,222.92608638468548
World,-762728,223.89295015434178
World,-761822,219.9481576823577
World,-761153,213.99980285899034
World,-760217,214.6940079861074
World,-759915,216.64080861985224
World,-758991,222.7085788690187
World,-758567,225.61582539678184
World,-758159,225.37366760867587
World,-757929,223.02365546155636
World,-757613,226.94301148021165
World,-757187,222.72008593220357
World,-756413,218.3519526756556
World,-755836,213.61139014973043
World,-754902,209.44507971285617
World,-754617,208.10367110123954
World,-753638,203.2996954570858
World,-753166,199.04605364141202
World,-751986,203.90279658442103
World,-751540,195.43388919380428
World,-750617,197.49572596202373
World,-750025,193.54717137122026
World,-749087,191.29603626015793
World,-748757,192.07592238803636
World,-747865,190.17483689562673
World,-747314,188.67887489361217
World,-746388,187.54375693792414
World,-745991,187.95228432826852
World,-745228,187.91988159174213
World,-744671,190.24154927677864
World,-743722,187.29232436787936
World,-742574,188.96881973948896
World,-742010,188.17959977716015
World,-741113,187.3271928405565
World,-740696,188.64664196412704
World,-739925,189.1426274551468
World,-739381,184.76708470912362
World,-738512,183.39253921478078
World,-738157,185.40236646163788
World,-737226,185.6096600660596
World,-736632,191.7441063146352
World,-735711,204.51910387695122
World,-735321,206.92018121563933
