date,location,arctic_sea_ice_osisaf
1979-01-16,Arctic,14029035.0
1979-02-16,Arctic,14603815.0
1979-03-16,Arctic,14700348.0
1979-04-16,Arctic,14001157.0
1979-05-16,Arctic,12419927.0
1979-06-16,Arctic,10343658.0
1979-07-16,Arctic,7880899.0
1979-08-16,Arctic,6317055.0
1979-09-16,Arctic,6326210.0
1979-10-16,Arctic,7838349.0
1979-11-16,Arctic,9984953.0
1979-12-16,Arctic,12103841.0
1980-01-16,Arctic,13410131.0
1980-02-16,Arctic,14433888.0
1980-03-16,Arctic,14465930.0
1980-04-16,Arctic,13904450.0
1980-05-16,Arctic,12256942.0
1980-06-16,Arctic,10110526.0
1980-07-16,Arctic,8140746.0
1980-08-16,Arctic,6329219.0
1980-09-16,Arctic,6511879.0
1980-10-16,Arctic,8118864.0
1980-11-16,Arctic,10167739.0
1980-12-16,Arctic,12224182.0
1981-01-16,Arctic,13379221.0
1981-02-16,Arctic,13965962.0
1981-03-16,Arctic,14135457.0
1981-04-16,Arctic,13534716.0
1981-05-16,Arctic,12202290.0
1981-06-16,Arctic,10164639.0
1981-07-16,Arctic,7834463.0
1981-08-16,Arctic,5850381.0
1981-09-16,Arctic,6133274.0
1981-10-16,Arctic,7937188.0
1981-11-16,Arctic,9841265.0
1981-12-16,Arctic,12024842.0
1982-01-16,Arctic,13717111.0
1982-02-16,Arctic,14492402.0
1982-03-16,Arctic,14541238.0
1982-04-16,Arctic,13954498.0
1982-05-16,Arctic,12435955.0
1982-06-16,Arctic,10531137.0
1982-07-16,Arctic,8303106.0
1982-08-16,Arctic,6305036.0
1982-09-16,Arctic,5928861.0
1982-10-16,Arctic,8189854.0
1982-11-16,Arctic,10422266.0
1982-12-16,Arctic,12255118.0
1983-01-16,Arctic,13420159.0
1983-02-16,Arctic,14238753.0
1983-03-16,Arctic,14353672.0
1983-04-16,Arctic,13464012.0
1983-05-16,Arctic,12078371.0
1983-06-16,Arctic,10353220.0
1983-07-16,Arctic,8231720.0
1983-08-16,Arctic,6300154.0
1983-09-16,Arctic,6281437.0
1983-10-16,Arctic,8226727.0
1983-11-16,Arctic,10257440.0
1983-12-16,Arctic,12014713.0
1984-01-16,Arctic,13007194.0
1984-02-16,Arctic,13733533.0
1984-03-16,Arctic,14014973.0
1984-04-16,Arctic,13429706.0
1984-05-16,Arctic,12082073.0
1984-06-16,Arctic,10174779.0
1984-07-16,Arctic,7720828.0
1984-08-16,Arctic,6041214.0
1984-09-16,Arctic,5723385.0
1984-10-16,Arctic,7673372.0
1984-11-16,Arctic,9599286.0
1984-12-16,Arctic,11745795.0
1985-01-16,Arctic,13190187.0
1985-02-16,Arctic,13916728.0
1985-03-16,Arctic,14300678.0
1985-04-16,Arctic,13834948.0
1985-05-16,Arctic,12386229.0
1985-06-16,Arctic,9896956.0
1985-07-16,Arctic,7680887.0
1985-08-16,Arctic,5823174.0
1985-09-16,Arctic,6049141.0
1985-10-16,Arctic,7778173.0
1985-11-16,Arctic,9869244.0
1985-12-16,Arctic,11889134.0
1986-01-16,Arctic,13393860.0
1986-02-16,Arctic,14184983.0
1986-03-16,Arctic,14297169.0
1986-04-16,Arctic,
1986-05-16,Arctic,
1986-06-16,Arctic,
1986-07-16,Arctic,8148968.0
1986-08-16,Arctic,6264890.0
1986-09-16,Arctic,6594264.0
