Report generated on: 03-01-2022 09:33:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","crude oil including lease condensate reserves (billion b)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.57-6-WORL-BB.A","    World","643.1245","650.282712","668.09135","666.096406","668.0876","699.2124","699.83806","699.0487","888.6104","907.118751","1001.501623","1000.047472","933.447448","940.315774","942.512702","944.068837","951.565234","1019.822506","1021.415751","1034.088765","1018.175308","1029.604472","1033.361564","1214.736942","1266.518673","1278.847752","1289.631634","1320.250415","1328.878077","1336.84432","1357.086395","1475.37497","1523.762835","1644.931109","1651.828296","1659.327022","1651.96714","1647.120994","1662.750647","1659.197906","1661.905712","NA"
"INTL.57-6-AFG-BB.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-ALB-BB.A","        Albania","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.165","0.19813","0.19813","0.19914","0.19914","0.19914","0.19914","0.19914","0.1724","0.168332","0.168332","0.168332","0.168332","0.168332","0.168332","0.15","0.15"
"INTL.57-6-DZA-BB.A","        Algeria","8.44","8.2","8.08","9.44","9.22","9","8.82","8.8","8.5","8.4","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","11.314","11.8","11.35","12.27","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2","12.2"
"INTL.57-6-ASM-BB.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-AGO-BB.A","        Angola","1.2","1.2","1.45","1.635","1.7","1.8","2","1.1494","1.149","2.024","2.024","2.074","1.818173","1.5","1.5","5.412212","5.412212","5.412212","5.412","5.412","5.412","5.412","5.412","5.412","5.412","5.412","5.412","8","9.035","9.04","9.5","9.5","9.5","10.47","9.06","9.011","8.423","8.273","9.523","8.384","8.16","7.783"
"INTL.57-6-ATA-BB.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-ATG-BB.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-ARG-BB.A","        Argentina","2.4","2.457","2.65","2.59","2.4287","2.266","2.3","2.27","2.27","2.268","2.2799","2.28","1.569987","1.569987","1.569987","2.216787","2.225895","2.386366","2.5882","2.621178","2.753416","3.071195","2.9737","2.87868","2.8205","2.6745","2.32045","2.468","2.58675","2.616","2.5203","2.50468","2.50468","2.805244","2.82","2.354204","2.379702","2.184554","2.162207","2.016761","2.388841","2.482704"
"INTL.57-6-ARM-BB.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-ABW-BB.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.57-6-AUS-BB.A","        Australia","2.13","2.36","1.709","1.622077","1.586","1.4309","1.449","1.7128","1.69196","1.673089","1.6765","1.566163","1.5237","1.7679","1.614594","1.61472","1.56009","1.80018","1.80018","2.895","2.895","2.895","3.5","3.5","3.5","1.491","1.437","1.59179","1.5","1.5","3.318","3.318","1.42566","1.43325","1.43325","1.193","1.193","1.821","2.446","2.446","2.446","2.446"
"INTL.57-6-AUT-BB.A","        Austria","0.1414","0.13","0.134","0.1282","0.122","0.1185","0.11","0.0763","0.105","0.1","0.065997","0.081443","0.084984","0.0932","0.09473","0.1008","0.1008","0.076486","0.09","0.08712","0.08568","0.08568","0.08568","0.08568","0.062","0.062","0.062","0.05","0.05","0.05","0.05","0.05","0.05","0.0467","0.0485","0.0475","0.0454","0.043","0.0412","0.038","0.037","0.0352"
"INTL.57-6-AZE-BB.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","NA","NA","1.178","1.178","1.178","1.178","1.178","1.178","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7"
