,Area Code,Area,Item Code,Item,ISO Currency Code,Currency,Year Code,Year,Unit,Flag
0,2,Afghanistan,5540.0,Standard local currency units per USD,AFN,Afghani,1970.0,1970.0,,X
1,3,Albania,,,ALL,Lek,1971.0,1971.0,,
2,4,Algeria,,,DZD,Algerian Dinar,1972.0,1972.0,,
3,6,Andorra,,,EUR,Euro,1973.0,1973.0,,
4,7,Angola,,,AOA,Kwanza,1974.0,1974.0,,
5,258,Anguilla,,,XCD,East Caribbean Dollar,1975.0,1975.0,,
6,8,Antigua and Barbuda,,,ARS,Argentine Peso,1976.0,1976.0,,
7,9,Argentina,,,AMD,Armenian Dram,1977.0,1977.0,,
8,1,Armenia,,,AWG,Aruban Florin,1978.0,1978.0,,
9,22,Aruba,,,AUD,Australian Dollar,1979.0,1979.0,,
10,10,Australia,,,AZN,Azerbaijanian Manat,1980.0,1980.0,,
11,11,Austria,,,BSD,Bahamian Dollar,1981.0,1981.0,,
12,52,Azerbaijan,,,BHD,Bahraini Dinar,1982.0,1982.0,,
13,12,Bahamas,,,BDT,Taka,1983.0,1983.0,,
14,13,Bahrain,,,BBD,Barbados Dollar,1984.0,1984.0,,
15,16,Bangladesh,,,BYR,Belarusian Ruble,1985.0,1985.0,,
16,14,Barbados,,,BZD,Belize Dollar,1986.0,1986.0,,
17,57,Belarus,,,XOF,CFA Franc BCEAO,1987.0,1987.0,,
18,255,Belgium,,,BMD,Bermudian Dollar,1988.0,1988.0,,
19,23,Belize,,,BTN,Ngultrum,1989.0,1989.0,,
20,53,Benin,,,BOB,Boliviano,1990.0,1990.0,,
21,17,Bermuda,,,BAM,Convertible Mark,1991.0,1991.0,,
22,18,Bhutan,,,BWP,Pula,1992.0,1992.0,,
23,19,Bolivia (Plurinational State of),,,BRL,Brazilian Real,1993.0,1993.0,,
24,80,Bosnia and Herzegovina,,,USD,US Dollar,1994.0,1994.0,,
25,20,Botswana,,,BND,Brunei Dollar,1995.0,1995.0,,
26,21,Brazil,,,BGN,Bulgarian Lev,1996.0,1996.0,,
27,239,British Virgin Islands,,,BIF,Burundi Franc,1997.0,1997.0,,
28,26,Brunei Darussalam,,,CVE,Cabo Verde Escudo,1998.0,1998.0,,
29,27,Bulgaria,,,KHR,Riel,1999.0,1999.0,,
30,233,Burkina Faso,,,XAF,CFA Franc BEAC,2000.0,2000.0,,
31,29,Burundi,,,CAD,Canadian Dollar,2001.0,2001.0,,
32,35,Cabo Verde,,,KYD,Cayman Islands Dollar,2002.0,2002.0,,
33,115,Cambodia,,,CLP,Chilean Peso,2003.0,2003.0,,
34,32,Cameroon,,,HKD,Hong Kong Dollar,2004.0,2004.0,,
35,33,Canada,,,MOP,Pataca,2005.0,2005.0,,
36,36,Cayman Islands,,,CNY,Yuan Renminbi,2006.0,2006.0,,
37,37,Central African Republic,,,COP,Colombian Peso,2007.0,2007.0,,
38,39,Chad,,,KMF,Comoro Franc,2008.0,2008.0,,
39,40,Chile,,,NZD,New Zealand Dollar,2009.0,2009.0,,
40,96,"China, Hong Kong SAR",,,CRC,Costa Rican Colon,2010.0,2010.0,,
41,128,"China, Macao SAR",,,HRK,Kuna,2011.0,2011.0,,
42,41,"China, mainland",,,CUP,Cuban Peso,2012.0,2012.0,,
43,44,Colombia,,,ANG,Netherlands Antillean Guilder,2013.0,2013.0,,
44,45,Comoros,,,CZK,Czech Koruna,2014.0,2014.0,,
45,46,Congo,,,CSK,Koruna,2015.0,2015.0,,
46,47,Cook Islands,,,KPW,North Korean Won,2016.0,2016.0,,
47,48,Costa Rica,,,CDF,Congolese Franc,2017.0,2017.0,,
48,107,Côte d'Ivoire,,,DKK,Danish Krone,2018.0,2018.0,,
49,98,Croatia,,,DJF,Djibouti Franc,,,,
