Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
2.0,Afghanistan,231,Almonds shelled,5610.0,Import Quantity,2014.0,2014.0,tonnes,R
3.0,Albania,711,"Anise, badian, fennel, coriander",5622.0,Import Value,2015.0,2015.0,1000 US$,
4.0,Algeria,515,Apples,5910.0,Export Quantity,2016.0,2016.0,,*
5.0,American Samoa,526,Apricots,5922.0,Export Value,1961.0,1961.0,,F
7.0,Angola,527,"Apricots, dry",,,1962.0,1962.0,,M
8.0,Antigua and Barbuda,366,Artichokes,,,1963.0,1963.0,,Im
9.0,Argentina,367,Asparagus,,,1964.0,1964.0,,A
1.0,Armenia,572,Avocados,,,1965.0,1965.0,,
22.0,Aruba,1039,Bacon and ham,,,1966.0,1966.0,,
10.0,Australia,486,Bananas,,,1967.0,1967.0,,
11.0,Austria,44,Barley,,,1968.0,1968.0,,
52.0,Azerbaijan,176,"Beans, dry",,,1969.0,1969.0,,
12.0,Bahamas,414,"Beans, green",,,1970.0,1970.0,,
13.0,Bahrain,51,Beer of barley,,,1971.0,1971.0,,
16.0,Bangladesh,1183,Beeswax,,,1972.0,1972.0,,
14.0,Barbados,169,Beet pulp,,,1973.0,1973.0,,
57.0,Belarus,634,"Beverages, distilled alcoholic",,,1974.0,1974.0,,
255.0,Belgium,633,"Beverages, non alcoholic",,,1975.0,1975.0,,
15.0,Belgium-Luxembourg,59,"Bran, maize",,,1976.0,1976.0,,
23.0,Belize,85,"Bran, sorghum",,,1977.0,1977.0,,
53.0,Benin,17,"Bran, wheat",,,1978.0,1978.0,,
17.0,Bermuda,229,"Brazil nuts, shelled",,,1979.0,1979.0,,
18.0,Bhutan,20,Bread,,,1980.0,1980.0,,
19.0,Bolivia (Plurinational State of),181,"Broad beans, horse beans, dry",,,1981.0,1981.0,,
80.0,Bosnia and Herzegovina,89,Buckwheat,,,1982.0,1982.0,,
20.0,Botswana,886,"Butter, cow milk",,,1983.0,1983.0,,
21.0,Brazil,893,"Buttermilk, curdled, acidified milk",,,1984.0,1984.0,,
239.0,British Virgin Islands,358,Cabbages and other brassicas,,,1985.0,1985.0,,
26.0,Brunei Darussalam,253,"Cake, copra",,,1986.0,1986.0,,
27.0,Bulgaria,332,"Cake, cottonseed",,,1987.0,1987.0,,
233.0,Burkina Faso,245,"Cake, groundnuts",,,1988.0,1988.0,,
29.0,Burundi,335,"Cake, linseed",,,1989.0,1989.0,,
35.0,Cabo Verde,272,"Cake, rapeseed",,,1990.0,1990.0,,
115.0,Cambodia,238,"Cake, soybeans",,,1991.0,1991.0,,
32.0,Cameroon,269,"Cake, sunflower",,,1992.0,1992.0,,
33.0,Canada,426,Carrots and turnips,,,1993.0,1993.0,,
36.0,Cayman Islands,230,"Cashew nuts, shelled",,,1994.0,1994.0,,
37.0,Central African Republic,217,"Cashew nuts, with shell",,,1995.0,1995.0,,
39.0,Chad,128,Cassava dried,,,1996.0,1996.0,,
40.0,Chile,393,Cauliflowers and broccoli,,,1997.0,1997.0,,
351.0,China,113,"Cereal preparations, nes",,,1998.0,1998.0,,
96.0,"China, Hong Kong SAR",41,"Cereals, breakfast",,,1999.0,1999.0,,
128.0,"China, Macao SAR",907,"Cheese, processed",,,2000.0,2000.0,,
41.0,"China, mainland",901,"Cheese, whole cow milk",,,2001.0,2001.0,,
214.0,"China, Taiwan Province of",531,Cherries,,,2002.0,2002.0,,
44.0,Colombia,530,"Cherries, sour",,,2003.0,2003.0,,
45.0,Comoros,220,Chestnut,,,2004.0,2004.0,,
46.0,Congo,191,Chick peas,,,2005.0,2005.0,,
47.0,Cook Islands,689,"Chillies and peppers, dry",,,2006.0,2006.0,,
48.0,Costa Rica,401,"Chillies and peppers, green",,,2007.0,2007.0,,
107.0,Côte d'Ivoire,666,Chocolate products nes,,,2008.0,2008.0,,
98.0,Croatia,517,Cider etc,,,2009.0,2009.0,,
49.0,Cuba,828,Cigarettes,,,2010.0,2010.0,,
50.0,Cyprus,829,"Cigars, cheroots",,,2011.0,2011.0,,
167.0,Czechia,693,Cinnamon (canella),,,2012.0,2012.0,,
51.0,Czechoslovakia,698,Cloves,,,2013.0,2013.0,,
116.0,Democratic People's Republic of Korea,661,"Cocoa, beans",,,,,,
250.0,Democratic Republic of the Congo,664,"Cocoa, butter",,,,,,
54.0,Denmark,665,"Cocoa, powder & cake",,,,,,
72.0,Djibouti,249,Coconuts,,,,,,
55.0,Dominica,250,"Coconuts, desiccated",,,,,,
56.0,Dominican Republic,1187,"Cocoons, unreelable & waste",,,,,,
58.0,Ecuador,659,"Coffee, extracts",,,,,,
59.0,Egypt,656,"Coffee, green",,,,,,
60.0,El Salvador,660,"Coffee, husks and skins",,,,,,
61.0,Equatorial Guinea,657,"Coffee, roasted",,,,,,
178.0,Eritrea,658,"Coffee, substitutes containing coffee",,,,,,
63.0,Estonia,251,Copra,,,,,,
209.0,Eswatini,767,Cotton lint,,,,,,
238.0,Ethiopia,769,Cotton waste,,,,,,
62.0,Ethiopia PDR,768,"Cotton, carded, combed",,,,,,
65.0,Falkland Islands (Malvinas),329,Cottonseed,,,,,,
64.0,Faroe Islands,885,Cream fresh,,,,,,
66.0,Fiji,1293,Crude materials,,,,,,
67.0,Finland,397,Cucumbers and gherkins,,,,,,
68.0,France,577,Dates,,,,,,
70.0,French Polynesia,399,Eggplants (aubergines),,,,,,
74.0,Gabon,1064,"Eggs, dried",,,,,,
75.0,Gambia,1062,"Eggs, hen, in shell",,,,,,
73.0,Georgia,1063,"Eggs, liquid",,,,,,
79.0,Germany,1091,"Eggs, other bird, in shell",,,,,,
81.0,Ghana,869,"Fat, cattle",,,,,,
84.0,Greece,1060,"Fat, liver prepared (foie gras)",,,,,,
86.0,Grenada,1243,"Fat, nes, prepared",,,,,,
88.0,Guam,1276,Fatty acids,,,,,,
89.0,Guatemala,1277,Fatty substance residues,,,,,,
90.0,Guinea,845,"Feed, compound, nes",,,,,,
175.0,Guinea-Bissau,652,"Feed, vegetable products nes",,,,,,
91.0,Guyana,569,Figs,,,,,,
93.0,Haiti,570,Figs dried,,,,,,
95.0,Honduras,773,Flax fibre and tow,,,,,,
97.0,Hungary,111,"Flour, cereals",,,,,,
99.0,Iceland,58,"Flour, maize",,,,,,
100.0,India,104,"Flour, mixed grain",,,,,,
101.0,Indonesia,295,"Flour, mustard",,,,,,
102.0,Iran (Islamic Republic of),117,"Flour, potatoes",,,,,,
103.0,Iraq,212,"Flour, pulses",,,,,,
104.0,Ireland,150,"Flour, roots and tubers nes",,,,,,
105.0,Israel,16,"Flour, wheat",,,,,,
106.0,Italy,1232,Food prep nes,,,,,,
109.0,Jamaica,115,"Food preparations, flour, malt extract",,,,,,
110.0,Japan,653,Food wastes,,,,,,
112.0,Jordan,651,Forage products,,,,,,
108.0,Kazakhstan,166,"Fructose and syrup, other",,,,,,
114.0,Kenya,626,"Fruit, cooked, homogenized preparations",,,,,,
83.0,Kiribati,620,"Fruit, dried nes",,,,,,
118.0,Kuwait,619,"Fruit, fresh nes",,,,,,
113.0,Kyrgyzstan,623,"Fruit, prepared nes",,,,,,
120.0,Lao People's Democratic Republic,406,Garlic,,,,,,
119.0,Latvia,720,Ginger,,,,,,
121.0,Lebanon,172,Glucose and dextrose,,,,,,
122.0,Lesotho,507,Grapefruit (inc. pomelos),,,,,,
123.0,Liberia,560,Grapes,,,,,,
124.0,Libya,994,Grease incl. lanolin wool,,,,,,
126.0,Lithuania,243,"Groundnuts, shelled",,,,,,
256.0,Luxembourg,1218,"Hair, fine",,,,,,
129.0,Madagascar,233,"Hazelnuts, shelled",,,,,,
130.0,Malawi,920,"Hides, cattle, wet salted",,,,,,
131.0,Malaysia,1216,"Hides, nes",,,,,,
132.0,Maldives,1182,"Honey, natural",,,,,,
133.0,Mali,910,Ice cream and edible ice,,,,,,
134.0,Malta,109,Infant food,,,,,,
136.0,Mauritania,514,"Juice, citrus, concentrated",,,,,,
137.0,Mauritius,513,"Juice, citrus, single strength",,,,,,
138.0,Mexico,622,"Juice, fruit nes",,,,,,
141.0,Mongolia,562,"Juice, grape",,,,,,
273.0,Montenegro,509,"Juice, grapefruit",,,,,,
143.0,Morocco,510,"Juice, grapefruit, concentrated",,,,,,
144.0,Mozambique,492,"Juice, orange, concentrated",,,,,,
28.0,Myanmar,491,"Juice, orange, single strength",,,,,,
147.0,Namibia,576,"Juice, pineapple",,,,,,
148.0,Nauru,580,"Juice, pineapple, concentrated",,,,,,
149.0,Nepal,390,"Juice, tomato",,,,,,
150.0,Netherlands,780,Jute,,,,,,
151.0,Netherlands Antilles (former),592,Kiwi fruit,,,,,,
153.0,New Caledonia,173,Lactose,,,,,,
156.0,New Zealand,1043,Lard,,,,,,
157.0,Nicaragua,407,"Leeks, other alliaceous vegetables",,,,,,
158.0,Niger,497,Lemons and limes,,,,,,
159.0,Nigeria,201,Lentils,,,,,,
160.0,Niue,372,Lettuce and chicory,,,,,,
161.0,Norfolk Island,333,Linseed,,,,,,
162.0,Norway,18,Macaroni,,,,,,
299.0,Occupied Palestinian Territory,56,Maize,,,,,,
221.0,Oman,446,"Maize, green",,,,,,
164.0,Pacific Islands Trust Territory,49,Malt,,,,,,
165.0,Pakistan,571,"Mangoes, mangosteens, guavas",,,,,,
166.0,Panama,160,Maple sugar and syrups,,,,,,
168.0,Papua New Guinea,1241,"Margarine, liquid",,,,,,
169.0,Paraguay,1242,"Margarine, short",,,,,,
170.0,Peru,671,Maté,,,,,,
171.0,Philippines,1173,"Meal, meat",,,,,,
173.0,Poland,874,"Meat, beef and veal sausages",,,,,,
174.0,Portugal,875,"Meat, beef, preparations",,,,,,
179.0,Qatar,867,"Meat, cattle",,,,,,
117.0,Republic of Korea,870,"Meat, cattle, boneless (beef & veal)",,,,,,
146.0,Republic of Moldova,1058,"Meat, chicken",,,,,,
183.0,Romania,1061,"Meat, chicken, canned",,,,,,
185.0,Russian Federation,1164,"Meat, dried nes",,,,,,
184.0,Rwanda,1069,"Meat, duck",,,,,,
188.0,Saint Kitts and Nevis,1163,"Meat, game",,,,,,
189.0,Saint Lucia,1017,"Meat, goat",,,,,,
190.0,Saint Pierre and Miquelon,1073,"Meat, goose and guinea fowl",,,,,,
191.0,Saint Vincent and the Grenadines,1166,"Meat, nes",,,,,,
244.0,Samoa,1035,"Meat, pig",,,,,,
193.0,Sao Tome and Principe,1041,"Meat, pig sausages",,,,,,
194.0,Saudi Arabia,1042,"Meat, pig, preparations",,,,,,
195.0,Senegal,1038,"Meat, pork",,,,,,
272.0,Serbia,1141,"Meat, rabbit",,,,,,
186.0,Serbia and Montenegro,977,"Meat, sheep",,,,,,
196.0,Seychelles,1080,"Meat, turkey",,,,,,
197.0,Sierra Leone,568,"Melons, other (inc.cantaloupes)",,,,,,
200.0,Singapore,909,"Milk, products of natural constituents nes",,,,,,
199.0,Slovakia,888,"Milk, skimmed cow",,,,,,
198.0,Slovenia,898,"Milk, skimmed dried",,,,,,
25.0,Solomon Islands,889,"Milk, whole condensed",,,,,,
201.0,Somalia,897,"Milk, whole dried",,,,,,
202.0,South Africa,894,"Milk, whole evaporated",,,,,,
277.0,South Sudan,882,"Milk, whole fresh cow",,,,,,
203.0,Spain,79,Millet,,,,,,
38.0,Sri Lanka,114,Mixes and doughs,,,,,,
276.0,Sudan,165,Molasses,,,,,,
206.0,Sudan (former),449,Mushrooms and truffles,,,,,,
207.0,Suriname,451,"Mushrooms, canned",,,,,,
210.0,Sweden,292,Mustard seed,,,,,,
211.0,Switzerland,702,"Nutmeg, mace and cardamoms",,,,,,
212.0,Syrian Arab Republic,234,"Nuts, nes",,,,,,
208.0,Tajikistan,235,"Nuts, prepared (exc. groundnuts)",,,,,,
216.0,Thailand,75,Oats,,,,,,
154.0,The former Yugoslav Republic of Macedonia,76,Oats rolled,,,,,,
176.0,Timor-Leste,868,"Offals, edible, cattle",,,,,,
217.0,Togo,1059,"Offals, liver chicken",,,,,,
219.0,Tonga,1036,"Offals, pigs, edible",,,,,,
220.0,Trinidad and Tobago,978,"Offals, sheep,edible",,,,,,
222.0,Tunisia,1274,"Oil, boiled etc",,,,,,
223.0,Turkey,266,"Oil, castor beans",,,,,,
213.0,Turkmenistan,737,"Oil, citronella",,,,,,
227.0,Tuvalu,252,"Oil, coconut (copra)",,,,,,
226.0,Uganda,331,"Oil, cottonseed",,,,,,
230.0,Ukraine,753,"Oil, essential nes",,,,,,
225.0,United Arab Emirates,244,"Oil, groundnut",,,,,,
229.0,United Kingdom,334,"Oil, linseed",,,,,,
215.0,United Republic of Tanzania,60,"Oil, maize",,,,,,
231.0,United States of America,274,"Oil, olive residues",,,,,,
234.0,Uruguay,261,"Oil, olive, virgin",,,,,,
228.0,USSR,257,"Oil, palm",,,,,,
235.0,Uzbekistan,258,"Oil, palm kernel",,,,,,
155.0,Vanuatu,271,"Oil, rapeseed",,,,,,
236.0,Venezuela (Bolivarian Republic of),290,"Oil, sesame",,,,,,
237.0,Viet Nam,237,"Oil, soybean",,,,,,
249.0,Yemen,268,"Oil, sunflower",,,,,,
248.0,Yugoslav SFR,340,"Oil, vegetable origin nes",,,,,,
251.0,Zambia,1168,"Oils, fats of animal nes",,,,,,
181.0,Zimbabwe,339,Oilseeds nes,,,,,,
5000.0,World,260,Olives,,,,,,
5100.0,Africa,262,Olives preserved,,,,,,
5101.0,Eastern Africa,403,"Onions, dry",,,,,,
5102.0,Middle Africa,402,"Onions, shallots, green",,,,,,
5103.0,Northern Africa,490,Oranges,,,,,,
5104.0,Southern Africa,600,Papayas,,,,,,
5105.0,Western Africa,22,Pastry,,,,,,
5200.0,Americas,534,Peaches and nectarines,,,,,,
5203.0,Northern America,247,Peanut butter,,,,,,
5204.0,Central America,521,Pears,,,,,,
5206.0,Caribbean,187,"Peas, dry",,,,,,
5207.0,South America,417,"Peas, green",,,,,,
5300.0,Asia,687,Pepper (piper spp.),,,,,,
5301.0,Central Asia,587,Persimmons,,,,,,
5302.0,Eastern Asia,843,Pet food,,,,,,
5303.0,Southern Asia,574,Pineapples,,,,,,
5304.0,South-Eastern Asia,575,Pineapples canned,,,,,,
5305.0,Western Asia,223,Pistachios,,,,,,
5400.0,Europe,489,Plantains and others,,,,,,
5401.0,Eastern Europe,536,Plums and sloes,,,,,,
5402.0,Northern Europe,537,Plums dried (prunes),,,,,,
5403.0,Southern Europe,296,Poppy seed,,,,,,
5404.0,Western Europe,116,Potatoes,,,,,,
5500.0,Oceania,118,"Potatoes, frozen",,,,,,
5501.0,Australia & New Zealand,394,"Pumpkins, squash and gourds",,,,,,
5502.0,Melanesia,754,"Pyrethrum, dried",,,,,,
5503.0,Micronesia,561,Raisins,,,,,,
5504.0,Polynesia,270,Rapeseed,,,,,,
261.0,EU(12)ex.int,30,Rice - total  (Rice milled equivalent),,,,,,
266.0,EU(15)ex.int,149,"Roots and tubers, nes",,,,,,
268.0,EU(25)ex.int,837,Rubber natural dry,,,,,,
269.0,EU(27)ex.int,836,"Rubber, natural",,,,,,
5706.0,European Union,71,Rye,,,,,,
57060.0,European Union (exc intra-trade),289,Sesame seed,,,,,,
5801.0,Least Developed Countries,1186,Silk raw,,,,,,
5802.0,Land Locked Developing Countries,1185,"Silk-worm cocoons, reelable",,,,,,
5803.0,Small Island Developing States,928,"Skins, calve, wet salted",,,,,,
5815.0,Low Income Food Deficit Countries,997,"Skins, sheep, dry salted",,,,,,
5817.0,Net Food Importing Developing Countries,999,"Skins, sheep, with wool",,,,,,
,,83,Sorghum,,,,,,
,,239,Soya sauce,,,,,,
,,236,Soybeans,,,,,,
,,723,"Spices, nes",,,,,,
,,373,Spinach,,,,,,
,,635,Straw husks,,,,,,
,,544,Strawberries,,,,,,
,,157,Sugar beet,,,,,,
,,168,Sugar confectionery,,,,,,
,,162,Sugar Raw Centrifugal,,,,,,
,,164,Sugar refined,,,,,,
,,167,"Sugar, nes",,,,,,
,,267,Sunflower seed,,,,,,
,,447,Sweet corn frozen,,,,,,
,,448,Sweet corn prep or preserved,,,,,,
,,122,Sweet potatoes,,,,,,
,,1225,Tallow,,,,,,
,,495,"Tangerines, mandarins, clementines, satsumas",,,,,,
,,667,Tea,,,,,,
,,672,"Tea, mate extracts",,,,,,
,,831,Tobacco products nes,,,,,,
,,826,"Tobacco, unmanufactured",,,,,,
,,388,Tomatoes,,,,,,
,,391,"Tomatoes, paste",,,,,,
,,392,"Tomatoes, peeled",,,,,,
,,692,Vanilla,,,,,,
,,471,Vegetables in vinegar,,,,,,
,,469,"Vegetables, dehydrated",,,,,,
,,463,"Vegetables, fresh nes",,,,,,
,,460,"Vegetables, fresh or dried products nes",,,,,,
,,473,"Vegetables, frozen",,,,,,
,,476,"Vegetables, homogenized preparations",,,,,,
,,472,"Vegetables, preserved nes",,,,,,
,,475,"Vegetables, preserved, frozen",,,,,,
,,474,"Vegetables, temporarily preserved",,,,,,
,,565,Vermouths & similar,,,,,,
,,110,Wafers,,,,,,
,,232,"Walnuts, shelled",,,,,,
,,222,"Walnuts, with shell",,,,,,
,,567,Watermelons,,,,,,
,,631,"Waters,ice etc",,,,,,
,,15,Wheat,,,,,,
,,900,"Whey, dry",,,,,,
,,564,Wine,,,,,,
,,988,"Wool, degreased",,,,,,
,,987,"Wool, greasy",,,,,,
,,1009,"Wool, hair waste",,,,,,
,,892,"Yoghurt, concentrated or not",,,,,,
,,1882,"Agricult.Products,Total",,,,,,
,,1904,Animal fats,,,,,,
,,1976,Animal Oil+Fat+Grs,,,,,,
,,1903,Animal Vegetable Oil,,,,,,
,,1951,Bananas and plantains,,,,,,
,,1967,Beer,,,,,,
,,1895,Beverages,,,,,,
,,1894,Beverages+Tobacco,,,,,,
,,2071,Bovine Meat,,,,,,
,,1938,Butter,,,,,,
,,1931,Canned Meat nes,,,,,,
,,1953,Cassava Equivalent,,,,,,
,,1944,Cereals,,,,,,
,,1888,Cereals and Preparations,,,,,,
,,1939,Cheese and Curd,,,,,,
,,1956,Coffee Green+Roast,,,,,,
,,1891,Coffee+Tea+Cocoa+Sp,,,,,,
,,1897,Crude Materials -Ex2,,,,,,
,,1902,Crude Materials nes,,,,,,
,,1886,Dairy Products+Eggs,,,,,,
,,1942,Eggs in The Shell,,,,,,
,,1943,"Eggs Liquid,Dried",,,,,,
,,1905,Fixed Vegetable Oils,,,,,,
,,1973,Flax Fib+Tow+W,,,,,,
,,1892,Fodder & Feeding stuff,,,,,,
,,1883,Food and Animals,,,,,,
,,1982,Food Excl Fish,,,,,,
,,1889,Fruit and Vegetables,,,,,,
,,1968,Groundnuts Total Shelled,,,,,,
,,1980,Jute+Bast Fibres,,,,,,
,,1885,Meat and Meat Preparations,,,,,,
,,1924,Meat Bovine Fresh,,,,,,
,,1923,Meat Fresh+Ch+Frozen,,,,,,
,,2027,Meat of Swine,,,,,,
,,1926,Meat Poultry Fresh,,,,,,
,,1933,Meat Prepared Pres,,,,,,
,,1925,Meat Sheep Fresh,,,,,,
,,1935,Milk Condensed + Evaporated,,,,,,
,,1934,Milk Condensed+Dry+Fresh,,,,,,
,,1936,Milk Dry,,,,,,
,,2030,Milk Equivalent,,,,,,
,,1937,Milk Fresh,,,,,,
