Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
2,Afghanistan,2501.0,Population,511.0,Total Population - Both sexes,2014.0,2014.0,1000 persons,S
3,Albania,2901.0,Grand Total,5301.0,Domestic supply quantity,2015.0,2015.0,1000 tonnes,Fc
4,Algeria,2903.0,Vegetal Products,664.0,Food supply (kcal/capita/day),2016.0,2016.0,kcal/capita/day,A
7,Angola,2941.0,Animal Products,674.0,Protein supply quantity (g/capita/day),2017.0,2017.0,g/capita/day,
8,Antigua and Barbuda,2905.0,Cereals - Excluding Beer,684.0,Fat supply quantity (g/capita/day),,,kg,
9,Argentina,2511.0,Wheat and products,5511.0,Production,,,,
1,Armenia,2805.0,Rice (Milled Equivalent),5611.0,Import Quantity,,,,
10,Australia,2513.0,Barley and products,5072.0,Stock Variation,,,,
11,Austria,2514.0,Maize and products,5911.0,Export Quantity,,,,
52,Azerbaijan,2515.0,Rye and products,5521.0,Feed,,,,
12,Bahamas,2516.0,Oats,5527.0,Seed,,,,
16,Bangladesh,2517.0,Millet and products,5123.0,Losses,,,,
14,Barbados,2518.0,Sorghum and products,5131.0,Processing,,,,
57,Belarus,2520.0,"Cereals, Other",5154.0,Other uses (non-food),,,,
255,Belgium,2907.0,Starchy Roots,5171.0,Tourist consumption,,,,
23,Belize,2532.0,Cassava and products,5170.0,Residuals,,,,
53,Benin,2531.0,Potatoes and products,5142.0,Food,,,,
17,Bermuda,2533.0,Sweet potatoes,645.0,Food supply quantity (kg/capita/yr),,,,
19,Bolivia (Plurinational State of),2535.0,Yams,,,,,,
80,Bosnia and Herzegovina,2534.0,"Roots, Other",,,,,,
20,Botswana,2908.0,Sugar Crops,,,,,,
21,Brazil,2536.0,Sugar cane,,,,,,
26,Brunei Darussalam,2537.0,Sugar beet,,,,,,
27,Bulgaria,2909.0,Sugar & Sweeteners,,,,,,
233,Burkina Faso,2541.0,Sugar non-centrifugal,,,,,,
35,Cabo Verde,2542.0,Sugar (Raw Equivalent),,,,,,
115,Cambodia,2543.0,"Sweeteners, Other",,,,,,
32,Cameroon,2745.0,Honey,,,,,,
33,Canada,2911.0,Pulses,,,,,,
