,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,1171.0,Animals live nes,5622.0,Import Value,2014.0,2014.0,1000 US$,R
1,3,Albania,1169.0,"Animals, live, non-food",5922.0,Export Value,2015.0,2015.0,Head,*
2,4,Algeria,946.0,Buffaloes,5608.0,Import Quantity,2016.0,2016.0,1000 Head,M
3,5,American Samoa,1126.0,Camels,5908.0,Export Quantity,2017.0,2017.0,No,F
4,7,Angola,866.0,Cattle,5609.0,,1961.0,1961.0,,
5,8,Antigua and Barbuda,1057.0,Chickens,5909.0,,1962.0,1962.0,,A
6,9,Argentina,1068.0,Ducks,5607.0,,1963.0,1963.0,,Im
7,1,Armenia,1016.0,Goats,5907.0,,1964.0,1964.0,,
8,22,Aruba,1096.0,Horses,,,1965.0,1965.0,,
9,10,Australia,1083.0,"Pigeons, other birds",,,1966.0,1966.0,,
10,11,Austria,1034.0,Pigs,,,1967.0,1967.0,,
11,52,Azerbaijan,976.0,Sheep,,,1968.0,1968.0,,
12,12,Bahamas,1079.0,Turkeys,,,1969.0,1969.0,,
13,13,Bahrain,1882.0,"Agricult.Products, Total",,,1970.0,1970.0,,
14,16,Bangladesh,1921.0,"Bovine, Animals",,,1971.0,1971.0,,
15,14,Barbados,1982.0,Food Excl Fish,,,1972.0,1972.0,,
16,57,Belarus,1884.0,Live Animals,,,1973.0,1973.0,,
17,255,Belgium,1922.0,Sheep and Goats,,,1974.0,1974.0,,
18,15,Belgium-Luxembourg,10.0,Total Merchandise Trade,,,1975.0,1975.0,,
19,23,Belize,1107.0,Asses,,,1976.0,1976.0,,
20,53,Benin,1181.0,Beehives,,,1977.0,1977.0,,
21,17,Bermuda,1110.0,Mules,,,1978.0,1978.0,,
22,18,Bhutan,1157.0,"Camelids, other",,,1979.0,1979.0,,
23,19,Bolivia (Plurinational State of),1140.0,Rabbits and hares,,,1980.0,1980.0,,
24,80,Bosnia and Herzegovina,1150.0,"Rodents, other",,,1981.0,1981.0,,
25,20,Botswana,,,,,1982.0,1982.0,,
26,21,Brazil,,,,,1983.0,1983.0,,
27,239,British Virgin Islands,,,,,1984.0,1984.0,,
28,26,Brunei Darussalam,,,,,1985.0,1985.0,,
29,27,Bulgaria,,,,,1986.0,1986.0,,
30,233,Burkina Faso,,,,,1987.0,1987.0,,
31,29,Burundi,,,,,1988.0,1988.0,,
32,35,Cabo Verde,,,,,1989.0,1989.0,,
33,115,Cambodia,,,,,1990.0,1990.0,,
34,32,Cameroon,,,,,1991.0,1991.0,,
35,33,Canada,,,,,1992.0,1992.0,,
36,36,Cayman Islands,,,,,1993.0,1993.0,,
37,37,Central African Republic,,,,,1994.0,1994.0,,
38,39,Chad,,,,,1995.0,1995.0,,
39,40,Chile,,,,,1996.0,1996.0,,
40,351,China,,,,,1997.0,1997.0,,
41,96,"China, Hong Kong SAR",,,,,1998.0,1998.0,,
42,128,"China, Macao SAR",,,,,1999.0,1999.0,,
43,41,"China, mainland",,,,,2000.0,2000.0,,
44,214,"China, Taiwan Province of",,,,,2001.0,2001.0,,
45,44,Colombia,,,,,2002.0,2002.0,,
46,45,Comoros,,,,,2003.0,2003.0,,
47,46,Congo,,,,,2004.0,2004.0,,
48,47,Cook Islands,,,,,2005.0,2005.0,,
49,48,Costa Rica,,,,,2006.0,2006.0,,
50,107,Côte d'Ivoire,,,,,2007.0,2007.0,,
51,98,Croatia,,,,,2008.0,2008.0,,
52,49,Cuba,,,,,2009.0,2009.0,,
53,50,Cyprus,,,,,2010.0,2010.0,,
54,167,Czechia,,,,,2011.0,2011.0,,
55,51,Czechoslovakia,,,,,2012.0,2012.0,,
56,116,Democratic People's Republic of Korea,,,,,2013.0,2013.0,,
57,250,Democratic Republic of the Congo,,,,,,,,
58,54,Denmark,,,,,,,,
59,72,Djibouti,,,,,,,,
60,55,Dominica,,,,,,,,
61,56,Dominican Republic,,,,,,,,
62,58,Ecuador,,,,,,,,
63,59,Egypt,,,,,,,,
64,60,El Salvador,,,,,,,,
65,61,Equatorial Guinea,,,,,,,,
66,178,Eritrea,,,,,,,,
67,63,Estonia,,,,,,,,
68,209,Eswatini,,,,,,,,
69,238,Ethiopia,,,,,,,,
70,62,Ethiopia PDR,,,,,,,,
71,65,Falkland Islands (Malvinas),,,,,,,,
72,64,Faroe Islands,,,,,,,,
73,66,Fiji,,,,,,,,
74,67,Finland,,,,,,,,
75,68,France,,,,,,,,
76,70,French Polynesia,,,,,,,,
77,74,Gabon,,,,,,,,
78,75,Gambia,,,,,,,,
79,73,Georgia,,,,,,,,
80,79,Germany,,,,,,,,
81,81,Ghana,,,,,,,,
82,84,Greece,,,,,,,,
83,86,Grenada,,,,,,,,
84,88,Guam,,,,,,,,
85,89,Guatemala,,,,,,,,
86,90,Guinea,,,,,,,,
87,175,Guinea-Bissau,,,,,,,,
88,91,Guyana,,,,,,,,
89,93,Haiti,,,,,,,,
90,95,Honduras,,,,,,,,
