,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2.0,Afghanistan,231,Almonds shelled,5610.0,Import Quantity,2014.0,2014.0,tonnes,R
1,3.0,Albania,711,"Anise, badian, fennel, coriander",5622.0,Import Value,2015.0,2015.0,1000 US$,
2,4.0,Algeria,515,Apples,5910.0,Export Quantity,2016.0,2016.0,,*
3,5.0,American Samoa,526,Apricots,5922.0,Export Value,1961.0,1961.0,,F
4,7.0,Angola,527,"Apricots, dry",,,1962.0,1962.0,,M
5,8.0,Antigua and Barbuda,366,Artichokes,,,1963.0,1963.0,,Im
6,9.0,Argentina,367,Asparagus,,,1964.0,1964.0,,A
7,1.0,Armenia,572,Avocados,,,1965.0,1965.0,,
8,22.0,Aruba,1039,Bacon and ham,,,1966.0,1966.0,,
9,10.0,Australia,486,Bananas,,,1967.0,1967.0,,
10,11.0,Austria,44,Barley,,,1968.0,1968.0,,
11,52.0,Azerbaijan,176,"Beans, dry",,,1969.0,1969.0,,
12,12.0,Bahamas,414,"Beans, green",,,1970.0,1970.0,,
13,13.0,Bahrain,51,Beer of barley,,,1971.0,1971.0,,
14,16.0,Bangladesh,1183,Beeswax,,,1972.0,1972.0,,
15,14.0,Barbados,169,Beet pulp,,,1973.0,1973.0,,
16,57.0,Belarus,634,"Beverages, distilled alcoholic",,,1974.0,1974.0,,
17,255.0,Belgium,633,"Beverages, non alcoholic",,,1975.0,1975.0,,
18,15.0,Belgium-Luxembourg,59,"Bran, maize",,,1976.0,1976.0,,
19,23.0,Belize,85,"Bran, sorghum",,,1977.0,1977.0,,
20,53.0,Benin,17,"Bran, wheat",,,1978.0,1978.0,,
21,17.0,Bermuda,229,"Brazil nuts, shelled",,,1979.0,1979.0,,
22,18.0,Bhutan,20,Bread,,,1980.0,1980.0,,
23,19.0,Bolivia (Plurinational State of),181,"Broad beans, horse beans, dry",,,1981.0,1981.0,,
24,80.0,Bosnia and Herzegovina,89,Buckwheat,,,1982.0,1982.0,,
25,20.0,Botswana,886,"Butter, cow milk",,,1983.0,1983.0,,
26,21.0,Brazil,893,"Buttermilk, curdled, acidified milk",,,1984.0,1984.0,,
27,239.0,British Virgin Islands,358,Cabbages and other brassicas,,,1985.0,1985.0,,
28,26.0,Brunei Darussalam,253,"Cake, copra",,,1986.0,1986.0,,
29,27.0,Bulgaria,332,"Cake, cottonseed",,,1987.0,1987.0,,
30,233.0,Burkina Faso,245,"Cake, groundnuts",,,1988.0,1988.0,,
31,29.0,Burundi,335,"Cake, linseed",,,1989.0,1989.0,,
32,35.0,Cabo Verde,272,"Cake, rapeseed",,,1990.0,1990.0,,
33,115.0,Cambodia,238,"Cake, soybeans",,,1991.0,1991.0,,
34,32.0,Cameroon,269,"Cake, sunflower",,,1992.0,1992.0,,
35,33.0,Canada,426,Carrots and turnips,,,1993.0,1993.0,,
36,36.0,Cayman Islands,230,"Cashew nuts, shelled",,,1994.0,1994.0,,
37,37.0,Central African Republic,217,"Cashew nuts, with shell",,,1995.0,1995.0,,
38,39.0,Chad,128,Cassava dried,,,1996.0,1996.0,,
