Unnamed: 0,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,1107.0,Asses,5111.0,Stocks,1961.0,1961.0,Head,
1,3,Albania,1126.0,Camels,72244.0,Implied emission factor for CH4 (Enteric),1962.0,1962.0,kg CH4/head,F
2,4,Algeria,960.0,"Cattle, dairy",72254.0,Emissions (CH4) (Enteric),1963.0,1963.0,gigagrams,*
3,5,American Samoa,961.0,"Cattle, non-dairy",72314.0,Emissions (CO2eq) (Enteric),1964.0,1964.0,,Fc
4,7,Angola,1016.0,Goats,,,1965.0,1965.0,,A
5,8,Antigua and Barbuda,1096.0,Horses,,,1966.0,1966.0,,Im
6,9,Argentina,1110.0,Mules,,,1967.0,1967.0,,
7,1,Armenia,976.0,Sheep,,,1968.0,1968.0,,
8,22,Aruba,1755.0,All Animals,,,1969.0,1969.0,,
9,10,Australia,1760.0,Camels and Llamas,,,1970.0,1970.0,,
10,11,Austria,1757.0,Cattle,,,1971.0,1971.0,,
11,52,Azerbaijan,1759.0,Mules and Asses,,,1972.0,1972.0,,
12,12,Bahamas,1749.0,Sheep and Goats,,,1973.0,1973.0,,
13,13,Bahrain,946.0,Buffaloes,,,1974.0,1974.0,,
14,16,Bangladesh,1051.0,"Swine, breeding",,,1975.0,1975.0,,
15,14,Barbados,1049.0,"Swine, market",,,1976.0,1976.0,,
16,57,Belarus,1048.0,Swine,,,1977.0,1977.0,,
17,255,Belgium,1177.0,Llamas,,,1978.0,1978.0,,
18,15,Belgium-Luxembourg,,,,,1979.0,1979.0,,
19,23,Belize,,,,,1980.0,1980.0,,
20,53,Benin,,,,,1981.0,1981.0,,
21,17,Bermuda,,,,,1982.0,1982.0,,
22,18,Bhutan,,,,,1983.0,1983.0,,
23,19,Bolivia (Plurinational State of),,,,,1984.0,1984.0,,
24,80,Bosnia and Herzegovina,,,,,1985.0,1985.0,,
25,20,Botswana,,,,,1986.0,1986.0,,
26,21,Brazil,,,,,1987.0,1987.0,,
27,239,British Virgin Islands,,,,,1988.0,1988.0,,
28,26,Brunei Darussalam,,,,,1989.0,1989.0,,
29,27,Bulgaria,,,,,1990.0,1990.0,,
30,233,Burkina Faso,,,,,1991.0,1991.0,,
31,29,Burundi,,,,,1992.0,1992.0,,
32,35,Cabo Verde,,,,,1993.0,1993.0,,
33,115,Cambodia,,,,,1994.0,1994.0,,
34,32,Cameroon,,,,,1995.0,1995.0,,
35,33,Canada,,,,,1996.0,1996.0,,
36,36,Cayman Islands,,,,,1997.0,1997.0,,
37,37,Central African Republic,,,,,1998.0,1998.0,,
38,39,Chad,,,,,1999.0,1999.0,,
39,40,Chile,,,,,2000.0,2000.0,,
40,351,China,,,,,2001.0,2001.0,,
41,96,"China, Hong Kong SAR",,,,,2002.0,2002.0,,
42,41,"China, mainland",,,,,2003.0,2003.0,,
43,214,"China, Taiwan Province of",,,,,2004.0,2004.0,,
44,44,Colombia,,,,,2005.0,2005.0,,
45,45,Comoros,,,,,2006.0,2006.0,,
46,46,Congo,,,,,2007.0,2007.0,,
47,47,Cook Islands,,,,,2008.0,2008.0,,
48,48,Costa Rica,,,,,2009.0,2009.0,,
49,107,Côte d'Ivoire,,,,,2010.0,2010.0,,
50,98,Croatia,,,,,2011.0,2011.0,,
51,49,Cuba,,,,,2012.0,2012.0,,
52,50,Cyprus,,,,,2013.0,2013.0,,
53,167,Czechia,,,,,2014.0,2014.0,,
54,51,Czechoslovakia,,,,,2015.0,2015.0,,
55,116,Democratic People's Republic of Korea,,,,,2016.0,2016.0,,
56,250,Democratic Republic of the Congo,,,,,2017.0,2017.0,,
57,54,Denmark,,,,,2030.0,2030.0,,
58,72,Djibouti,,,,,2050.0,2050.0,,
59,55,Dominica,,,,,,,,
60,56,Dominican Republic,,,,,,,,
61,58,Ecuador,,,,,,,,
62,59,Egypt,,,,,,,,
63,60,El Salvador,,,,,,,,
64,61,Equatorial Guinea,,,,,,,,
65,178,Eritrea,,,,,,,,
66,63,Estonia,,,,,,,,
67,209,Eswatini,,,,,,,,
68,238,Ethiopia,,,,,,,,
69,62,Ethiopia PDR,,,,,,,,
70,65,Falkland Islands (Malvinas),,,,,,,,
71,64,Faroe Islands,,,,,,,,
72,66,Fiji,,,,,,,,
73,67,Finland,,,,,,,,
74,68,France,,,,,,,,
75,69,French Guiana,,,,,,,,
76,70,French Polynesia,,,,,,,,
77,74,Gabon,,,,,,,,
78,75,Gambia,,,,,,,,
79,73,Georgia,,,,,,,,
80,79,Germany,,,,,,,,
81,81,Ghana,,,,,,,,
82,84,Greece,,,,,,,,
83,85,Greenland,,,,,,,,
84,86,Grenada,,,,,,,,
85,87,Guadeloupe,,,,,,,,
86,88,Guam,,,,,,,,
87,89,Guatemala,,,,,,,,
88,90,Guinea,,,,,,,,
89,175,Guinea-Bissau,,,,,,,,
90,91,Guyana,,,,,,,,
91,93,Haiti,,,,,,,,
92,95,Honduras,,,,,,,,
93,97,Hungary,,,,,,,,
94,99,Iceland,,,,,,,,
95,100,India,,,,,,,,
96,101,Indonesia,,,,,,,,
97,102,Iran (Islamic Republic of),,,,,,,,
98,103,Iraq,,,,,,,,
99,104,Ireland,,,,,,,,
100,105,Israel,,,,,,,,
101,106,Italy,,,,,,,,
102,109,Jamaica,,,,,,,,
103,110,Japan,,,,,,,,
104,112,Jordan,,,,,,,,
105,108,Kazakhstan,,,,,,,,
106,114,Kenya,,,,,,,,
107,83,Kiribati,,,,,,,,
108,118,Kuwait,,,,,,,,
109,113,Kyrgyzstan,,,,,,,,
110,120,Lao People's Democratic Republic,,,,,,,,
111,119,Latvia,,,,,,,,
112,121,Lebanon,,,,,,,,
113,122,Lesotho,,,,,,,,
114,123,Liberia,,,,,,,,
115,124,Libya,,,,,,,,
116,125,Liechtenstein,,,,,,,,
117,126,Lithuania,,,,,,,,
118,256,Luxembourg,,,,,,,,
119,129,Madagascar,,,,,,,,
120,130,Malawi,,,,,,,,
121,131,Malaysia,,,,,,,,
122,133,Mali,,,,,,,,
123,134,Malta,,,,,,,,
124,135,Martinique,,,,,,,,
125,136,Mauritania,,,,,,,,
126,137,Mauritius,,,,,,,,
127,138,Mexico,,,,,,,,
128,145,Micronesia (Federated States of),,,,,,,,
129,141,Mongolia,,,,,,,,
130,273,Montenegro,,,,,,,,
131,142,Montserrat,,,,,,,,
132,143,Morocco,,,,,,,,
133,144,Mozambique,,,,,,,,
134,28,Myanmar,,,,,,,,
135,147,Namibia,,,,,,,,
136,148,Nauru,,,,,,,,
137,149,Nepal,,,,,,,,
138,150,Netherlands,,,,,,,,
139,151,Netherlands Antilles (former),,,,,,,,
140,153,New Caledonia,,,,,,,,
141,156,New Zealand,,,,,,,,
142,157,Nicaragua,,,,,,,,
143,158,Niger,,,,,,,,
144,159,Nigeria,,,,,,,,
145,160,Niue,,,,,,,,
146,161,Norfolk Island,,,,,,,,
147,154,North Macedonia,,,,,,,,
148,162,Norway,,,,,,,,
149,221,Oman,,,,,,,,
