,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2.0,Afghanistan,221,"Almonds, with shell",5539.0,Producer Price Index (2004-2006 = 100),1991.0,1991.0,,Fc
1,3.0,Albania,711,"Anise, badian, fennel, coriander",,,1992.0,1992.0,,
2,4.0,Algeria,515,Apples,,,1993.0,1993.0,,
3,8.0,Antigua and Barbuda,526,Apricots,,,1994.0,1994.0,,
4,9.0,Argentina,44,Barley,,,1995.0,1995.0,,
5,1.0,Armenia,767,Cotton lint,,,1996.0,1996.0,,
6,10.0,Australia,329,Cottonseed,,,1997.0,1997.0,,
7,11.0,Austria,1062,"Eggs, hen, in shell",,,1998.0,1998.0,,
8,52.0,Azerbaijan,569,Figs,,,1999.0,1999.0,,
9,16.0,Bangladesh,512,"Fruit, citrus nes",,,2000.0,2000.0,,
10,14.0,Barbados,541,"Fruit, stone nes",,,2001.0,2001.0,,
11,57.0,Belarus,560,Grapes,,,2002.0,2002.0,,
12,255.0,Belgium,1182,"Honey, natural",,,2003.0,2003.0,,
13,23.0,Belize,333,Linseed,,,2004.0,2004.0,,
14,18.0,Bhutan,56,Maize,,,2005.0,2005.0,,
15,19.0,Bolivia (Plurinational State of),1127,"Meat, camel",,,2006.0,2006.0,,
16,80.0,Bosnia and Herzegovina,867,"Meat, cattle",,,2007.0,2007.0,,
17,20.0,Botswana,1058,"Meat, chicken",,,2008.0,2008.0,,
18,21.0,Brazil,1163,"Meat, game",,,2009.0,2009.0,,
19,26.0,Brunei Darussalam,1017,"Meat, goat",,,2010.0,2010.0,,
20,27.0,Bulgaria,977,"Meat, sheep",,,2011.0,2011.0,,
21,233.0,Burkina Faso,568,"Melons, other (inc.cantaloupes)",,,2012.0,2012.0,,
22,29.0,Burundi,1130,"Milk, whole fresh camel",,,2013.0,2013.0,,
23,35.0,Cabo Verde,882,"Milk, whole fresh cow",,,2014.0,2014.0,,
24,115.0,Cambodia,1020,"Milk, whole fresh goat",,,2015.0,2015.0,,
