Unnamed: 0,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,6814.0,"Energy (energy, manufacturing and construction industries and fugitive emissions)",7231.0,Emissions (CO2eq),1990.0,1990.0,Gigagrams,A
1,3,Albania,6815.0,Transport,7194.0,Emissions (CO2eq) from CO2,1991.0,1991.0,%,Fc
2,4,Algeria,6816.0,"Residential, commercial, institutional and AFF",7244.0,Emissions (CO2eq) from CH4,1992.0,1992.0,,F
3,5,American Samoa,6817.0,Industrial processes and product use,7243.0,Emissions (CO2eq) from N2O,1993.0,1993.0,,
4,7,Angola,6818.0,Waste,7178.0,Emissions (CO2eq) from F-gases,1994.0,1994.0,,
5,258,Anguilla,6819.0,Other sources,7263.0,Share of sector in total emissions,1995.0,1995.0,,
6,8,Antigua and Barbuda,1711.0,Agriculture total,7264.0,Share of sector in total CO2 emissions,1996.0,1996.0,,
7,9,Argentina,6822.0,Land use sources,7265.0,Share of sector in total CH4 emissions,1997.0,1997.0,,
8,1,Armenia,6661.0,Forest,7266.0,Share of sector in total N2O emissions,1998.0,1998.0,,
9,22,Aruba,6821.0,Energy total,7267.0,Share of CO2 in sector emissions,1999.0,1999.0,,
10,10,Australia,1707.0,Land Use total,7268.0,Share of CH4 in sector emissions,2000.0,2000.0,,
11,11,Austria,6823.0,Sources total,7269.0,Share of N2O in sector emissions,2001.0,2001.0,,
12,52,Azerbaijan,6825.0,Sources total excl. AFOLU,7180.0,Share of F-gases in sector emissions,2002.0,2002.0,,
13,12,Bahamas,6820.0,International bunkers,7179.0,Share of sector in total F-gases emissions,2003.0,2003.0,,
14,13,Bahrain,,,,,2004.0,2004.0,,
15,16,Bangladesh,,,,,2005.0,2005.0,,
16,14,Barbados,,,,,2006.0,2006.0,,
17,57,Belarus,,,,,2007.0,2007.0,,
18,255,Belgium,,,,,2008.0,2008.0,,
19,15,Belgium-Luxembourg,,,,,2009.0,2009.0,,
20,23,Belize,,,,,2010.0,2010.0,,
21,53,Benin,,,,,,,,
22,17,Bermuda,,,,,,,,
23,18,Bhutan,,,,,,,,
24,19,Bolivia (Plurinational State of),,,,,,,,
25,80,Bosnia and Herzegovina,,,,,,,,
26,20,Botswana,,,,,,,,
27,21,Brazil,,,,,,,,
28,239,British Virgin Islands,,,,,,,,
29,26,Brunei Darussalam,,,,,,,,
30,27,Bulgaria,,,,,,,,
31,233,Burkina Faso,,,,,,,,
32,29,Burundi,,,,,,,,
33,35,Cabo Verde,,,,,,,,
34,115,Cambodia,,,,,,,,
35,32,Cameroon,,,,,,,,
36,33,Canada,,,,,,,,
37,36,Cayman Islands,,,,,,,,
38,37,Central African Republic,,,,,,,,
39,39,Chad,,,,,,,,
40,40,Chile,,,,,,,,
41,351,China,,,,,,,,
42,96,"China, Hong Kong SAR",,,,,,,,
43,128,"China, Macao SAR",,,,,,,,
44,41,"China, mainland",,,,,,,,
45,214,"China, Taiwan Province of",,,,,,,,
46,44,Colombia,,,,,,,,
47,45,Comoros,,,,,,,,
48,46,Congo,,,,,,,,
49,47,Cook Islands,,,,,,,,
50,48,Costa Rica,,,,,,,,
51,107,Côte d'Ivoire,,,,,,,,
52,98,Croatia,,,,,,,,
53,49,Cuba,,,,,,,,
54,50,Cyprus,,,,,,,,
55,167,Czech Republic,,,,,,,,
56,51,Czechoslovakia,,,,,,,,
57,116,Democratic People's Republic of Korea,,,,,,,,
58,250,Democratic Republic of the Congo,,,,,,,,
59,54,Denmark,,,,,,,,
60,72,Djibouti,,,,,,,,
61,55,Dominica,,,,,,,,
62,56,Dominican Republic,,,,,,,,
63,58,Ecuador,,,,,,,,
64,59,Egypt,,,,,,,,
65,60,El Salvador,,,,,,,,
66,61,Equatorial Guinea,,,,,,,,
67,178,Eritrea,,,,,,,,
68,63,Estonia,,,,,,,,
69,238,Ethiopia,,,,,,,,
70,62,Ethiopia PDR,,,,,,,,
71,65,Falkland Islands (Malvinas),,,,,,,,
72,64,Faroe Islands,,,,,,,,
73,66,Fiji,,,,,,,,
74,67,Finland,,,,,,,,
75,68,France,,,,,,,,
76,69,French Guiana,,,,,,,,
77,70,French Polynesia,,,,,,,,
78,71,French Southern and Antarctic Territories,,,,,,,,
79,74,Gabon,,,,,,,,
80,75,Gambia,,,,,,,,
81,73,Georgia,,,,,,,,
82,79,Germany,,,,,,,,
83,81,Ghana,,,,,,,,
84,82,Gibraltar,,,,,,,,
85,84,Greece,,,,,,,,
86,85,Greenland,,,,,,,,
87,86,Grenada,,,,,,,,
88,87,Guadeloupe,,,,,,,,
89,88,Guam,,,,,,,,
90,89,Guatemala,,,,,,,,
91,90,Guinea,,,,,,,,
92,175,Guinea-Bissau,,,,,,,,
93,91,Guyana,,,,,,,,
94,93,Haiti,,,,,,,,
95,95,Honduras,,,,,,,,
96,97,Hungary,,,,,,,,
97,99,Iceland,,,,,,,,
98,100,India,,,,,,,,
99,101,Indonesia,,,,,,,,
100,102,Iran (Islamic Republic of),,,,,,,,
101,103,Iraq,,,,,,,,
102,104,Ireland,,,,,,,,
103,105,Israel,,,,,,,,
104,106,Italy,,,,,,,,
105,109,Jamaica,,,,,,,,
106,110,Japan,,,,,,,,
107,112,Jordan,,,,,,,,
108,108,Kazakhstan,,,,,,,,
109,114,Kenya,,,,,,,,
110,83,Kiribati,,,,,,,,
111,118,Kuwait,,,,,,,,
112,113,Kyrgyzstan,,,,,,,,
113,120,Lao People's Democratic Republic,,,,,,,,
114,119,Latvia,,,,,,,,
115,121,Lebanon,,,,,,,,
116,122,Lesotho,,,,,,,,
117,123,Liberia,,,,,,,,
118,124,Libya,,,,,,,,
119,126,Lithuania,,,,,,,,
120,256,Luxembourg,,,,,,,,
121,129,Madagascar,,,,,,,,
122,130,Malawi,,,,,,,,
123,131,Malaysia,,,,,,,,
124,132,Maldives,,,,,,,,
125,133,Mali,,,,,,,,
126,134,Malta,,,,,,,,
127,127,Marshall Islands,,,,,,,,
128,135,Martinique,,,,,,,,
129,136,Mauritania,,,,,,,,
130,137,Mauritius,,,,,,,,
131,270,Mayotte,,,,,,,,
132,138,Mexico,,,,,,,,
133,145,Micronesia (Federated States of),,,,,,,,
134,141,Mongolia,,,,,,,,
135,142,Montserrat,,,,,,,,
136,143,Morocco,,,,,,,,
137,144,Mozambique,,,,,,,,
138,28,Myanmar,,,,,,,,
139,147,Namibia,,,,,,,,
140,148,Nauru,,,,,,,,
141,149,Nepal,,,,,,,,
142,150,Netherlands,,,,,,,,
143,151,Netherlands Antilles (former),,,,,,,,
144,153,New Caledonia,,,,,,,,
145,156,New Zealand,,,,,,,,
146,157,Nicaragua,,,,,,,,
147,158,Niger,,,,,,,,
148,159,Nigeria,,,,,,,,
149,160,Niue,,,,,,,,
150,161,Norfolk Island,,,,,,,,
151,163,Northern Mariana Islands,,,,,,,,
152,162,Norway,,,,,,,,
153,221,Oman,,,,,,,,
154,164,Pacific Islands Trust Territory,,,,,,,,
155,165,Pakistan,,,,,,,,
156,180,Palau,,,,,,,,
157,166,Panama,,,,,,,,
158,168,Papua New Guinea,,,,,,,,
159,169,Paraguay,,,,,,,,
160,170,Peru,,,,,,,,
161,171,Philippines,,,,,,,,
162,172,Pitcairn Islands,,,,,,,,
163,173,Poland,,,,,,,,
164,174,Portugal,,,,,,,,
165,177,Puerto Rico,,,,,,,,
166,179,Qatar,,,,,,,,
167,117,Republic of Korea,,,,,,,,
168,146,Republic of Moldova,,,,,,,,
169,182,Réunion,,,,,,,,
170,183,Romania,,,,,,,,
171,185,Russian Federation,,,,,,,,
172,184,Rwanda,,,,,,,,
173,187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,
174,188,Saint Kitts and Nevis,,,,,,,,
175,189,Saint Lucia,,,,,,,,
176,190,Saint Pierre and Miquelon,,,,,,,,
177,191,Saint Vincent and the Grenadines,,,,,,,,
178,244,Samoa,,,,,,,,
179,193,Sao Tome and Principe,,,,,,,,
180,194,Saudi Arabia,,,,,,,,
181,195,Senegal,,,,,,,,
182,186,Serbia and Montenegro,,,,,,,,
183,196,Seychelles,,,,,,,,
184,197,Sierra Leone,,,,,,,,
185,200,Singapore,,,,,,,,
186,199,Slovakia,,,,,,,,
187,198,Slovenia,,,,,,,,
188,25,Solomon Islands,,,,,,,,
189,201,Somalia,,,,,,,,
190,202,South Africa,,,,,,,,
191,203,Spain,,,,,,,,
192,38,Sri Lanka,,,,,,,,
193,206,Sudan (former),,,,,,,,
194,207,Suriname,,,,,,,,
195,209,Swaziland,,,,,,,,
196,210,Sweden,,,,,,,,
197,211,Switzerland,,,,,,,,
198,212,Syrian Arab Republic,,,,,,,,
199,208,Tajikistan,,,,,,,,
200,216,Thailand,,,,,,,,
201,154,The former Yugoslav Republic of Macedonia,,,,,,,,
202,176,Timor-Leste,,,,,,,,
203,217,Togo,,,,,,,,
204,218,Tokelau,,,,,,,,
205,219,Tonga,,,,,,,,
206,220,Trinidad and Tobago,,,,,,,,
207,222,Tunisia,,,,,,,,
208,223,Turkey,,,,,,,,
209,213,Turkmenistan,,,,,,,,
210,224,Turks and Caicos Islands,,,,,,,,
211,227,Tuvalu,,,,,,,,
212,226,Uganda,,,,,,,,
213,230,Ukraine,,,,,,,,
214,225,United Arab Emirates,,,,,,,,
215,229,United Kingdom,,,,,,,,
216,215,United Republic of Tanzania,,,,,,,,
217,231,United States of America,,,,,,,,
218,240,United States Virgin Islands,,,,,,,,
219,234,Uruguay,,,,,,,,
220,228,USSR,,,,,,,,
221,235,Uzbekistan,,,,,,,,
222,155,Vanuatu,,,,,,,,
223,236,Venezuela (Bolivarian Republic of),,,,,,,,
224,237,Viet Nam,,,,,,,,
225,243,Wallis and Futuna Islands,,,,,,,,
226,205,Western Sahara,,,,,,,,
227,249,Yemen,,,,,,,,
228,248,Yugoslav SFR,,,,,,,,
229,251,Zambia,,,,,,,,
230,181,Zimbabwe,,,,,,,,
231,5000,World,,,,,,,,
232,5100,Africa,,,,,,,,
233,5101,Eastern Africa,,,,,,,,
234,5102,Middle Africa,,,,,,,,
235,5103,Northern Africa,,,,,,,,
236,5104,Southern Africa,,,,,,,,
237,5105,Western Africa,,,,,,,,
238,5200,Americas,,,,,,,,
239,5203,Northern America,,,,,,,,
240,5204,Central America,,,,,,,,
241,5206,Caribbean,,,,,,,,
242,5207,South America,,,,,,,,
243,5300,Asia,,,,,,,,
244,5301,Central Asia,,,,,,,,
245,5302,Eastern Asia,,,,,,,,
246,5303,Southern Asia,,,,,,,,
247,5304,South-Eastern Asia,,,,,,,,
248,5305,Western Asia,,,,,,,,
249,5400,Europe,,,,,,,,
250,5401,Eastern Europe,,,,,,,,
251,5402,Northern Europe,,,,,,,,
252,5403,Southern Europe,,,,,,,,
253,5404,Western Europe,,,,,,,,
254,5500,Oceania,,,,,,,,
255,5501,Australia & New Zealand,,,,,,,,
256,5502,Melanesia,,,,,,,,
257,5503,Micronesia,,,,,,,,
258,5504,Polynesia,,,,,,,,
259,5706,European Union,,,,,,,,
260,5801,Least Developed Countries,,,,,,,,
261,5802,Land Locked Developing Countries,,,,,,,,
262,5803,Small Island Developing States,,,,,,,,
263,5815,Low Income Food Deficit Countries,,,,,,,,
264,5817,Net Food Importing Developing Countries,,,,,,,,
265,5848,Annex I countries,,,,,,,,
266,5849,Non-Annex I countries,,,,,,,,
267,5873,OECD,,,,,,,,
