Unnamed: 0,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2.0,Afghanistan,10,Australia,1877.0,Forest products (export/import),5622.0,Import Value,1999.0,1999.0,1000 US$,
1,3.0,Albania,11,Austria,1640.0,Plywood,5616.0,Import Quantity,2005.0,2005.0,m3,R
2,4.0,Algeria,16,Bangladesh,1860.0,"Paper and paperboard, excluding newsprint",5610.0,Export Value,2009.0,2009.0,tonnes,*
3,7.0,Angola,57,Belarus,1670.0,"Industrial roundwood, non-coniferous non-tropical (export/import)",5922.0,Export Quantity,2015.0,2015.0,,Cv
4,9.0,Argentina,255,Belgium,1632.0,"Sawnwood, coniferous",5916.0,,2000.0,2000.0,,P
5,1.0,Armenia,15,Belgium-Luxembourg,1634.0,Veneer sheets,5910.0,,2001.0,2001.0,,A
6,10.0,Australia,53,Benin,1671.0,Newsprint,,,2004.0,2004.0,,
7,11.0,Austria,21,Brazil,1874.0,Fibreboard,,,2007.0,2007.0,,
8,52.0,Azerbaijan,27,Bulgaria,1651.0,"Industrial roundwood, coniferous (export/import)",,,2002.0,2002.0,,
9,12.0,Bahamas,33,Canada,1633.0,"Sawnwood, non-coniferous all",,,2003.0,2003.0,,
10,13.0,Bahrain,351,China,1875.0,Wood pulp,,,2006.0,2006.0,,
11,16.0,Bangladesh,44,Colombia,1657.0,"Industrial roundwood, non-coniferous tropical (export/import)",,,2008.0,2008.0,,
12,14.0,Barbados,48,Costa Rica,1619.0,Wood chips and particles,,,2012.0,2012.0,,
13,57.0,Belarus,107,Côte d'Ivoire,,,,,2017.0,2017.0,,
14,255.0,Belgium,98,Croatia,,,,,2016.0,2016.0,,
15,15.0,Belgium-Luxembourg,50,Cyprus,,,,,2010.0,2010.0,,
16,23.0,Belize,167,Czechia,,,,,2011.0,2011.0,,
17,53.0,Benin,54,Denmark,,,,,2013.0,2013.0,,
18,18.0,Bhutan,56,Dominican Republic,,,,,1997.0,1997.0,,
19,19.0,Bolivia (Plurinational State of),58,Ecuador,,,,,2014.0,2014.0,,
20,80.0,Bosnia and Herzegovina,59,Egypt,,,,,1998.0,1998.0,,
21,21.0,Brazil,60,El Salvador,,,,,,,,
22,26.0,Brunei Darussalam,63,Estonia,,,,,,,,
23,27.0,Bulgaria,67,Finland,,,,,,,,
