Area Code,Area,Item Code,Item,ISO Currency Code,Currency,Year Code,Year,Unit,Flag
2,Afghanistan,5540.0,Standard local currency units per USD,AFN,Afghani,1970.0,1970.0,,X
3,Albania,,,ALL,Lek,1971.0,1971.0,,
4,Algeria,,,DZD,Algerian Dinar,1972.0,1972.0,,
6,Andorra,,,EUR,Euro,1973.0,1973.0,,
7,Angola,,,AOA,Kwanza,1974.0,1974.0,,
258,Anguilla,,,XCD,East Caribbean Dollar,1975.0,1975.0,,
8,Antigua and Barbuda,,,ARS,Argentine Peso,1976.0,1976.0,,
9,Argentina,,,AMD,Armenian Dram,1977.0,1977.0,,
1,Armenia,,,AWG,Aruban Florin,1978.0,1978.0,,
22,Aruba,,,AUD,Australian Dollar,1979.0,1979.0,,
10,Australia,,,AZN,Azerbaijanian Manat,1980.0,1980.0,,
11,Austria,,,BSD,Bahamian Dollar,1981.0,1981.0,,
52,Azerbaijan,,,BHD,Bahraini Dinar,1982.0,1982.0,,
12,Bahamas,,,BDT,Taka,1983.0,1983.0,,
13,Bahrain,,,BBD,Barbados Dollar,1984.0,1984.0,,
16,Bangladesh,,,BYR,Belarusian Ruble,1985.0,1985.0,,
14,Barbados,,,BZD,Belize Dollar,1986.0,1986.0,,
57,Belarus,,,XOF,CFA Franc BCEAO,1987.0,1987.0,,
255,Belgium,,,BMD,Bermudian Dollar,1988.0,1988.0,,
23,Belize,,,BTN,Ngultrum,1989.0,1989.0,,
53,Benin,,,BOB,Boliviano,1990.0,1990.0,,
17,Bermuda,,,BAM,Convertible Mark,1991.0,1991.0,,
18,Bhutan,,,BWP,Pula,1992.0,1992.0,,
19,Bolivia (Plurinational State of),,,BRL,Brazilian Real,1993.0,1993.0,,
80,Bosnia and Herzegovina,,,USD,US Dollar,1994.0,1994.0,,
20,Botswana,,,BND,Brunei Dollar,1995.0,1995.0,,
21,Brazil,,,BGN,Bulgarian Lev,1996.0,1996.0,,
239,British Virgin Islands,,,BIF,Burundi Franc,1997.0,1997.0,,
26,Brunei Darussalam,,,CVE,Cabo Verde Escudo,1998.0,1998.0,,
27,Bulgaria,,,KHR,Riel,1999.0,1999.0,,
233,Burkina Faso,,,XAF,CFA Franc BEAC,2000.0,2000.0,,
29,Burundi,,,CAD,Canadian Dollar,2001.0,2001.0,,
