country,year,value
Canada,1981,40.088
Canada,1982,42.907000000000004
Canada,1983,44.807
Canada,1984,57.402
Canada,1985,60.853
Canada,1986,57.048
Canada,1987,61.207
Canada,1988,70.643
Canada,1989,70.527
Canada,1990,68.33200000000001
Canada,1991,71.13419999999999
Canada,1992,65.6134
Canada,1993,69.0294
Canada,1994,72.8233
Canada,1995,74.9802
Canada,1996,75.87939999999999
Canada,1997,78.76
Canada,1998,75.2681
Canada,1999,72.3577
Canada,2000,69.10430000000001
Canada,2001,70.4815
Canada,2002,66.9982
Canada,2003,62.5796
Canada,2004,66.2064
Canada,2005,68.4309
Canada,2006,67.41080000000001
Canada,2007,68.9543
Canada,2008,68.39580000000001
Canada,2009,64.6377
Canada,2010,67.9737
Canada,2011,67.45410000000001
Canada,2012,67.1005
Canada,2013,67.98610000000001
Canada,2014,67.9411
Canada,2015,62.020199999999996
Canada,2016,62.3515
Canada,2017,60.8795
Canada,2018,54.61211020931226
Mexico,1981,3.0323314749453276
Mexico,1982,3.751215811153324
Mexico,1983,4.8511290069083355
Mexico,1984,5.335241052863551
Mexico,1985,5.525976201696673
Mexico,1986,6.216795122477866
Mexico,1987,6.931470799841484
Mexico,1988,6.345855589109739
Mexico,1989,6.770533931598062
Mexico,1990,6.929812075632151
Mexico,1991,6.4056231112723845
Mexico,1992,6.104177561239016
Mexico,1993,6.615141667372346
Mexico,1994,8.999131458916557
Mexico,1995,8.889171051344903
Mexico,1996,9.690486262888696
Mexico,1997,9.42421215062728
Mexico,1998,10.107467451546738
Mexico,1999,10.325802649610301
Mexico,2000,11.343948128892908
Mexico,2001,8.857092656903498
Mexico,2002,7.079758976309311
Mexico,2003,9.195092268783428
Mexico,2004,12.228484391317865
Mexico,2005,12.657043477938858
Mexico,2006,14.10992339465373
Mexico,2007,15.232169770897682
Mexico,2008,14.420357004375056
Mexico,2009,12.694348969055104
Mexico,2010,15.270514706066114
Mexico,2011,19.616056277021876
Mexico,2012,15.205109976286115
Mexico,2013,14.633169977178113
Mexico,2014,14.895549976768903
Mexico,2015,12.252899980890382
Mexico,2016,11.408949982206606
Mexico,2017,12.928589979836575
Mexico,2018,13.539188534692943
US,1981,747.3160762424999
US,1982,760.3223832863999
US,1983,709.5009892077
US,1984,812.7656122346648
US,1985,801.6229800792098
US,1986,807.6798812825675
US,1987,833.4869763053214
US,1988,862.0661211428467
US,1989,889.7021531375129
US,1990,933.5615732388368
US,1991,903.5413382898206
US,1992,904.9575007801251
US,1993,857.6744472676241
US,1994,937.579281993917
US,1995,937.0982082977999
US,1996,965.1138862032
US,1997,988.7696344404
US,1998,1013.8106537145001
US,1999,998.2941666057
US,2000,973.9643801364
US,2001,1023.0222071583
US,2002,992.7167950700998
US,2003,972.2779237790999
US,2004,1008.8791976852999
US,2005,1026.4776736806
US,2006,1054.829009925
US,2007,1040.2097284845
US,2008,1063.0471961223
US,2009,975.1540548945022
US,2010,983.7221930329356
US,2011,993.9365375578993
US,2012,922.1155249958045
US,2013,893.4333938295812
US,2014,907.2289325116026
US,2015,813.690755562986
US,2016,660.7611286087806
US,2017,702.7137571472379
US,2018,685.398488793138
Total North America,1981,790.4364077174453
