country,value,year
Canada,94.32480653482358,2017
Mexico,74.28517536590233,2017
US,635.8057093801106,2017
Total North America,804.4156912808364,2017
Argentina,41.53054905637275,2017
Brazil,32.35771999124564,2017
Chile,4.827684387246835,2017
Colombia,10.455023602786346,2017
Ecuador,0.7078564191733405,2017
Peru,5.79817383354486,2017
Trinidad & Tobago,13.123349289360311,2017
Venezuela,33.3724834297173,2017
Other S. & Cent. America,6.2429834513980325,2017
Total S. & Cent. America,148.41582346084544,2017
Austria,7.798670548916595,2017
Belgium,14.111349957007738,2017
Czech Republic,7.201010318142723,2017
Finland,1.5760485334861951,2017
France,38.491572635425634,2017
Germany,77.15362568071082,2017
Greece,4.145571797076526,2017
Hungary,8.541821916499478,2017
Italy,61.54668708318266,2017
Netherlands,31.033247348810555,2017
Norway,3.942156474793637,2017
Poland,16.4921180854113,2017
Portugal,5.450975604680997,2017
Romania,9.620010437565686,2017
Spain,27.266402,2017
Sweden,0.6820077386070497,2017
Switzerland,2.708297506448835,2017
Turkey,44.34056534823732,2017
Ukraine,25.959167074607002,2017
United Kingdom,67.78150724722038,2017
Other Europe,26.056129515064054,2017
Total Europe,481.89894285189524,2017
Azerbaijan,9.12863714531383,2017
Belarus,15.656711231506348,2017
Kazakhstan,13.65002483059166,2017
Russian Federation,370.679785647433,2017
Turkmenistan,21.791051089122792,2017
Uzbekistan,37.059703103119986,2017
Other CIS,4.344159227219398,2017
Total CIS,472.31007227430695,2017
Iran,180.5154929364613,2017
Iraq,10.9509112765425,2017
Israel,8.507177558039555,2017
Kuwait,18.080409381852405,2017
Oman,20.01656846520592,2017
Qatar,37.04183070175765,2017
Saudi Arabia,93.93827085124677,2017
United Arab Emirates,64.00284321901961,2017
Other Middle East,20.11539852328593,2017
Total Middle East,453.16890291341167,2017
Algeria,33.435081685296645,2017
Egypt,48.09470458983418,2017
Morocco,0.9796091480073088,2017
South Africa,3.8103496101042076,2017
Other Africa,34.72111100151644,2017
Total Africa,121.04085603475878,2017
Australia,35.46194196893406,2017
Bangladesh,22.921826589047726,2017
China,206.73978501086233,2017
China Hong Kong SAR,2.6793966357295917,2017
India,46.20425178380398,2017
Indonesia,33.1465342229957,2017
Japan,100.59027000421797,2017
Malaysia,35.93313260117589,2017
New Zealand,4.291793739231298,2017
Pakistan,35.0297366266839,2017
Philippines,3.2454230918786546,2017
Singapore,10.565480566463886,2017
South Korea,42.782796875735826,2017
Sri Lanka,0.0,2017
Taiwan,19.987155611099997,2017
Thailand,43.06431160572379,2017
Vietnam,8.186319862424764,2017
Other Asia Pacific,9.811904350963495,2017
Total Asia Pacific,660.6420611469729,2017
Total World,3141.892349963027,2017
Canada,99.51603959485607,2018
Mexico,76.95074777344662,2018
US,702.5881140152105,2018
Total North America,879.0549013835132,2018
Argentina,41.878108066135646,2018
Brazil,30.86053110340129,2018
Chile,5.514797361562175,2018
Colombia,11.201752147401644,2018
Ecuador,0.6081116933586872,2018
Peru,6.053575480972664,2018
Trinidad & Tobago,13.158255215516675,2018
Venezuela,28.726272850291288,2018
Other S. & Cent. America,6.7698952179211,2018
Total S. & Cent. America,144.77129913656114,2018
Austria,7.469405770705075,2018
Belgium,14.509114359415303,2018
Czech Republic,6.863993981083394,2018
Finland,1.7573325690264647,2018
France,36.725794813150614,2018
Germany,75.91758553843735,2018
Greece,4.071051064088338,2018
Hungary,8.263255947262829,2018
Italy,59.51339906074872,2018
Netherlands,30.691697716633236,2018
Norway,3.854535814909717,2018
Poland,16.972229873542833,2018
Portugal,5.034147119042831,2018
Romania,9.347907025799602,2018
Spain,27.05836267734391,2018
Sweden,0.6982663923505051,2018
Switzerland,2.573533814855796,2018
Turkey,40.66913327601032,2018
Ukraine,26.28467387178076,2018
United Kingdom,67.83902084866185,2018
Other Europe,25.902476068950083,2018
Total Europe,472.0169176037995,2018
Azerbaijan,9.299924763542547,2018
Belarus,16.611421264176716,2018
Kazakhstan,16.711661932072175,2018
Russian Federation,390.7990657109449,2018
Turkmenistan,24.41300978803167,2018
Uzbekistan,36.625780687893055,2018
Other CIS,4.916451331378646,2018
Total CIS,499.3773154780397,2018
Iran,193.94339629687136,2018
Iraq,14.659760012981055,2018
Israel,9.048086844368015,2018
Kuwait,18.7257891460659,2018
Oman,21.405851642687928,2018
Qatar,36.02159877835133,2018
Saudi Arabia,96.40515608725346,2018
United Arab Emirates,65.83318533811224,2018
Other Middle East,19.539231558452908,2018
Total Middle East,475.5820557051442,2018
Algeria,36.74548581255374,2018
Egypt,51.20381358854166,2018
Morocco,0.8853288779815133,2018
South Africa,3.7277829720990487,2018
Other Africa,36.40680073085805,2018
Total Africa,128.969211982034,2018
Australia,35.59472746141026,2018
Bangladesh,24.38988625257209,2018
China,243.3327269577851,2018
China Hong Kong SAR,2.5944540560091762,2018
India,49.948343728099545,2018
Indonesia,33.51114609944865,2018
Japan,99.49110547724703,2018
Malaysia,35.49047065111901,2018
New Zealand,3.7392910277626488,2018
Pakistan,37.471564632085844,2018
Philippines,3.5157409646478937,2018
Singapore,10.56430090061479,2018
South Korea,48.103191127688866,2018
Sri Lanka,0.0,2018
Taiwan,20.3457762783,2018
Thailand,42.93554177178954,2018
Vietnam,8.28920894239037,2018
Other Asia Pacific,10.33221779181157,2018
Total Asia Pacific,709.6496941207823,2018
Total World,3309.4213954098745,2018
