name,description,dataset_id
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual male dependency ratios (total, child, old-age) for different age groups.'}",0
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual total population (both sexes combined) by broad age groups. Data are presented in thousands.'}",1
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual population by single age - Female. De facto population as of 1 July of the year indicated classified by single age (0, 1, 2, ..., 99, 100+). Data are presented in thousands.'}",2
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual population by single age - Both Sexes. De facto population as of 1 July of the year indicated classified by single age (0, 1, 2, ..., 99, 100+). Data are presented in thousands.'}",3
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annually interpolated demographic indicators.'}",4
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual male population by broad age groups. Data are presented in thousands.'}",5
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual female dependency ratios (total, child, old-age) for different age groups.'}",6
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual population by single age - Male. De facto population as of 1 July of the year indicated classified by single age (0, 1, 2, ..., 99, 100+). Data are presented in thousands.'}",7
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Percentage of annual total population (both sexes combined) by broad age group.'}",8
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual dependency ratios (total, child, old-age) for different age groups and for both sexes combined.'}",9
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Annual female population by broad age groups. Data are presented in thousands.'}",10
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Percentage of annual female total population by broad age groups.'}",11
United Nations – Population Division (2019 Revision),"{'dataPublishedBy': 'United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision, DVD Edition.', 'dataPublisherSource': None, 'link': 'https://population.un.org/wpp2019/Download/Standard/Interpolated/', 'retrievedDate': '21-Sep-2020', 'additionalInfo': 'Percentage of annual male total population by broad age groups.'}",12
