id,name,dataset_id,description
0,Robert J. Barro and Jong-Wha Lee,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
1,Demographic and Health Surveys (DHS),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
2,World Bank staff calculations based on Multiple Indicator Cluster Survey (MICS) data,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
3,Multiple Indicator Cluster Surveys (MICS),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
4,"International Telecommunication Union, World Telecommunication/ICT Development Report and database",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
5,Early Grade Reading Assessment (EGRA),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
6,Latin American Laboratory for Assessment of the Quality of Education (LLECE),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
7,Programme d'Analyse des Systèmes Educatifs de la CONFEMEN/Program for the Analysis of CONFEMEN Education Systems (PASEC),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
8,OECD Programme for the International Assessment of Adult Competencies (PIAAC),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
9,International Association for the Evaluation of Educational Achievement (IEA) Progress in International Reading Literacy Study (PIRLS),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
10,OECD Programme for International Student Assessment (PISA),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
11,"Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) Data Archive, www.sacmeq.org",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
12,International Association for the Evaluation of Educational Achievement (IEA)'s Trends in International Mathematics and Science Study,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
13,"World Bank national accounts data, and OECD National Accounts data files",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
14,"World Bank, International Comparison Program database",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
15,Organisation for Economic Co-operation and Development (OECD),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
16,Wittgenstein Centre for Demography and Global Human Capital,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
17,"Systems Approach for Better Education Results (SABER), World Bank",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
18,UNESCO Institute for Statistics,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
19,UNAIDS estimates,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
20,"Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
21,"International Labour Organization, ILOSTAT database. Data retrieved in March 2017",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
22,"Derived using data from International Labour Organization, ILOSTAT database and World Bank population estimates. Labor data retrieved in November 2017",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
23,"International Labour Organization, Key Indicators of the Labour Market database",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
24,"International Labour Organization, ILOSTAT database. Data retrieved in November 2017",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
25,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
26,World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
27,UNESCO Institute for Statistics (Derived),,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
28,UNESCO Institute for Statistics,,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
29,"Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
30,"(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Report (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme",,"{""dataPublishedBy"": null, ""dataPublisherSource"": null, ""additionalInfo"": null}"
31,World Bank EdStats (2020),0,"{""dataPublishedBy"": ""World Bank"", ""dataPublisherSource"": [""World Bank EdStats""], ""link"": ""https://datacatalog.worldbank.org/dataset/education-statistics"", ""retrievedDate"": ""August 25, 2021""}"
